Verse Number,Verse,Translation,Commentary
1,tam tatha kripyavishtamasrupurnakulekshanam vishadantamidam vakyamuvacha madhusudanan - 1-,,
2,kutastva kashmalamidam vishame samupasthitam anaryajushtamasvargyamakirtikaramarjuna - 2-,"Sanjay said, listen O king Immersed in compassion was Dhananjaya Broken-hearted and overcome, eyes filled with tears To him this said the Lord - 1- Why has this delusion befallen you in the midst of war That which is done be the lowly and ignorant Illusion of this kind destroys virtue And brings disgrace, listen O son of Kunti - 2-","Commentary: In this state, through the eye of wisdom, one becomes aware that as the fire element of the sadhakas, despondent over the destruction of the familial mental faculties, is filled with compassion for them, at that time, this type of understanding emerges from the Kutasthachaitanya - that it is undutiful to turn away from the Consciousness-revealing Kriya because of the terrible enemies residing in the body; these who are ignorant and unrighteous wrong-doers. - 1 and 2-"
3,klaivam masma gamah partha naitat tvayuppadyate khudram hridayadourbalam taktvottishtha paramtapa - 3-,"Do not become weak O son of Kunti Never is this befitting you Trivial it is, this weakness of mind Abandon it Partha, and get up and fight - 3-",Commentary: It is not befitting for this highest-of-all human life to succumb to slavery under the senses and become like an animal by destroying one’s soul-consciousness.  One’s duty is to abandon this trivial weakness of the heart and perform the Consciousness-revealing Kriya. - 3-
4,katham bhishmaham samkhye dronancha madhusudan ishubhih pratiyotsyami pujarharvarisudan - 4-,"Arjuna said, Sri Madhusudan listen The venerable Bhisma, Drona and others are here How can I fire my arrows in this battle Lord Great is the sin even with these clever words - 4-","Commentary: When this type of awareness occurs, it is again experienced by the fire element that:  under the power of Chidabhas we are existing in this form of jiva, and by the power of the samskara we have become as mighty as we are; now, how can we go on to destroy by Kriya the highly revered Chidabhas and samskara? - 4-"
5,gurunahatva hi mahanubhavan sreyo bhoktum bhaikshyamapihaloke hatvarthakamamstu gurunihaiva bhunjia bhogan rudhirapradigdhan - 5-,"These gurus of nobility I will not kill Better to eat by begging I feel By killing gurus, wealth and pleasure Will be enjoyed and eaten with blood - 5-","Commentary: Instead of destroying this immensely powerful Abhaschaitanya and other venerable ones like samskara and living in this world in disgrace, it is more proper to live with whatever they decide to give as alms, life after life. - 5-"
6,na chaitadvidmah katarannogariyo yadva jayema yadi va na jayeyuh yaneva hatva na jijirvashamas tehavasthitah pramukhe dhartarashtrah - 6-,I do not see benevolence in what will happen to us Whether victorious over Kuru or Kuru is victorious Those without whom I do not want my own life All these wise Kurus in front of us - 6-,"Commentary: We do not see anything all that great either in becoming a siddha by this Kriya or not becoming one.   Because the method by which perfection will be attained will destroy the clans of mind and ego and their faculties at the very beginning, without whom this life itself is pointless. - 6-"
"7, 8",karpanyadoshopahatasvabhavah pricchami tvam dharmasammudhachetah yacchreyah syannishchitam bruhi tanme shishyastehaham shadhi mam tvam prapannam - 7- na hi prapashyami mamanupadyat yacchokamucchoshanamindriyanam avapya bhumavasapatnamriddham rajyam suramapi chadhipatyam - 8-,"I am overcome by the power of pity and guilt Confused about dharma I ask You What is truly best please tell me Teach me, your disciple who has taken refuge in You - 7- I cannot see any way, thus I turn away In this grief by which my senses run dry It matters not if I receive the whole world over Uncontested kingdom and rulership over gods - 8-","Commentary: In sorrow, the power to do work has lost its energy.  Uncontested/unhampered, meaning without obstacles and able to anything, meaning the strength of the elemental physical body or even lordship over the entire subtle body will not relieve me of this grief it seems.  Therefore, O Kutasthachaitanya!  My character has been tainted by the flaw of pity, meaning that I am unable to do any harm even though I might gain immensely by doing so, and my consciousness is devoid of Brahman-Consciousness.  I take refuge in You with all that I can do.  Please teach me what is truly for my good. - 7 and 8-"
9,evamukta hrishikesham gudakeshah paramtapah na yotsye ity govindamuktva tushnim babhuva ha - 9-,"Sanjay said, hear, hear O king These words he said to Govinda I will not fight, listen Madhava And saying so became silent, the valorous Pandava - 9-","Commentary: It is experienced through the eye of wisdom that it is necessary for that delusion-vanquishing, enemy-burning energy of the fire element, meaning all work done with rajoguna, to renounce all of that and in stillness rely upon Kutasthachaitanya (Sri Krishna). - 9-"
10,tamuvacha hrishikeshah prahasanniva bharata senayorubhayormadhye vishidantamidam vachah - 10-,"Pleased, so said Krishna, O king To Partha encircled by the two armies - 10-","Commentary: It is written in the Patanjal philosophical treatise that when stillness manifests out of the openness of sadhakas, the Soul-Consciousness Itself becomes satisfied.  As in - nirvicharavaisharadyehadhyatmaprasadah -   Samadhipada - no. 4 When Soul-Consciousness becomes thus contented, then imaginary falsehoods disappear and the Truth, unmanufactured by imagination, is revealed to the faculty of inner sight.  As in - ritambhara tatra prajna -   Samadhipada - no. 48 By this, it can be known that when the fire element in the midst of the families of pravritti and nivritti becomes sullen, meaning when the rajoguna becomes low and is incapable of doing what needs to be done, then the sadhakas, having arrived at the navel-lotus, awaken the Kundalini Shakti by the Guru-instructed Kriya and become still and open.  In that, Kutasthachaitanya (Sri Krishna) becomes pleased and through the inner wisdom-sight, Truth, unmanufactured by imagination, is experienced in these ways. - 10-"
11,ashochyananvashochastvam prajnavadamshcha bhashase gatasunagatasumshcha nanushochanti panditah - 11-,The Lord said to Arjuna For the unworthy do you grieve As a wise man speak Partha Like the unwise are you becoming deluded Whether friends are dead or alive For them grieve not the wise - 11-,"Commentary: Divinity, creative energy, glory, beauty, knowledge and non-attachment - together these six are called “bhaga.”  As in – aishvarya samagrasya viryasya yashasah shriyah jnanavairagyayoshchaiva yannam bhaga ity smritam From the Divine Kutasthachaitanya endowed with these six qualities, this type of experience happens:  that being a wise and discriminating person, it is not proper to grieve over unworthy things, because scientifically knowledgeable beings are not remorseful over the presence or absence of anything in this ever-changing world. -11-"
