Verse Number,Verse,Translation,Commentary
1,bhuya eva mabaho shrinu me paramam vachah yattehham priyamanaya vakshyami hitakamyaya - 1-,,Commentary: It is being experienced from Kutasthachaitanya: Again I speak to you who are dear to Me for your welfare. - 1-
"2, 3",na me viduh suraganah prabhavam na maharshyah ahamadirhi devanam maharshinancha sarvashah - 2- yo mamajamanadincha vetti lokamaheshvaram asammudhah sa martyeshu sarvapapaih pramuchyate - 3-,,"Commentary: Many practitioners do not know; great sages do not know that I am the Source of all gods and great sages - that the one who is not ignorant and knows Me as Beginingless and All that is God-like, meaning the one who abides in Consciousness - he is the one who becomes liberated from all sins. - 2 and 3-"
4,buddhirjnanamasammoha kshama satyam damah shamah sukham duhkham bhavohbhavo bhayanchabhyameva cha - 4-,,"Commentary: Intelligence, knowledge, not being deluded by anything, forgiveness, truth, breath, mental restraint, pleasure, the occurrence of sorrow, its non-occurrence, fear, fearlessness. - 4-"
5,ahimsa samata tushtistapo danam yashohyashah bhavanti bhava bhutanam matta eva prithagvidhah - 5-,,"Commentary: Non-violence, equanimity, contentment, austerity - meaning meditating upon Kutastha - charity, fame, disrepute - all these qualities happen to the five elements; My Essence is different from these. - 5-"
6,maharshyah saptapurve chatvaro manavastatha madbhava manasa jata yesham loka imah prajah - 6-,,"Commentary: The seven great sages (Marichi, Atri, Angira, Pulastya, Pulaha, Kratu, Pracheta) and the four Manus (Sanak, Sanatan, Sananda, Sanatkumar), by whom all this is, have been born from My Mind. - 6-"
7,etam bibhutim yogancha mama yo vetti tattvatah sohvikampena yogena yujyate natra samshayah - 7-,,"Commentary: By this Knowledge, the one who knows My bibhutiyoga - he is the one who performs yoga. - 7-"
8,aham sarvasya prabhavo mattah sarvam pravartate ity matva bhajante mam budha bhavasamanvitah - 8-,,"Commentary: I am the Lord of All, the Enjoyer, the Doer; all dissolves in Me; by [knowing] this one also knows My Essence - meaning stillness. - 8-"
9,macchitta madagataprana bodhayantah parasparam kathayantashcha mam nityam tushyanti cha ramanti cha - 9-,,"Commentary: When their minds have gone forth to Me, and when their prana vayus have gone forth to Me - meaning have become still - then they understand amongst each other and they speak of Me with contentment and delight. - 9-"
10,tesham satatayuktanam bhajatam pritipurvakam dadami buddhiyogam tam yena mamupayanti te - 10-,,"Commentary: One who is always united with Me (see 6:18) and who meditates upon Me with love - I bestow him with buddhiyoga - meaning stillness - by which, he is the one who attains Me. - 10-"
11,teshamevanukamparthamahjnanajam tamah nashayamyatmabhavastho jnanadipena bhasvata - 11-,,"Commentary: Whoever contemplates upon Atman has Grace bestowed upon him, by which tamasic ignorance is destroyed and the Light of Knowledge illuminates. - 11-"
