Verse Number,Verse,Translation,Commentary
1,sannyasasya mahabaho tattvamicchami veditum tyagasya cha hrishikesha prithak keshinisudana - 1-,,Commentary: It being experienced in the energy of the body: What is the difference between “sannyas” and “tyaga”? - 1-
2,kamyanam karmanam nyasam sannyasam kavayo viduh sarvakarmaphalatyagam prahustyagam vichakshanah - 2-,,Commentary: It is being experienced via Kutastha: The extinguishing of desire for any object immediately in the present is called “sannyas.” The abandonment of all fruits from all actions is called “tyaga.” - 2-
3,tyajyam doshavadityeke karma prahurmanishinah yajnadanatapahkarma na tyajyamiti chapare - 3-,,"Commentary: All work should be done; abandoning them causes wrong. Yajna, charity, austerities should not be abandoned. - 3-"
4,nishchayam shrinu me tatra tyage bharatasattama tyago hi purushavyaghra trividhah samprakirtitah - 4-,,"Commentary: The “tyagi” person is powerful like a tiger. Just as a tiger devours an animal when it gets near him, in the same way [the tyagi] destroys all unworthy desires. As [the tyagi] continues to destroy [desires] in this way, no desires come within his proximity in the future. That is of three types. - 4-"
5,yajnadanatapahkarma na tyajyam karyameva tat yajno danam tapashchaiva pavanani manishinam - 5-,,"Commentary: Yajna, charity, austerities purify. - 5-"
6,etanyapi ti karmani sangam tyaktva phalani cha kartavyaniti me partha nishchitam matamuttamam - 6-,,"Commentary: Accompanied with the renunciation of all desire for results, these must be performed. This is of the highest perception. - 6-"
7,niyatasya tu sannyasah karmano nopapadyate mohat tasya parityagastamasah parikirtitah - 7-,,Commentary: The sannyasi [is one] who extinguishes all and with steadfast discipline renounces all desire in the present condition itself. A sannyasi renouncing out of delusion is performing tamasic action. - 7-
8,duhkhametyeva yat karma kayakleshabhayat tyajet sa kritva rajasam tyagam naiva tyagaphalam labhet - 8-,,Commentary: Sorrow - meaning one who abandons action out the fear of physical afflictions - that is rajasic tyaga. - 8-
9,karyamityeva yat karma niyatam kriyatehrjunah sangam tyaktva phalamchaiva sa tyagah sattviko matah - 9-,,Commentary: One who performs actions without judgment and free of craving for results - that is what is known as sattvic tyaga. - 9-
10,nadveshtyakushalam karma kushale nanushajjate tyagi sattvasamavishto medhavi cchinnasamshayah - 10-,,Commentary: There is no hatred for bad work; there is also no desire for good work - the tyagi is established in sattva guna - intelligent - free of doubts. - 10-
