Verse Number,Verse,Translation,Commentary
1,Arjuna said: jayasi chet karmanaste mata buddhirjanardana tat kim karmani ghore mam niyojayasi keshava - 1-,"Hearing the wisdom of the second chapter Requested Partha to Govinda If jnana is greater than karma, Lord The why give me the order to be in this intense fight - 1-","Commentary: After examining all of these things, a question arises in the rajoguna that - O Consciousness, if jnana [knowledge/wisdom] is the most superior thing, then why should I become engaged in this intense Kriya? - 1-"
2,vyamishreneva vakyana buddhim mohayasiva me tadekam vada nishchitya yena shreyohhamapnuyam - 2-,"One time you say that jnana is superior Then again you praise karma It makes me confused, these two With whichever I will attain the highest, tell me the resolution - 2-","Commentary: Knowledge or action - whenever I look at one or other, that one seems the best.  Thus, my intellect is stupefied.  Explain to me now which is the best for me. - 2-"
3,Sri Bhagavan said: lokehasmin dvividha nishtha pura prokta mayanagha jnanayogena samkhyanam karmayogena yoginam - 3-,"Two forms of paths in this plane I have said to you before, Dhananjaya One whose consciousness has been purified Listening to Atman is the way for that mind One whose consciousness is not pure and wanting jnana Desirelessly should do karma sadhana - 3-","Commentary: After thinking like this, when the consciousness is completely focused in the Kutastha, His answer can be heard, meaning that an experience occurs which expresses:  it has already been established that the discipline is of two types.  Those with purified consciousness attain liberation through jnanayoga.  But those without purified consciousness, in order to acquire such Knowledge [jnana], must engage themselves in the performance of Kriya yoga. - 3-"
"4, 5",na karmanamanarambhannaishkaryam purushohshnute na cha sannyasanadeva siddhim samadhigacchati - 4- na hi kashchat kshanamapi jatu tishthatyakarmakrit karyate hyavashah karma sarvah prakritijairgunai - 5-,"Without karma [action] people cannot have knowledge Without knowledge one cannot attain liberation in sannyas - 4- Without action the jnani or the ignorant Cannot remain even for a moment, not even the wise Because of the natural impulse of affection and hatred Powerlessly are they doing karma - 5-","Commentary: Without attaining Knowledge through the performance of Kriya yoga, just abandoning all types of karma [actions] and taking up sannyas will not bring that [Knowledge] without work, because the knowledgeable and ignorant alike cannot exist even for a moment without karma.  Thus, if one does not do the karma of the Purusha-guna that reveals Consciousness, one falls under the stupor of the Prakriti-qualities of sattva, raja and tamoguna, and being enslaved by affection, hatred, wants etc., one becomes involved in an unaware state with the workings of worldly life. - 4 and 5-"
6,karmendriyani samyamya ya aste manasa smaran indriyarthan vimudhamtma mithyacharah sa ucchyate - 6-,"Hands, feet - physical organs such as these Controlling them and always thinking about things One shows people “I meditate on Brahman” But that deceiver is a liar - 6-","Commentary: Those who want to be free of work in worldly life and live without doing anything, for which purpose they forcefully subjugate all of the organs of action such as hands, feet, speech etc., and try to be mute and inanimate, they are very ignorant; because their minds, ever-bound to habit, is always involved in thinking about sense matters.  Therefore, due to their lack of inner stillness, all of their efforts are useless. - 6-"
7,yastvindriyani manasa niyamyarabhateharjuna karmendriyah karmayogamashaktah sa vishishyate - 7-,"By karma the senses are controlled Those who use the body for action thus But without a taste for the results of action if they do They become the greatest, listen Savyasachi - 7-","Commentary: Those who renounce all attraction towards sense-things by controlling the mind and all of the organs of action through the performance of yogakriya and fulfill the karma [work] at hand in this way, they are the great ones. - 7-"
8,niyatam kuru karma tvam karma jyayo hyakarmanah sharirayatrapi cha te na prasiddhyedakarmanah - 8-,"Therefore, perform your eternal duty Action, instead of inaction, is proven by this If you abandon all karma The body itself cannot be maintained - 8-","Commentary: Therefore, jivas should be ever-engaged in the performance of the Consciousness-revealing Kriya, because without being involved in action, one cannot even maintain one’s body. - 8-"
9,yajnarthat karmanohnyatra lokohayam karmabandhanah tadartam karma kaunteya muktasangah samachara - 9-,"The karma that does not please the Lord That karma enchains people, Partha Therefore, pray to please the Lord Do work renouncing desires of its fruits - 9-","Commentary: The action that is performed with the intention of the revelation of Consciousness is called yajna.  Besides that, performance of any karma of worldly desire causes one to remain bound to samsara for the fulfillment of its results.  Therefore, one should do work that is devoid of the desire for the enjoyment of its fruit, meaning only the desireless practice of yogakriya. - 9-"
10,sahayajnah prajah srishtva purovacha prajapatih anena prasavishyadhvamesha vohstvishta kamadhuk - 10-,The Creator created Its subjects with yajna In the Lotus Seat did He say at the beginning of creation By yajna you will acquire the Immense This yajna will be the fulfillment of your desires - 10-,"Commentary: At the very beginning, before giving initiation, the operator of this consciousness, meaning the Full Consciousness-united Gurudev, teaches that the body of providence will be elevated by this Kriya and by the manifestation of the miraculous Divine, all desired objects will be acquired. - 10-"
11,devan bhavayatanen te deva bhavayantu vah parsparam bhavayantah shreyah paramavapsyatha - 11-,By homa [yajna] are the gods benefited Doing them you are benefited Like rain will the gods bless you By helping one another you will greatly prosper - 11-,"Commentary: By the elevation of the body of providence itself does one have improvement in oneself.  By helping each other in this way, one attains Kaivalyapada. - 11-"
