Verse Index{hide},Pranab Gita Translation,Pranab Gita Commentary
1,"[Arjuna said:] O Janardan, O Keshava [Sri Krishna]! If in Your perspective “buddhi” [knowledge or faculty of observing and ascertaining] is superior to “karma” [action], then why are you making me take part in such an intense act?","In order to remove the samsara-delusion from the disciple, in the previous Chapter [Chapter 2] Srigurudev [Sri Krishna], upon showing the primal eternal nature of the Self, revealed the sole way (teaching) of the path of sadhana - “uttishtha” [abiding above] – to cut the torrential bondage of the physical births and deaths. He showed that this path has two “kandas” [phases]: one is “karma” [action] and the other is “gyana” [knowledge/wisdom]. Moving prana from the Muladhar to the Agya, chakra by chakra, according to guru's instructions is indeed the “karmakanda” [phase of action]. And, keeping the attention fixed in Kutastha, taking the mind – together and complete with all of the vrittis [functionalities] of the senses – above the Agya, being established in the Sahasrar, doing “shravana-manana-nididhyasana” [hearing, contemplating, being absorbed] in stillness – meaning: hearing the Pranava Sound, doing contemplation (meditating with the inner vision) on the Light within the Sound, and making hearing, seeing etc. - all of the vrittis – into one melody [or: one tune] and becoming completely absorbed – all of this is the spiritual act of the “buddhi” [faculty of observing and ascertaining] – the “gyanakanda” [phase of knowledge/wisdom]. In this gyanakanda, there are two sections: the performance of the act using buddhi and the [yogic] state of being. These two sections are further divided into groups of twos. The first two divisions [of the first section – the part where the act takes place – in gyanakanda] are: “upasana” [worship; experiencing the glories]. This is a buddhi-oriented state (Chapter 2, sloka 50 [of the Gita]). And then there is the state where there is no knowledge of the hearer and the heard (Chapter 2, sloka 52). These are the two divisions [in the section of the buddhi-oriented act]. The second section - “gyana” [knowledge/wisdom]. In this, there is [first] a state attained through the practice of yoga (Chapter 2, sloka [unclear in print – possibly 53]), and [then] a realized state in yoga (Chapter 2, sloka 71). This section is divided into these two parts. It is at the end of this [progression of] karma-upasana-gyana that Brahman-Nirvana is attained after leaving the body [death] (Chapter 2, sloka 72). All of these are stages that belong to the path of sadhana; therefore they are related and connected to each other. However, when one particular stage is active – that very stage becomes the primary one over the other stages for that time. Thus, when there is karma [act], at that time action is primary. And then, upon passing through the stage of action, when the vritti [functionality] of certainty springs forth during the stage of buddhiyoga and “yoga” [connectedness] is attained, at that time karma [act] is “dureNa avaraṃ” [far away and unseen]. The sum of it is this - as the springing forth from buddhi happens because of the act, the act is the great thing [at that time]. And then again, because it is from buddhi or gyana that the “anamaya pada” (“Peace” or “establishment in Brahman”) is attained, buddhi is seen as “jyayasi” - even greater. After the all-knowing Srigurudev [Sri Krishna] says all of these things, the little-knowing disciple (sadhak) thinks: if buddhi is greater, then what is the need for the act? Right. It would be best to just sit silently with attention fixed in Kutastha and do “shravana-manana-nididhyasana” [hear-contemplate-be absorbed]. What is the need to make such an effort to move prana?! The sadhak did not understand that without the act, the springing forth from buddhi does not happen. And if the act is not there, then the functionality of buddhi also gradually diminishes, and one has to again become wrapped up in outer things. The sadhak concludes that the [yogic] act is just intense distress. Footnote - Just by being a sadhak, one is surely aware of the hardship of asana, pranayama etc. As well, the sadhak must also be aware of the intense bliss that comes forth at the paravastha of Kriya [post-Kriya poise], when one is focused on Kutastha and is absorbed, experiencing the divine things within. When one thinks about that [latter] state, it certainly does seem like the act is just intense distress. Footnote complete.It is for this reason that the sadhak is telling the World-Guru [Sri Krishna], “You are the One Who is “Janardana” (“jan” = emergence; “ardana” = destruction), the Lord of the destruction of past lives, and “Keshava” (“ka” = Creator; “isha” = Destroyer; “va” = Void), the “Kaivalya” (Only-ness) devoid of creation and destruction. Then why are You making me participate in such an intense (terrifying/terrible) act?”"
2,It is as if You are trying to bewilder my intellect with these confusing words. That by which I will attain the great – tell me something about that with clarity and certainty.,"The sadhak (Arjuna), upon learning about the difference between “sankhya buddhi” (gyana-yoga) and “yoga-buddhi” (karma-yoga) – these two – in the previous chapter [Chapter 2], and upon understanding about the establishment in Brahman according to the teachings of Sankhya, had become eager to attain that [establishment in Brahman]. And the sadhak concluded that compared to the establishment in Brahman, the act is an intense distress. But the Lord, through the statement “dharmyaddhi yuddhAcchreyo'nyat kshatriyasya na vidyate” [there is nothing greater for a Kshatriya [warrior] than the opportunity to fight a righteous war] (Chapter 2, sloka 31 [of the Gita]), explained that there is nothing greater for the Kshatriya than the dutiful battle (karma [yogic act]). In this [statement], it is indeed the act that is being praised. And again, by this statement, “durena hyavaraṃ karma buddhiyogat dhananjaya” [action is far inferior to buddhiyoga [yoga of knowledge], Dhananjaya [Arjuna]] (Chapter 2, sloka 49), He is also saying that buddhi [intellect] (gyana [knowledge]) is superior to karma [action]. In this [statement], it is  indeed the intellect that is being praised. Thus, having become desirous to attain the establishment in Brahman through the practice of yoga through intellect, and upon hearing the Lord praise action at one time and the intellect at another time, doubt arrived in the mind of the sadhak; the intellect also became bewildered. Which one is better? Is it better to take recourse in the wisdom of yoga, or is it better to take recourse in the wisdom of Sankhya? The sadhak is not able to become clear and certain about this. That is why the sadhak asks Guru-Brahman Kutastha Who is within, “Amongst karma [act] and buddhi (gyana) which is the best (giver of Liberation)?” The sadhak is desiring that this be clear and certain."
3,"The Lord said, “O Anagha [blameless one; Arjuna]! I have told you previously that there are two types of “nishtha” [steadied abidance in something] on this plane of existence: the “nishtha” of gyana-yoga by those on the side of Sankhya, and the “nishtha” of karma-yoga by those on the side of the yogis.  -3-","The certain steadiness that is full of devotion and reverence, the kind of steady state, which, when it comes about, makes the body motionless, when the antahkarana [aggregate of inner operators of personal consciousness] becomes pointed toward the inner world and goes beyond the bindu, sound and attributes – it is that which is called “nishtha” [steadied abidances]! In the physical world, that nishtha is of two types: one – the Sankhya's – meaning: gyani's – they [attain that nishtha] via gyana-yoga, and those who are yogis – meaning: “karmis” [performers of action] – they attain that nishtha via karma-yoga. In the body, prana is the power of movement, and mind is the power of consciousness. Putting mind in that prana is called “karma-yoga,” and putting mind in mind is called “gyana-yoga.” By applying the instructions of guru, and placing the mantra of the Self together with “hangsa” in a precise way on the six chakras in the path of sushumna is putting the mind on prana. And aiming towards the state of stillness at the Sahasrar, which is above the Agya, via “shravana-manana-nididhyasana” [hearing, contemplating, being absorbed], and going on to ascertain the knowledge of spiritual things is putting mind in mind. The result of the precise offering of mantra is: becoming support-free and merging as one in the Sky of Brahman. And the final result of ascertaining the knowledge of spiritual things is the dissolution of the mind and becoming Still in the Vishnu-ness. These two are verily the same; the difference is only in the way they appear to be. In Chapter 2 [of the Gita], from sloka 20 to sloka 38,  gyana-nishtha [abidance through awareness], and from sloka 40 to sloka 53, karma-nishtha [abidance through the act of yoga] have been explained. That is why the Lord said, “Pura prokta” [taught as a complete whole; alternate translation: taught since ancient times]. Because the sadhak, having received the teachings of Sankhya, is no longer falling into the restlessness of the outer experiences and has become fit to receive the Knowledge of Brahman. That is why he [Arjuna] is being called “anagha” [blameless] – meaning: sinless – in this sloka."
4,A person will not attain non-doingness without having acted. Just by taking sannyas [becoming a renunciate monk] one does not attain Realization. ,"In gyana-nishtha [abidance through awareness], which is the realization of non-doingness or establishment in Brahman, there is the absence of action. Thus there is no disturbance/restlessness. There is the Onlyness, waveless Wholeness. And in action there are the tremendous waves of struggle, where there is nothing but restlessness. If these two are placed next to each other, they do seem antagonistic to each other. But yogis say, “That is not so (they are not antagonistic to each other).” The primary recourse to attain establishment in Brahman is actually karma-yoga [practicing the yogic act], which, if not performed, all of the vrittis [active tendencies] of the antahkarana (which is where action begins) cannot be completely brought to an end – meaning: the state where there is no memory of the vrittis does not come about. If one is not able to bring those [vrittis] to an end – that resting in the realization of non-doingness – the consciousness cannot apprehend that. This is because: the establishment in Brahman, or the realization of non-doing-ness comes about through the previous “doing” of that karma [yogic act]. The end of this act is the attainment of non-doingness, and the union at the end of the act is verily “karma-yoga” [union through the act]. Dear sadhak! See for yourself: when you went on to do the purification of the elements in the brahmanadi in the Muladhar, at that time, because of the colliding dissolutions taking place (the technique is known through the teachings of guru) – how much disturbance/restlessness you had to go through! When you pierced the Agya-chakra and put your attention on the non-doing Guru-ness – it is then that your non-doingness began. Gradually, the more you entered the Guru-ness, the more your restlessness in the Agya-chakra below went on to be farther and farther away. And your non-doingness continued to grow. When you merged with the Guru-ness, that prana-driving karma [duty] that you had, that which you had duly performed before – that completely left you. You got that realization of non-doingness. If you had not done the practice of driving prana in the path of consciousness (in the Space of Brahman), then you would have had to become wrapped up in the five elements of the worldly experience and you would have been drowning and gasping. You would never have been able to enjoy this Still Peace-Happiness. And see even more: before learning about driving prana in the path of sushumna, the masses of latent desires of the outer experiences that are acquired through the natural process of inhalation and exhalation and are imprinted in the chitta [personal consciousness; heart] – if you try to renounce actions (appear as a renunciate monk) while those imprints (meaning: the previously acquired karmas) are still there, then you could not get that realization of the state of gyana-nishtha (the state of rest in Brahman). That is why the Divine Lord said, “If the person does not perform karma [yogic act], then that person does not attain the state of non-doingness. Or – that person cannot attain Perfection by abandoning karma and becoming a purposeless monk either.”"
5,"No one can stay still even for a moment without acting, because the three gunas of Prakriti have everyone/everything under their power and they make a person act.","“Karma” [action] is nothing but the activity of prana. Whether wise or ignorant, all are bound to this movement of prana. Without the pranic activity taking place (“ajapajapa” [sacred repetition happening automatically, i.e. inhalation and exhalation]), absolutely no one can continue to be even for a short while. This activity does not stop even when one is asleep. As well, no one can say “I will not do it” and just be like that. This is because: everyone has fallen into the trap of sattva, rajas, and tamas – these three gunas [universal operative qualities] – and being under their power, everyone has to do “karma” [act]. In sattva-guna, the breath moves in the sushumna, and in rajas and tamas, the breath moves in ida and pingala. For as long as there will be the activity of the three gunas, for that long will the breath also move about in these [aforementioned] ways. Without being wrapped up in the Brahman-mantra and doing prana-Kriya according to the instructions of guru and going beyond the three gunas, the renunciation of karma does not happen. Therefore, the real sannyas [true renunciation] also does not happen."
6,"The person who, after controlling the senses, goes on thinking about the matters of the world – that person is known as a “mudhatma” [stupid being] and a “kapatachari” [hypocrite].","The person who acts like a renunciate without having crossed the field of actions through performance of the [spiritual] act – even if that person has controlled the organs of action, because of being tied to the gunas of Prakriti, that person's mind has to go to the matters of the world. Then, in order to show people one's “renunciated-ness,” one keeps the organs of action from working. This kind of victory over the sense-organs can only get one the pleasure of “loka-ananda” [joy from people's approval]; one cannot get “Brahmananda” [the Bliss of Brahman]. “Stupid”: because – although the force of being caught up in the worldly experience is taking over the mind, it is only to keep the asserted reputation [of holiness] intact that this person controls the sense-organs. That is why this person is a “mithyachari” [cultivator of the false]. Footnote - Just by being a sadhak, one knows this: one has been sitting in the correct posture during Kriya; Kriya is going on; while continuing, such a thought about worldly matters rises up in the mind that one perhaps ends Kriya for that day due to that thought. This is also a state of “mithyachar” [cultivation of the false]. When this condition comes about, one must go on doing Kriya with steady persistence, following the teaching “tatastato niyamyaitadAtmanyeva vashaṃ nayet” [rein in [the mind] from that [worldly thought] and let it be under the control of the Self]; one can then become released [from being bound]. End Footnote."
7,O Arjuna! But the one who controls all of the sense-organs along with the mind and begins karma-yoga by using the organs of action – it is that “asakta” (without attachment; non-addicted) person who is worthy – meaning: one who becomes “yukta” [connected/united].,"Sitting cross-legged, putting the heel of one foot at the anus, and the heel of the other foot at the root of the sex organ. Start Footnote. One can also do sadhana comfortably in “swastikasana” [description follows]. Upon sitting cross-legged, there are creases where the two thighs and the two knees fold [the creases formed by the folding of the lower legs against the thighs]. Putting the two feet in those two creases, and being locked in a triangle-like posture, and sitting easily with the back, head and neck aligned is “swastikasana.” End Footnote. making the arms/hands straight on top of the knees which are aligned according to the posture, keeping the wrists [there], making the spinal column, neck and head straight and aligned, putting attention on Kutastha and keeping the organs of perception mentally fixed on whatever is happening there [at Kutastha], and then beginning the “karma” [act] by moving prana according to the instructions of guru – one can, after some time, become “yukta” [connected/united]. Later, remaining seated in the same way, by using the fingers of both hands and closing the doors of the eyes, ears, nose and mouth according to the instructions of guru, “paramaṃ puruShaṃ divyaṃ yAti” - meaning: the Supreme Person is witnessed – the One Who is spoken about and described as “Hiranmaya Purush” [Golden Person; Radiant Person] in the Upanishads. Start Footnote. See Chandogya Upanishad – Discourse 1, Section 6, sloka 6:“yatha yadavaitadAdityasya shuklaṃ bhAh saiva sA, atha yanneelaṃ paraṃ kṛShNaṃ tadam tatsAma, atha yah eyo'ntarAditye niraNmayah puruSho dṛshyate hiraNyashmashrurhiraNyakesha ApraNasvAtsarva eva suvarNah” Bengali translation [of the above sloka from the Chandogya Upanishad] - And this, whatever is the bright “bhah” (radiance) of the Sun, that is “sa,” and that supremely blue [deep blue] dark radiance – that is verily “ama.” That (the coupled radiance of the bright and dark radiance) is known as “Sama.” And there, that Being, Who is seen as the “Hiranmaya Purush” [Golden Person; Radiant Person] within that Sun – that Person has a golden beard and golden hair. Everything is golden, radiating from that Person's golden nails (resplendent with Light). End Footnote. That Person is verily the Supreme Destination. One who, via pranayam, has purified the heart, has become unattached, and by using the organs of action has closed the nine doors, and has become focused and dedicated in this sadhana of the Spiritual Supreme Person (does the performance of [yogic] karma-yoga) – it is that person who is “connected/united”; it is that person who is, indeed, eminent."
8,"Perform the karma [act] with “niyata” [steadfastness], because “karma” [action] is greater than “akarma” [lack of action]. What is even more: without doing karma, you cannot even maintain your body.","Pretending to be a renunciate without being a “karmi” [one who performs action] (meaning: yogi) – if one stays in the state of the “akarma” [the lack of action] that comes about from that – because of all of the senses being tied to the world-oriented fruits of previously accumulated karma, the Supreme Thing cannot be attained. But if one does karma [yogic act] according to the teachings of guru, the inevitable result of that [act] is that karma [accumulation of results] is destroyed, and the “akarma” [non-doing] that comes about because of that – it is that very state that makes one attain the Supreme Thing. That is why doing karma [performing yogic action] is superior to the “akarma” [refraining from acting] of the “made-up renunciate.” “Karma” - the coming and going of prana within and without – is happening in each body. By abandoning that, no one at all can keep the body alive. By nature, everyone is forced to do this. When a technique is applied to that natural karma [act of prana movement], a supernatural, Eternal, Blissful Glory comes forth. That is why Srigurudev [Sri Krishna] has instructed that one has to perform karma [yogic act] with “niyata” [steadfastness]. Being steadfastly determined and disciplined according to instructions, moving prana in the direction of the Self – meaning: when one applies a technique to the naturally happening karma [prana moving in and out], one is doing “niyataṃ” [steadfast] karma"
9,"Doing action other than those that are for “yagya” [oblation; offering into fire], one has to become bound to the bindings of karma on this plane [of existence]. Therefore, Kaunteya [Arjuna]! Be unattached, and perform action as “yagya.”  -9-","“Yagya” - meaning: “homa” [oblation; offering into fire] – meaning: throwing ghee [clarified butter] into ceremonial fire while chanting mantras with “uddesha” [intent] towards the “devas” [gods]. Vishnu is the One Who is the true “Deva” [God]. The Lord Himself has said, “ahamAdihirdevAnaṃ” [I am even prior to the gods]. It is from Him that “pravṛttih prasṛtA purANee” [all has come forth from the beginning]. It is He Who is the Kutastha Purush. “Ut” - “urdhadesha” [the upper area] – meaning: being focused on Kutastha is “uddesha” [intent]. Keeping attention on Kutastha, giving the oblation of prana in every chakra according to the instructed injunctions of guru (this is called “prana-yagya”; it is also called “antarayaga”), when the mind becomes enraptured by the resonance of the buzzing of bees, then the elixir (“amrita” [nectar]) drips from the Sahasrar. That elixir has to be thrown to the “vaishvanara” [fire in the navel area] via the upwardly turned tongue, according to the method instructed by guru; that is, indeed, “yagya!” This does not happen without “deva-uddeshya” [intent on the Divine]. And it is with this that the Lord of yagyas – Vishnu – becomes pleased. - Start Footnote - One who can give oblation to the “jatharagni” [digestive fire] which is known by the name “Sudha Vaishvanara” [elixir of the universal being; elixir and fire in the navel region], that oblation pervades throughout all of the nadis [subtle energy pathways], nourishing and awakening all of the powers (the beings that reside on each of the petals of the lotuses). Because of this the body becomes radiant; light shines forth [from the body]. This body is verily the temple of Vishnu, where Brahman-God Hari presides. - End Footnote. -   The type of “karma” [yogic act] – the type of pranic movement (to learn which is the very reason for following guru) that pleases the Lord of yagyas – that is what is known as “tadarthaṃ karma” [the meaningful act]. Doing any other act besides that “tadartha” [meaningful] act (meaning: not offering prana in every lotus while keeping the mind steadily on Kutastha – meaning: when the mind does not become fully merged in prana) one absolutely will fall into the “bandhan” [bindings] of the Prakritic karma of the world.- Start Footnote. - “Bandhan” [bindings]: the karma whose fruits have to be experienced – that is “bandhan.” That “bandhan” is indeed the covering of Prakriti. That covering is differentiated into many types such as physical, subtle [and such]. The physical body is a “bandhan.” One cannot leave the recourse of the physical condition and abide in the sky. Due to being under the power of gravity, one has to fall to the ground. The subtle body is another “bandhan.” Now this one has different kinds of heavier and lighter types [of bindings] according to the different karma-samskaras [impressed tendencies which become active]. With this [subtle] body, one can leave the earthly plane and go into the path of air, but one cannot cross past the sphere of air. One has to go around in the levels or planes [of existence] according to the samskaras [impressed tendencies]. One cannot go the level of the pure sphere of space which is above that [sphere of air]. After ordinary death occurs, the non-liberated spirits stay in this sphere of air in many ways/forms. Later, due to the ascribed time of abiding there coming to an end, and because of the fruits of previous actions, they return to samsara. For as long as the karmas are not eliminated, for that long does one have to suffer this “bandhan”-affliction of coming and going. Through sadhana, the beneficent samskaras grow and that brings about the end of karmas, and one becomes free of “bandhan” [bindings] and becomes Liberated. “Yadi dehaṃ pṛthakkṛtya chiti vishrAmya tiShThasi; adhunaiva sukheeshAntah bandhamukto bhaviShyasi” [if you separate your consciousness from the body and rest in Awareness, you will even now/at once be happy and peaceful, free from bondage] – Ashtavakra Saṃhita, First Section. - End Footnote. - It is for this reason that one has to let go of attachment (because attachment is the very reason for being bound to karma) and perform the “tadartha” [meaningful] act. This is the teaching that is given."
10,"At the beginning of creation, Prajapati [a deity – lord of creatures/lord of subjects] created the subjects [created beings] with yagya and said, “May you, step by step, attain the heights of the Self. Let this bring about the bestowing of the beneficent fruits.”","During the time when the [sperm] from the body of the father travels into the womb of the mother, the prana of the father spreads [in the womb]. With the mixing together of that prana with the prana of the mother, the prana-flow [for the new body] begins. At this time, in the form of a particle subtler than all particles (as small as that) in the microcosm of the body, the seven heavens are formed. In those seven abodes, Mahamaya (“Jagaddhatri” [Goddess Who is the foundation of the world) appearing in the form of Life, activates the supernatural powers that are ascribed to the seven abodes through Her Power. Because of this the seven elements expand; by which, the sheath of the body continues to grow. This is why the creature is [said to be] “with yagya.” There are two “Prajapati[s]” [see the Bengali translation section above] [as the title] pertains to human existence. The first is the giver of the first birth, and another is the giver of the second birth. The giver of the first birth are parents. The giver of the second birth is guru. Both of these two declare: “anena prasaviShyadhvam” [by this, may you bring forth; see sloka 10 above for the Sanskrit occurrence] etc. Because the parents' “declaring” is within the “Adi icchAshakti” [power of primal desire], it [the declaring] remains unrevealed. Because the guru's “declaring” is within teachings, it [the declaring] is revealed. Srigurudev gives the disciple the right to enter the inner world from outside and gives [the disciple] the second birth. At that time, upon showing the disciple the “sahaj” [easy/simple/natural] yagya of prana and showing the disciple the method of applying the technique, He says, “It is by this that there is attainment of the heights. It is by this that the beneficent fruits are had.”"
