Verse Index{hide},Pranab Gita Translation,Pranab Gita Commentary
1,"Arjuna said, “O Krishna! After speaking about 'karmasannyas' [the renunciation of actions], You are again speaking about 'karmayoga' [the yoga of spiritual act/practice]. Which is greater amongst these two? Tell me about that particular one in a definite way.”","In Chapter 4, from slokas 18 to sloka 41, the matters of surrendering all karmas [acts] have been stated. Yet again in sloka 42 [of Chapter 4] the matters of taking up yoga as the way of performing karma [spiritual act] is stated. But it is impossible to do both of these at the same time. Now, which one should be taken up? All is Brahman. Holding this idea, should one do nothing and be without action, or should one perform action? Because this kind of feeling has risen in the mind, the sadhak is asking this question, wanting to know which of these is superior."
2,"The Lord said, “'Sannyas' [renunciation] and 'karmayoga' [spiritual act/practice] are both givers of Liberation. However, among these, karmayoga is superior. ","It was said in Chapter 4, sloka 41 that gyana [Knowing] and karmasannyas [the ending of acts] are greatest, and again in this sloka it is being said that karmayoga [spiritual act] is superior. This seeming discrepancy is due to the differences in the rights [of the practitioners]. Karma [spiritual act] and sannyas [the ending of acts] are the two ends of the stairway of sadhana. Karma is of the lower, sannyas is of the upper. The one who is below – in order to go up, [that] one has to first take up karma [yogic practice]. Only then can one get sannyas. It is not possible to have sannyas without karma [spiritual act]. That is why karma is greater. And then again, one who has gone above and has taken sannyas – because that being does not have any need for karma, for that person sannyas is greatest. The sum of it is this: sannyas only happens after karma is taken up. And if sannyas happens, Liberation happens. That is why it has been said both are “nihshreyaskara” [neither are greater than the other; see end of first line of the sloka above] – meaning: [both] bestow Liberation. "
3,"O Mahabaho [mighty-armed one; Arjuna]! One who does not hate, does not crave either – that one should be known as the “nityasannyasi” [eternally renunciant]. This is because only the conflict-free person easily attains Liberation from the bindings of samsara.","Desiring to attain powers in Kriya is “craving.” And the desire to get rid of the natural way of being is “hate.” One who is free of that hate and craving, and performs Kriya simply according to the teachings of guru, and takes care to see if Kriya is being performed just as was taught or not (other than this there are no other feelings in the mind) – it is only that person who is “nishkama” [without desire]. The conflicts of pleasure and pain, attraction and repulsion and such are not there in that person. For this kind of sadhak, no kinds of “kashmal” comes in front of him/her [see Chapter 2, sloka 2 for explanation of “kashmal”]. The path of the Self for that person remains free and clear. For this reason, “mukti” [emancipation] – meaning: merging in Vishnu-ness – is an easy attainment for that sadhak. This is why that sadhak is “nityasannyasi” [eternally renunciant]."
4,Only ignorant persons say that sankhya and yoga are different. The pandits [wise ones] do not speak thusly. The one who practices either one of these two completely – that person receives the fruit of both.,"Those who do not perform karma [yogic act], or have not received the permission to enter into karma [yogic act] – even if they are knowledgeable in many scriptures, they are “children” - meaning: ignorant, or scholars who have never practiced. [They are children/ignorant] because they cannot actualize spiritual Truth. On the other hand, those who are “karmis” [performers of the yogic act] – even if they do not have knowledge of the scriptures, because they ascend through spiritual truth after spiritual truth and then directly experience the Primal Cause of the entire universe, they are “pandit[s]” [wise ones]. Those ignorant ones (scholars with no practice) rely only on inference. They just manipulate the language in convoluted ways, and separate this from that, that from another – nothing more. They have no ability to actually go deep and find out directly. But those who are “pandits” [yogis], they see that the water flow of the Triveni [three particular rivers; or: [in yoga -] aggregate of three inner pathways] is the same whether the pathways are seen as connected or whether they are seen as independent. The result from taking a bath and drinking from the united pathways of the Triveni is the same as in the independent pathways. Thus, whichever one it may be, take recourse in one of them [sankhya or yoga] completely – meaning: by surrendering mind and prana [or: surrendering all], purify the inner way (inner place). Now, the path of yoga is the same. The result that comes about when mind is put into prana and then one continually and in every way does “brahmaNyAdhAya karmANi mamanusmaran” [dedicates all karma [practice; or: actions] to Brahman and meditates on “Me” [the Self; the Lord]] [sankhya] – the same result comes about when one crosses Kutastha, goes up to the Sahasrar and, putting mind into mind, merging into the Naad, and becomes extinguished [yoga]. Both are Liberation [or: both result in Liberation]. No matter how it is done, all that matters is that the chitta is merged/dissolved [into Brahman], whether that is done through karma [yogic practice] or through sankhya [awareness]. That is why it has been said “ekamapyasthitah samyak” [take one of them and practice it wholly; see second line of the above sloka]."
5,"The abode that is attained by the sannyasis who are established in gyana – the karmayogis [practitioners of spiritual yoga] attain that very abode as well. Thus, the one who sees sankhya and yoga as the same – it is that person who is a true seer.","The Kriya of the six chakras is yoga; and the Kriya of the Sahasrar is sankhya. The culmination of both is the same (see the previous sloka [5:4]). The one brahmanadi within the sushumna goes from the Muladhar to the brahmarandhra in the Sahasrar. If one enters wholly into this brahmanadi, the differences in chakras no longer remain. All become one. One who sees this Oneness (directly experiences it) – it is that person who truly sees. That being is the Seer who is the Witness – meaning: it is that person who is the Knower of Brahman."
6,"But, O Mahabaho [mighty-armed; Arjuna]! Sannyas [renunciation] without [spiritual] yoga brings about suffering. One who unites through karmayoga [practice of spiritual yoga] – that one becomes “muni” [sage] and quickly realizes Brahman (“parmartha sannyas” [ending oneself in the Supreme Truth]).","It is true all right that the result of both sannyas [renunciation] and yoga  [spiritual practice] are the same, but sannyas does not happen without the performance of yoga. This is because the only way to purify the chitta [heart; personal consciousness] is through [spiritual] yoga. If someone takes up sannyas without having performed yoga, then that person becomes helplessly pulled to the worldly experience. Because the vrittis [functionalities] of the sense-tendencies all remain strong, nothing at all gets renounced. But if one becomes spiritually engaged through yoga, as the mind goes to Kutastha and realizes the Kutastha Purush by seeing and knowing, everything quickly gets destroyed and one attains Settledness in Brahman. This Brahman is That Which is “sannyas” [where all ends] - “saṃnyAso brahma uchyate” [it is said that Brahman is “sannyas”]. (For as long as the chitta is not purified, for that long does karmayoga and sannyas remain different. Later both are known as one.) "
7,"Even if the yoga-united person, being purified in chitta, victorious over the body, victorious over the senses and seeing the same in all performs karma [actions], he/she does not become bound (by that).","The yoga-united sadhak – having followed the methods of the previous slokas and having attained Settledness in Brahman, and then coming down and again becoming yoga-united – becomes a being with a pure chitta – meaning: remains in the Pure “I” state. Because all of his karmas [actions and their fruits] are burned to ashes in the fire of gyana, he/she becomes victorious over the body (see Chapter 4, sloka 37 [of the Gita]). By following [the teaching] in sloka 39 of Chapter 4 [of the Gita], when all senses become completely controlled [or: one], that sadhak becomes victorious over the senses – meaning: even when coming into contact with the worldly experience, none of the sadhak's senses become attached to the worldly experience. And knowing all phenomena/beings including iconic pillars such as Brahmaa [creator aspect of the Hindu Trinity] within one's Self, that sadhak becomes all-seeing. For this reason, even if karma [actions] are performed due to the connection with prarabdha [karma to carry out the body], one does not become bound by that. When the chitta is purified by the Light of Consciousness, no imprint by worldly experiences is made ever again in the chitta."
"08,09","For the spiritually knowing yogi, because he/she sees that all of the sense-organs are carrying out their particular actions by themselves, even if that yogi does actions – such as seeing, hearing, touching, smelling, eating, moving, lying down (sleeping), letting go of the breath and drawing the breath, speaking words, eliminating, holding and the opening and closing of the eyes etc. - that yogi does not ever think that “I am doing something.”","The one who has known Truth, and is always enjoined to the State of the Self – because that being's chitta is completely pure, he/she never again has to become deluded in the “me and mine” of the Mayic creation. Thus, as the prarabdha experience plays out, all of the matters of the senses that take place such as seeing, hearing etc. - that sadhak has no sense of doership in that. The good and bad fruits of karmas that have to get carried out because of prarabdha happen only to the body. They cannot shake that sadhak's state of Profound Peace. Seeing, hearing, touching, smelling, eating – these are the activities of the five sense-organs of perception. Speaking, holding, moving, elimination of feces and urine – these are the activities of the five organs of action. Exhaling, inhaling, looking, closing one's eyes – these are the activities of the five pranas. Lying down (sleeping) is the activity of intellect in the inner senses. "
10,"One who performs all karma [actions] upon having offered them all to Brahman – like the lotus leaves on water [being above the water], is not touched by sin.","In slokas 6, 7 and 8 [of this Chapter 5] – being yoga-united, muni [sage], Brahman-sannyas [ending in Brahman], and then again being yoga-united and being a knower of Truth – these progressively ascending steps of sadhana that have been stated – one who has not yet followed that progression and has not yet become a knower of Truth – the procedure with which that sadhak should practice Kriya – that is being spoken about in this sloka – meaning: it is being said that that sadhak must cut off his/her connection with karma [actions] and act by offering [the actions] to Brahman. The space-filled canal that extends within the sushumna nadi going from the Muladhar to the Sahasrar – that is called “brahmanadi.” — Begin Footnote. — The brahmanadi, goes up within the vajrachitra [nadi] – which is within the sushumna [nadi] – and pierces all of the lotuses. Entering the mind within this [brahmanadi] is called “awakening the Kundalini Shakti.” When the mind enters into this [brahmanadi], the pure intellect comes forth. Whatever there is to be known is known. For this reason it [brahmanadi] is also called “gyana-nadi” [nadi of knowledge]. One mouth of this brahmanadi is at the Muladhar, and the other mouth bifurcates into two paths reaching the brahmarandhra in the Sahasrar [from two opposite sides] (see Illustration No. 2 [in the Introduction section of the Pranab Gita]). The mouth at the Muladhar is open. The mouth at the Sahasrar is closed. For the perfected person [realized being], the mouth at the Sahasrar opens up. That is what is called “the bursting open of the brahmarandhra.” When the brahmarandhra is burst open, there is “videhamukti” [Liberation after leaving the body/dying]. The three mouths of ida, pingala and sushumna [nadis] are all one at the Muladhar. — End Footnote. — The space filled canal between the ida and pingala [nadis] is called “brahmanadi.” Taking recourse in that brahmanadi, prana and apana go on sporting in all of the lotuses. For the sake of chitta-purification, all of the types of practices that Srigurudev gives to the disciples (whatever suits the particular person) – all of those practices have to be performed by moving prana upon taking recourse in that Sky of Brahman. This is that which is called “offering to Brahman.” Through those types of practices, as one goes farther and farther above in these three nadis – particularly in the sushumna nadi – many wondrous visions are seen, and different powers of the different locations come forth and provide places of abidance to bind the sadahak into enjoyments. Far be it to even talk about being entranced by those visions or resorting to any of those powers, one should completely ignore and abandon all of those and keep attention only on Kutastha; and doing “mAmanusmaraNa” [meditating on Me; meditating on the Self or the Lord] continuously, one has to go straight upward; one must not make contact with anything [on the way up]. This is that which is called “cutting of the connection” [see last line of above paragraph]. If one practices in this way, one does not have to be bound by sin – meaning: one does not have to fall to the bindings of restlessness-born karma. Just as the lotus flower is born in water, grows in water, does not get covered up by water even though it lives in water, and no marks from water remain on it – in the same way, the sadhak who has offered all karma [yogic practices] to Brahman and cut off all connection to karma [the fruits being experienced along the way], actually takes recourse in karma itself [spiritual action] and goes up to the field above. The sadhak goes through the worldly experience due to prarabdha by taking recourse in karma itself [spiritual action], and even as he/she does so, does not become bound by karma [actions and their fruits]."
11,"In order to do “atmashuddhi” [self-purification], the yogis renounce the craving for the outcome [of actions] and perform karma [spiritual actions] with the body, mind, intellect and the “kevala indriya[s]” [spiritual senses; see definition and explanation in the commentary].","[The kinds of practices associated with the methodology stated in the tenth sloka [of this Chapter 5] that the yogis do is the matter being stated in this sloka.] Due to the activities of the humors – “vayu” [air], “pitta” [bile] and “kapha” [phlegm] – all of the passageways of the nadis in the body remain closed. In that state, it is not possible to move prana in those passageways and rise up. All of those are physical impurities. Believing that the worldly experiences of sound, touch, sight, taste, smell and such are things of great delight, and thereby becoming addicted to them and being bound to such desires comprise the impurities of the chitta. If the impurities of the chitta are there, it is not possible to become established in the Self. For this reason, it is imperative to remove the impurities of the body and the chitta. This is that which is called “atmashuddhi” [self-purification]. For the sake of this “atmashuddhi,” the yogis follow the teachings of guru and perform many types of physical practices in the forms of asanas and mudras and such. As well: prana-Kriya adjoined with Atma-mantra, mantras to purify the ida and pingala, mantras to pierce the inner knots and such types of japa [repeated inner recitation] and invocations etc. - such types of mental practices are done. By using the intellect to be certain about different things which are sat [beneficent] or asat [maleficent], the yogis become “hṛdi sanniviShTa” [settled in the heart; or: experience the Self settled in the heart]. And entering the innermost space, through “kevala indriya[s]” [see explanation in the following sentence], the yogis do the practices related to the matters that are associated with them [such types of senses], such as the seeing, hearing and knowing of the Spiritual Truth in the forms of Naad, Bindu etc. All of the senses that have turned away from the outer-facing ways and face inward, and are free of “me-ness” are the “kevala indriya[s].” All of these practices that the yogis do – they do not keep any expectation of attaining outcomes. They simply carry out guru's teachings. If there is mental connection [to the practices] or desire, “atmashuddhi” [self-purification] does not come about."
