Verse Index{hide},Pranab Gita Translation,Pranab Gita Commentary
1,"Sanjaya said: “Madhusudan [Sri Krishna], seeing the despondent Arjuna overcome with compassion and tear-filled eyes, spoke these words to him.”","It is by rising above the visible and limited five elements that one gains complete victory. The inner vision that is revealed after achieving that complete victory is that which is called “Sanjaya” (“saṃ” [“san”] = total + “jay[a]” [victory]). And the direct knowledge that is born from observing with that inner vision, the knowledge against which there cannot even be a cause for doubt – the understanding that is possible through that knowledge – that is what is called the “statements by Sanjaya.”
 
“Vish” means that which has the power of permeation; “a” = addiction; “d” = giving; “giving” addiction to permeations is called “vishad.” Just as there is the permeation of names and forms given by the jiva to the [things of the] Maya-filled universe – in that same way, the meanings of the words relating to Brahman also have a certain kind of permeation. If one “gives” addiction to the permeation of Brahman, one has to end. And if one gives addiction to the permeation of Maya (the universe), one has to fall into suffering. The sadhak, while going forward to merge with the permeation of Brahman, ends up giving addiction to the permeation of Maya because of the errors of habit. And from that, those [vrittis] that come forth from the [permeations of the] meaning of the word “mine” - [the sadhak] takes them up because of [his/her] union with Maya [at that time], and becomes filled with pity. This is what is known as “Vishad Yoga.” Thus, being under the intensity of Maya, the tears come and cover up the power of external vision. As soon as the external vision is covered, immediately does the veil of the inner vision get lifted, and thrilling experiences come forth. Those experiences, verily, are the statements of Madhusudan [Sri Krishna] – meaning: the spontaneous deliberation and resolution of one's own questions by one's own understanding/knowing in one's own self-awareness. “Madhu” [honey] refers to something very sweet. The jiva's desires for enjoyments in samsara are the “sweet things.” The One Who is the “sudan” (eliminator) of that “honey” appearing as desires – meaning: the One Who Liberates the jiva from the samsara-calamity – it is He Who is “Madhusudan” (Kutastha “Tarak Brahman”). Because the treasures of knowledge, detachment and such are always present in Him, He is called “Bhagavan” [the Divine One; the Lord; God]."
2,"The Lord said: “Arjuna! How did this “kashmal” [ordinary meaning: confusion, timidity; see commentary below for spiritual definitions] – which is “anAryasevita” [not of service to sages], “asvargya” [does not lead to heaven] and is “akeertikara” [disgraceful action; opposite of works of eminence] – come upon you at this time of danger?”","“Sama” means the state which is without up and down (without stirring), when – because of the “me and mine” idea not being present – not even a trace of desire remains. Yet, only a kind of “I am I” - difficult to explain – type of “awareness of being” feeling remains. After having attained realization of the “sadhana chatushtaya” [see commentary on sloka 2 of Chapter 1] and having experienced this [aforementioned] state, when one comes down and goes to destroy the seed of samsara, there is “visham” [danger; distress] – meaning: an extreme experience of a disharmonious state comes about. At that time, the awareness of “me,” “mine” and “others” [or: “others'”'] - these three – becomes very strong. From the intense power of a kshatriya [warrior] [being experienced by the sadhak] in Dharmakshetra-Kurukshetra, the rajoguna springs forth. The force of saving “me” and destroying “others” becomes quickened, and the divine vision begins to operate. But if one falls into the mire of the treachery of Maya, one sees in the heart – meaning in the middle of the Kutastha-vision – some things like threads, sparks, wheels, zig-zags, twisting lines, colors of many kinds – all kinds of mixed up and convoluted lines, squiggly things wiggling and such. This is what is called “kashmal.” At that time, the intellect is under the power of Avidya and is in delusion, and one feels that the “other” is “my own.” This aberrant state of mind is also called “kashmal.” This “kashmal” is “anAryasevita” [not of service to sages], “asvargya” [does not lead to heaven] and “akeertikara” [disgraceful action; opposite of works of eminence].
 
“AnAryasevita” [not of service to sages]: The one whose mind has taken up the “subtle,” and thus finds Oneness/Equipoise in the world of Consciousness/Spirit – he/she is “arya” [sage]. And the one who loses oneness/equipoise by mixing into the mixture of the physicality in the physical world – it is he/she who is “anarya” [non-sage]. One becomes “anarya” by succumbing to the pull of Maya and falling in distress. Then, because of the inner vision being covered with “kashmal” [confusion], only “kashmal” [nonsensical visual stuff] goes on in the inner vision – meaning: one becomes a servant of “kashmal” [confusion; timidity]. This is why “kashmal” is not of service to sages.
 
“Asvargya” [does not lead to heaven]: “svarga” [heaven] = “sa” + “va” + “r” + “ga”; “sa” - the subtle breath; “va” - void; “r[a]” - power; “ga” - movement. The powerful movement that happens when the subtle breath becomes void is what is verily “svarga” - meaning: the attainment of the Light of the Self. Applying the “ya” (the “y” grammatical device) makes it “svargya” - meaning: that which causes the “attainment of the Light of the Self.” That which causes one to not be able to attain that “attainment of the Light of the Self” – that is what is called “asvargya” (“a”  = lack + “svargya” [attainability of heaven]. When one succumbs to the pull of Maya, the movement becomes “downwards-directed,” and right away, “kashmal” comes forth, and “svarga” (the Light of the Self) is no longer seen, and one becomes progressively covered up with the guna of tamas. That is why “kashmal” “does not lead to heaven.”
 
“Akeertikara”: The renowned identification that comes about from the accomplishment of a “karma” [endeavor] – that is what is known as “keerti” [accomplished act]. Such as: when one takes up samsara [the meaning here is: “life of a householder” or “worldly life”], one is a “samsari” [householder; one whose life is in the world]; when one gets wealth, one is “wealthy”; when one attains knowledge, one is a “scholar”; if one knows science, one is a “scientist”; if one is practiced at yoga, one is a “yogi”; when karmas are finished, one is a “sannyasi,” etc. The complete end of karma is Brahman-ness. But there are many different stages before the complete end [of karma]. Those various stages are individual places of accomplishment. The one who crosses over all of the stages and goes up to the absolute highest stage, that is the one who is “keertiman” [the highly accomplished one]; that is who is “jivanmukta” [Liberated while still living in the physical body]. The “videha-mukti” [Liberation after dropping the body] owned by [that person] is in his/her “hastamal-kavat” [in the person's hands] or under the power of his/her wish/whim. In no way does one who is “veera”[heroic/valiant] succumb to the power of Maya. Regardless of thousands of temptations/pulls [that sadhak] remains in the state of penetrating upwards. It is that sadhak that goes on to rise to the top of accomplishments, unhindered. If, because of the power of time, [that sadhak] has to leave the body before reaching the top, even then [that sadhak] is not stopped. The magnetic, drawing power that was gained by his/her sadhana then becomes extremely strong, and with the speed of lightning, in the blink of an eye, [that power] takes the sadhak across all stages and all the way to the top. That sadhak receives Eternal Life – meaning: attains permanent establishment in the “State of No Return.” That is why it is said in the proverbs: “keertiryasya sa jeevati” [one who is accomplished, lives]. But the one who loses his heroic/valiant nature and is not able to penetrate upwards and gets stuck – “kashmal” appears in front of that [sadhak], covering the sky of consciousness with fog, and it covers up the inner perception of consciousness. That sadhak, now having lost the way and having lost all direction, falls in the cycle of Maya and continuously goes around in circles. For that sadhak there is no more attainment of “keerti” [renowned accomplishment]; there is only “akeerti” [disgraceful lack of accomplishment]. This is because fruitless acts and acts of “asat” [non-spiritual; non-righteous] comprise that which is called “akeerti.” This type of unaccomplished sadhak does not “attain life,” or it happens much later. This is because: just as “keerti” [spiritual accomplishment] makes the jiva cross over all of the karmic boundaries – similarly, “akeerti” [lack of spiritual accomplishment] makes [the jiva] fall to very low stages, or keeps one pulled back and does not allow one to cross over the [karmic] boundaries. Thus, that sadhak has to succumb to the power of [the cycle of] life and death.
 
That is why the Lord is saying: “How did this kind of 'kashmal' come to you? You, the one who by the powers of the current of your Self conquered all – the Earth, the subtle world and such -   and traveled throughout heaven – meaning: moved about in the thousand petals of the Sahasrar [thousand petaled lotus], who received “pashupata” through the blessings of Mahadev [Lord Shiva] – meaning: by submerging yourself in the Brahman-bindu in the middle of the center of the flower of Sahasrar, you received the power of becoming established in Shiva-ness, which destroys all evil in the blink of an eye! Being this kind of a being, this delusional way you are now behaving does not become you.”"
3,"O Partha [Arjuna]! Do not take up the ways of a “kleeba” [eunuch; neuter]. It does not dignify you. O Parantapa [Arjuna], abandon such petty weakness of heart and rise up.","And more, you are the son of Pritha. Your mother is Pritha (“pritha” - throwing; the power of throwing is the mother of the sadhana-life of the sadhak). By the strength of the self-generated power of distinguishing between the gunas and actions, [Pritha – the mother of Arjuna] continuously and always abandoned past conditions because of her own wishes and because of the wishes of others. She even left Shurasena – the giver of her own birth [her birth-father] – and had to become the daughter of Kuntibhoja. That quality of your mother is active in you. So, if you too wish, you can use the strength from that power within you and abandon the Mayic way and take on the Brahman-way. So I am saying: do not take up this kind of “klaibya” [neutered person] quality. “Klaibya” means feeling like a eunuch. It is like the way a “kleeba” (eunuch) is – having neither female-ness nor male-ness, and just going on experiencing only the samsara-suffering. In the same way, in the path of sadhana, one who succumbs to the pull of Maya and loses the masculine principle, that sadhak cannot penetrate above, and because of being under the influence of hope [for Liberation], cannot relax and receive either. That sadhak only experiences the suffering of sadhana. You are “Parantapa” (one who can energize the power of the beyond – meaning: one who has the capability to use the arresting power of Prakriti [Nature]) – meaning: one who is adept at stopping the natural restlessness via subtle pranayam and able to be established in yoga. This kind of neuter-ness (lack of the masculine principle) does not become you. Abandon this petty weakness and be “ut” “tiShTha” (established above). [See sloka in Sanskrit above for the full [compound] word “uttiShTha” stated there.] Among the “da”, “ya”, “pa” and “u” - these four stations1 – at the time of sadhana one has to be settled in the “pa” station and pierce the Kutastha by the use of Shambhavi mudra. This “pa” is below the Ajna and above the Vishuddha, situated at the place where the head and the neck join. Because [this station] is above the five elements, it is called “ut” (above). Turning the tongue backwards, pulling the chin so that it touches the thorax of the throat, sitting with the chest thrust forward, and keeping the spinal column, neck and head aligned straight, and keeping head and neck area taut makes the “pa” and the Ajna chakra – these two stations – line up “on the same thread” [on the same line]. This state of “being on the same thread” is what is called the state of “kapidhvaja” (see the commentary on sloka 20 of Chapter 1). When Mayic worldly matters come to the mind, the two stations [“pa” and Ajna-chakra] no longer remain “on the same thread”; “pa” lowers down a bit, and the Ajna-chakra goes up a bit. This state is what is called “sitting on the chariot.” In order to destroy the seed of samsara, one has to abandon timidity and be on that “same thread.” Then, immediately upon applying Shambhavi mudra, the “kuta” gets pierced; the seed [of samsara] gets buried by the strike of extremely subtle prana and never sprouts again – meaning: through the “thoka” [strike] of breath, the mind dies and Chaitanya Samadhi is attained."
4,[Arjuna said:] O enemy-destroying Madhusudan! How can I employ my arrows and weapons and fight this war against the venerable Bhishma and Drona?,"There are two powers that are continuously working in the body of the jiva. One is “Nara” [human]; the other is “Narayana” [Divine]. Nara, abiding in the Muladhar, is trying to absorb the consciousness-substance in the worldliness-oriented “ignorance-natured tamoguna,” and Narayana, abiding in the Sahasrar, is trying to bring the consciousness-substance into the “knowledge-natured tamoguna,” and preside over [the consciousness-substance]. The result of this “trying” – meaning: the aggregate of these two powers' strengths together – is the “jiva-bhava” [jiva-condition; jiva-ness] or “jivatva” [jiva-ness]. Just as the consciousness-substance – meaning: mind – is helpless to the pulls of those two powers – similarly, prana is also helpless – one time within, another time outside, going round and round like a weaver's spinning wheel. Mind – subtle and free; prana – physical and enslaved; mind – the living-ness; prana – life being lived;  the difference between [mind and prana] is only this much. That Nara-Narayana is also called “Maya-Brahman” or “Mayic Shakti” or “Brahmi-shakti.” Just as soon as one tries to leave Maya and go to Brahman, right away Maya starts pulling [on the jiva]. At that time, mind – like the swing of life [alternate meaning: like the swinging of prana] – goes on swinging between Maya and Brahman – meaning: at one time rises up through the strength of Self-Awareness, and then again comes down because of the errors of world-awareness. In Self-Awareness - “It is I Who is the presence of all and it is from Me that everything is present” - this type of state of Independence comes about. In the world-awareness - “you are the all-knowing guru; I am the ignorant disciple” - this type of enslaved state comes about. These two states are what are called, respectively, “Atma-bhava” and “jiva-bhava.” The doubt and conflict of the jiva-bhava finds resolution in Atma-bhava. This discussion between Arjuna and Sri Krishna is actually the jiva-bhava and Atma-bhava – doubt/conflict and resolution [respectively]. These two are only different states of the same being. I am the one who understands; I am the One Who makes me understand. Succumbing to the pull of Maya is [the state of] Arjuna, not succumbing is Bhagavan [Lord]. In the chamber of the Self in the path of sadhana, it is this that is realized directly.
 
Dear sadhak, now you understand – what the [real] meaning of “arjuna uvAcha” [Arjuna said] and “sribhagavAnuvAcha” [the Lord said] is.
 
“SAṃkhya”: “Saṃ” = whole; “kha” = space; “ya” = vehicle; “a” = settledness – meaning: casting off the “I am the body” idea, settling wholly in the vehicle of space (in “chidakash” [the space of consciousness]). The teaching in Ashtavakra Samhita - “yadi dehaṃ pṛthaka kṛtya chiti vishrAmya tiShThasi” [if, knowing that you are distinct from the body, you establish yourself in a state of resting in consciousness] is exemplified by this word [saṃkhya]. The complete sloka [from Ashtavakra Samhita] associated with this teaching has been translated in Bengali [and explained] in a footnote in the 9th sloka of Chapter 3 in this Gita. One will be able to understand the essential meaning [of that sloka and this teaching] by reading that [section].
 
“IShubhih”: If the Atma-mantra and “hangsa” are united together, prana becomes extremely subtle and intensely quickened. That is what is called “iShu” or “baan” [arrow] (a thing that pierces). It is by the progressive and regular striking of that subtle prana that all of the inner coverings are pierced [or: cut asunder].
 
The sadhak (Arjuna) has readied him/herself to destroy the seed of samsara, but, because of true knowledge being covered up due to Mayic confusion, many doubts are coming up for him/her. So, [the sadhak] is looking to the Atma-bhava Madhusudan and thinking, “Being separated from the body, and merging the mind into the space-equilibrium, how will I be able to strike with the breath by driving the subtle prana and thus kill the mind? This means: [how will I destroy] the “I-ness” (Bhishma) of the mind and the mind-driven intellect (Drona)? At that time the power to do “'mantra' ut-charan” [ordinary meaning: pronunciation of mantra; the meaning here: to ride the mantra above] becomes contracted; how would it be possible [at that time] to draw prana? And more, it is through this “I-ness” that I grow, and it is through this [samsaric] intellect that I get my greater awareness, or revelations. Through the power of this “I-ness” I have made the universe “I”-filled, and through the power of the Prakritic intellect, I have ascertained the knowledge of substances and have become learned in the sciences and have become a receiver of revelations. For these reasons, these two [“I-ness” and the samskaric intellect] are actually worthy of worship. They are certainly not things to be destroyed.” This kind of delusion is coming about.
"
5,"If I have to eat by begging because I am refraining from killing all of these noble venerable ones – even that [begging to eat] is better for me. But, if we kill these persons [from the side of Dhritarashtra], then we will have to experience, right here in this world, the consequences of the blood-killing of relatives.","So, if because of not destroying these two powerful ones [“I-ness” and samskaric intellect], I have to experience lack (“bhaikshya” [beggar-condition]) in this world because of the karma from this desire [to not kill them] – meaning: remaining under the rulership of Prakriti – even that is good. But destroying these two and gaining rulership over Prakriti is not good. This is because if the “I-ness” does not remain, then the sensory experience does not remain, and if the Prakritic intellect does not remain, then good and bad do not remain. In that condition, [desiring] worldly enjoyments, or living in the body, is nothing but being ridiculous. It is like when there is an illness on the tongue that makes one not be able to taste, and because of that, the pleasurable food becomes full of unpleasantness/painful – it is like that. “Gurun” [see third line of the sloka above] [in the spiritual case] is the pluralized form of “gaurav” [pride]."
6,"If we are victorious, or if they are victorious over us – which among these two [possibilities] is more weighty for us? I cannot understand even this! Those – killing whom I do not even want to live – those same persons of the side of Dhritarasthra are in front of me.","After thinking like that [in the previous sloka], [the sadhak is] again thinking: “Oh right! Wait. Which one is good? Is it better to remain under the power of Prakriti, or is it better to bring Prakriti under one's power? By remaining under the power of Prakriti, the seed of samsara does not get destroyed. And then again, worldly enjoyments do not remain if one brings Prakriti under one's power. Those with whom I would enjoy the things of the world – killing whom there is no purpose for living – because of that I have no wish to live – all of those mental vrittis are here in front of me. That is what it is! What do I do!”"
7,"In what kind of way can I live after killing my relatives? This desperation as well as [the thought that] destroying lineage will cause sin – thinking in this erroneous way [or: thinking about sin] has caused my normal nature (“shaurya” [splendor]) to be overcome with confusion. And a doubt has come up: “Is taking up the act of begging appropriate to the dharma of kshatriyas?” So I am asking You [Sri Krishna], tell me what is best for me with certainty. I am Your disciple. I surrender to You. Please teach me.","In this sloka, the sadhak is completely abandoning the vanity of doership and surrendering to the feet of guru. [The sadhak] is saying, “Being taken over by affectionate attachment, my power of reasoning and understanding has become covered up. Even the chitta has become deluded on the subject of dharma. So I ask You [Sri Krishna], please tell me, with certainty, what is best. I am [Your] disciple. I take refuge in you. Advise me as to what I should do.” Unless one accepts and admits disciple-ness and surrenders, the teachings on spirituality cannot be had. Just as this is true in the outer [world], it is the same in the inner [world]. This is because: it is seen that if one does not abandon ahaṃkar [ego] (the feeling of doership) and does not devotedly surrender to the feet of guru during the practice of Kriya – in no way does the inner vision open; neither is spiritual knowledge gained. So, to admit disciple-ness to the satguru is what is being taught in this sloka."
8,"Even if I get uncontested rulership over all of the kingdoms of the world, or even over the gods, I still do not see anything that will remove this grief that is desiccating my senses.","“Bhoomi” = field – [meaning:] this body; “asapatna” = without enemies; the “daivic” opposition [opposition arising from the subtle body], vrittis of “asat” [unholiness; unrighteousness] and the aberrations of natural ways – these three are the “enemies.” Whatever goes on to be known through the practice of asana, pranayam and such – only that much becomes “rulership of a kingdom without enemies.” At that time, the yoga-siddhis [yogic powers] that are attained through particular Kriyas, that is what is called “riddhi” or “vibhuti” [wondrous/miraculous things/powers]. It is when one becomes “dressed with 'vibhuti'” through perfection in yoga that the body becomes a kingdom without enemies and a place of wonders.
 
“Sura” [demi-god; or: melody] (“sa” + “u” + “ra”): “sa” = divinity - “prANohi bhagaVaneeshah” [prana is the divine power] – therefore it is prana; “u” = the settling in Sahasrar; “ra” = power/light. The blaze of Energy/Light that is revealed when prana becomes Still at the Sahasrar – that is “sura.” The Power that comes about when mind is merged into the “Naad-bindu” [the bindu of Sound] in the front and back of that Light – that is what is called “surANAṃ Adhipatyaṃ” [rulership over the gods].
 
The sadhak is at this time absorbed in ignorance. That is why he/she is not able to see that if that kind of [aforementioned] attainment in yoga is had, then there is nothing left for which one would grieve. [The sadhak] is despairing because of thinking of things [from an ignorant state of being].
"
9,"Sanjaya said: Gudakesh Parantapa Arjuna, after saying all of this to Hrishikesh, said “I will not fight” to “Govinda” and became silent.","When Gudakesh Parantapa Arjuna (the sadhak) goes on speaking in the previously seen ways [in the previous slokas], at that time, he has a direct encounter with Kutastha Chaitanya in the form of Hrishikesh – meaning: [the sadhak] sees that it is actually Kutastha Chaitanya that is presiding as the ruler over all of the senses. After that, whatever the sadhak becomes intent on, [like] “I won't fight the war [do Kriya] any more (whatever happens, let it happen), right then the form of “Govinda” appears. (“Go” = the whole of the universe; this body of the five elements; “vid” = knowing; the One Who is the Knower of the universe, the Witness, the Foundation – it is He Who is “Govinda.”). This means: Seeing Kutastha-Brahman as the Total Witness and the Foundation of this entire formed-universe, the sadhak directly realizes: “all is He.” When this happens, the non-involved feeling blossoms forth. At that time, the sadhak becomes totally silent. The state devoid of any activity [or: this state of complete silence] is called “tushnibhava.” In this state, all of the senses take a respite from their individual activities, and mind, having given up trying and not taking up anything as a support, remains just as it is within itself. It is not possible to avoid calling this “tushnibhava” by the names of “Gudakesh” and “Parantapa.” The one who has overcome sleep (laziness), the one who has learned to “put sleep to sleep,” the one who – because of having brought sleep completely under his power – [who,] even at the habitual time of sleeping, does not fall into the dream-delusion of the mire of Maya – meaning: the one who - during in the “waking dream” - always remains in the Consciousness of the Self – that one is “Gudakesh.” And the one who has become an “asana-siddha” [one who has perfected/conquered the seated posture] – meaning: the kinds of troubles that used to come up because of the [physical and subtle] tendons and pathways being blocked by the gross [humors] vayu-pitta-kapha [air-bile-phlegm], like: needing to massage the knees, the back and such being tense and agitated – the one who, through determined and steady practice, has destroyed all of those [afflictions] and is able to effortlessly sit in a still-posture for a long time, for whom no desperation/comes, instead he/she feels the great comfort that comes from lying down when he/she sits in asana – in short, the one who cannot be deterred from his own endeavor by any of the soldiers of Prakriti – that is the one who is “Parantapa.”"
10,"O Bharat [Dhritarashtra]! Hrishikesh began to laugh, and, in the place situated between the soldiers of both sides, said these words to the despondent Arjuna. ","Just as that kind of [aforementioned] “tushnibhava” comes forth, Hrishikesh begins to laugh – meaning: the rays of the tenderly brilliant Light fills and fully radiates the inner sky; the heart becomes filled with thrilling joy. (That Light – that Bliss – cannot be described by language. One who – having given up doership as stated in slokas 6 and 7 [of this Chapter 2], and thus having become a blindly-following disciple – has reached that state of non-doing silence – only that one sees [this Light] and understands.) But because at this time the mind, even though staying just as itself within itself [and not taking any support], is situated between the present vrittis divided into two sides, the “despondent feeling” part still remains in [the sadhak]. Then, from the Kutastha, spoken teachings come forth softly — Begin Footnote. —  If one keeps a sattvic diet, conducts oneself with sattvic behavior, and follows the instructions of guru in a sattvic way, within a time that is not lengthy, the Gita and Gayatri [sacred mantra] go on being spoken [within] automatically and on their own. This can be heard. This is why the Vedas and Upanishads are called “shruti” [that which is heard]. The spiritual teachings are not created by human beings. The one who, with sincere faith, goes on the path instructed by satguru – he/she is the one who knows the truth of this. And the one who will continue to move [on the path] – he/she will also be able [to know the truth of this]. It cannot be known or made known by language or by guessing/inferential logic! If one is a bhogi [immersed enjoyer] of worldly enjoyments, this state cannot be known. — End Footnote. — (the feeling/experience springs up). The one who has been in that state and has heard those teachings – it is he/she who can truly be called fortunate. That is the one whose life is truly successful; that is [the sadhak] who is truly a “person.”"
