Verse Index{hide},Pranab Gita Translation,Pranab Gita Commentary
1,Arjuna said: “O Hrishikesh [Sri Krishna]! O Mahabahu [mighty-armed; Sri Krishna] Keshinisudan [slayer of Keshin; Sri Krishna]! I want to know the truth/knowledge about ‘sannyas’ [renunciation] and ‘tyaga’ [casting off attachments and such] and their differences.”,"The subjects that have been spoken about in the [Bhagavad] Gita-scripture from Chapter One to Chapter Seventeen – all of that is being discussed in a summarized form – or, [in other words,] a recapitulation is being done – here in this Chapter Eighteen. The word “yoga” points to two states – one is the state of “sannyas” and another is “tyaga.” Usually, it is accepted that if someone is a “sannyasi” or a “tyagi” – that both mean the same thing. Is that really true, or is there some difference between these? To know this very thing, the question arose in the sadhak’s [aspirant’s] mind. O Keshinisudan [slayer of Keshin; Sri Krishna] – the word “kesh” [hair] means “covering hairs” – that which covers up. “Keshinisudan” – meaning: the One Who is Self-revealed, the destroyer of the power that covers up knowledge. Questions are born of ignorance. In order to destroy that ignorance, [the Lord] has been addressed as “Keshinisudan” – meaning: the Slayer of “daitya[s]” [demon[s]]. “Daitya” [of the lineage of “Diti”] refers to the corrupted kshatriyas [warriors]. The state of performing Kriya is the sadhak’s state of “kshatriya.” “KshatAt trAyate iti kshatriyah” [one who delivers one from destruction/harm is “kshatriya]. “Kshata” [wound; harm] is “incompleteness.” The one who is delivered from this incompleteness and makes effort to become complete – that is the one who is called “kshatriya.” In this state of kshatriya – meaning: due to a question arising during the performance of Kriya, [the situation] became corrupted. To destroy this corruption, the sadhak surrendered to Vishnu – meaning: looked toward one’s own Awareness. By doing so, all of the senses stopped, and they were no longer able to keep the sadhak enslaved in their powers. That is why the word “Hrishikesh” is used. “Hrishikesh” [Director/Ruler of the senses] = “hrishika” (means “of all of the senses”) + “eesh” (Director/Ruler). In this state, the effort to understand the deeper meanings of “sannyas” and “tyaga” is being made. O Mahabahu (Mighty-armed; Sri Krishna)! (Whatever there is to know is under the dominion of Self-Awareness. That is why the word “Mahabahu” is being used.) Explain to me the essential truth of sannyas and tyaga [their difference[s]). "
2,The Lord said: “‘Kavi[s]’” [poets; see commentary below for spiritual definition] say that the renunciation of desirous actions is that which is called ‘sannyas.’ The wise/visionary ones call the renunciation of the fruits of all types of actions ‘tyaga.’”,"“Sribhagvanuvacha” [the Lord said] – meaning: the discerning through Self-Awareness. Sound, touch, sight, taste, smell – these are the desired things. That is why these are called “kama” [desire[s]]. “Karma” [act] [is] the moving of vayu [vital-force] in the path of Brahman. So it becomes thus: there is the moving of vayu in the path of Brahman, and there is also the slipping off and the reminder of the worldly-experience in their innumerable forms. This state where these two come together is called “kamya karma” [act with desire] ([explained] in Chapter 6, sloka 26). Where one thing cannot be seen twice, and the new arises at every moment – those who live in this place [state] are called “kavi.” Those kavis say “sannyas” indeed is the destruction of the aforementioned “kamya karma.” The form of that sannyas is like this: in the path of Brahman, the moving of vayu is happening; the mind too is coming and going [moving] in union with vayu; but, the aimed place of the mind – the State of Vishnu – the mind is not letting go of attention on that aim. The name of this state is “sannyas.” Kriyavan sadhaks know this very well. And what is the renunciation of all fruits of all actions? But this: when the mind has become intoxicated upon continuously doing Kriya, when Kriya is no longer being remembered by the mind, when mind is locked only in Kutastha Itself, when it is not being dislodged from the State of Vishnu, when it is not coming and going, but because of the effect of practice, vayu is moving in every place in the path of Brahman, and has not yet stopped – meaning: there is the Eternal (the Settledness in Brahman); there is the natural happening (the enjoyment of paravastha); there is no obstacle to karma [the moving of prana], yet the mind is not bound to anything at all – this kind of state is called “the state of the renunciation of the fruits of karma [actions].” The longer that one can stay in this state, the more “tyagi” that person is. The endless abidance [in the Self] is called “[being] tyagi.” Those for whom the perception of Prakriti and Purush is unbroken and steady – they are called “vichakshana” [wise; visionary]. They are the ones who called these aforementioned persons endowed with this state [of renunciation] “tyagi[s].” "
3,"Some “manishee[s]” [sages; see commentary below for deeper definition] say that karmas [rites] are error-bound and therefore are actions to be given up. Some others say that the actions of yajna [rites], charity and austerities are actions that should not be given up.","Those who have brought their “mana[s]” [mind[s]] under control are “manishee[s].” Those “manishees,” upon tasting the nectar of the Settledness of Brahman, do not even like the vibrations of “karma” (the moving of prana [yogically]). So for them, “karma” [yogic act] is an action to be given up. And others whose minds have not been brought under control – they say that yajna [rites], austerities, charity, Kriya are not things to be given up. "
4,"O most excellent of the Bharata clan [Arjuna]! Listen to My talk, given with certainty, about the matters of such “tyaga” [renouncing]. O greatest of men [Arjuna]! Tyaga is also said to be done in three ways.","O savior of the Bharata clan, the greatest of men [Arjuna]! The “tyaga” [casting off; renouncing] that has been previously spoken about – that tyaga is also of three types. Listen, as I speak about their distinctions. "
5,"yajna, charity, austerities, karma [rites] are not things to be renounced. They are obligatory actions. Yajna, charity, and austerities are verily the things that purify the chitta[s] [personal consciousness[es]] of the “manishees” [sages]. ","If one remains with mind, then one cannot stay without yajna, austerities, charity – all these [types of] actions. The samskaras [latent tendencies] make one do these [acts] automatically/spontaneously. As such, the ingredients (masala [spices]) needed to purify the antahkarana [operators of personal consciousness] of the discerning ones are yajna, charity and austerities."
6,"O Partha [Arjuna]! But one must renounce the association to, as well as the fruits of, all of these karmas [aforementioned acts that should not be renounced]. This is My certain and best view [on this matter].","Just as all of the legs of an elephant find their places in the circumference of the leg-area of the elephant – similarly, via the moving of vayu in the one path of Brahman, all karmas [actions] of yajna, charity and austerities are accomplished. However, because no association – meaning: no contact with the desire-form of Maya – remains, one does not become enwrapped in the fruits of [the aforementioned] actions. That is why it is being said that doing yajna, charity, austerities, karma [yogic act] while relinquishing association (the desire for the fruits of actions) [with them] is one’s absolute duty. O Partha [Arjuna; the sadhak]! This is My best view [on this matter]. (Chapter 2, slokas, 45, 49; Chapter 3, sloka 9; Chapter 5, sloka 10; Chapter 9, slokas, 20, 21.)"
7,But the action that is to be always done should not be relinquished. To relinquish that due to delusion is said to be a tamasic [delusional] act.,The teaching of the renouncing of desires for results [of actions] does not teach the renouncing of [appropriate] action. The renouncing of such actions done by non-discerning fools under the power of delusion – that is called “tamasic tyaga.”
8,"The one who relinquishes actions due to sorrow and/or the pains of the body – that one does “rajasic tyaga,” and cannot attain the fruit of renunciation (Liberation). ","“There is no more profit in the trade. There is nothing but bickering.” That teaching of doing actions without the desire for results – according to that perception [in the first sentence of this commentary], there is nothing that has a beginning, end and middle to be had [by doing a spiritual act]. It is just sitting and “washing space.” By doing this [renunciation for wrong reasons], stiffness comes to the body; with time, it becomes bent and broken. Those who renounce those [previously mentioned] actions due to such imagined fears – they are bound to do other actions. But the fruit of that sacred renunciation – the Settledness in Brahman or the Knowledge of Brahman – that they do not get. Their renunciation is called “rajasic tyaga.”"
9,"O Arjuna! The karma [action] that is always done with the understanding that it is obligatory, and with the relinquishing of association and [the relinquishing of the desire for] results (the tyaga that happens with that) – that tyaga is called “sattvic [tyaga].”","Whatever is happening outside due to the habitual operations of the organs of the senses and the organs of action, and inside, the movement of prana is also going in an unattached way – this controlled action – in this, neither is there any attachment to the fruits of actions, nor is there any attachment to renouncing – no thinking of “I am renouncing.”"
10,"The tyagi [one who has cast off attachments], because of being filled with goodness, being of steady intellect and being free of doubt, does not hate actions that cause sorrow and does not have dearness for actions that cause pleasure. ","The word “satbhaava” [living in goodness] is called “sattva” – meaning: that which brings forth truth, justice, mercy, devotion, magnanimity, purity etc. – meaning: the Self. One who is established in the Self, one who, abiding in the Self as oneself, does not take in anything extra to the Self into the antahkarana – that one is called “sattvasamavishta” [abiding in goodness]. The one who has become certain that the Self Itself is Forever, and that everything extra to That is impermanent, and therefore has abandoned everything that is impermanent – that is the one who is called “tyagi.” The intelligent one with the strength of remembrance – meaning: I Am Brahman and nothing else – the one in whom this remembrance does not waver – that is the one who is called “medhaavi” [intelligent]. The sadhaks [aspirants] who are in these states do not at all have any doubts in them. That is why they do not hate actions that are not beneficent, and they do not become fond of actions that are beneficent."
11,Persons with body-vanity are not able to fully relinquish all actions. (Thus) the one who relinquishes the fruits of actions – that is the one who is known as “tyagi.”,"Those who are sitting there thinking that the body is “I”, who do not maintain the right to move vayu [vital-force] in the path of Brahman, who just go about doing things with the worldly experience outside – these types of ignorant ones are called “dehabhrit” [servants of the body]. These beings dress up as “I am the doer,” and thus, not being able to renounce karma [the fruits of actions], they are choked in the bindings of karma. And those who are discriminating – only they – because they perform karma [actions] while renouncing the fruits of karma – acquire the name of “tyagi” (Chapter 2, sloka 21)."
12,"Bad, good and mixed – these three types of fruits happen for the non-tyagis [non-renunciates of the worldly experience] after the falling of the body [death]. But this does not happen for the sannyasis anywhere at all.","Good, bad, and good and bad mixed – these are the three types of fruits of actions. With good fruits – attainment of godliness happens; with bad fruits, there is the experience of hell; and with mixed fruits there is human-ness. Those who are non-tyagis – meaning: who have succumbed to desires – for them these fruits are “paratra” – meaning: they have to experience these in the afterlife [or: next life]. But those who are “sannyasis” – meaning: those who are renunciates of the fruits of actions – all of these fruits of actions cannot touch them. This is because: by following the statement “tat kuruShvamadarpaNam” [do that as an offering to Me], and thereby surrendering all of their actions to the Lord, they are free of the bindings of karma [actions and their fruits]. Any sins that may occur unknown to them because of just carrying the body and going about, those who vilify them [the sannyasis] – those reproachers take on those sins. And the good that the sannyasis do knowingly – those who praise them [the sannyasis] are the ones who get those beneficent fruits."
