Verse Index{hide},Pranab Gita Translation,Pranab Gita Commentary
1,"The Lord said: “I will again speak the knowledge that is the best and supreme among all knowledge, knowing which, all “munis” [sages; see further explanation in commentary below] go from here (from the bondage to the body) to the Abode of Liberation.”  ","In the previous chapter [Chapter 13 of the Bhagavad Gita], it was stated that all things that emerge come forth from the union of the field and the knower of the field. That the union of the field and the knower of the field does not happen on its own, but happens by Will of God – to show that, the Lord began this chapter [Chapter 14 of the Bhagavad Gita] by saying, “paraṃ bhooyah pravakshyAmi” [I shall [further] declare the highest] etc. In the 22nd sloka of the previous chapter, it was said that being situated in Prakriti and the association with the gunas [primal qualities] comprise the cause of samsara. Now the question is: what kinds of associations are made to the gunas, and to which of them? What are “gunas” anyway? And how do they bind one? How can one be Liberated from all of the gunas? And what are the signs of the [spiritually] Emancipated person? The knowledge of all of these matters is that which is the “best and supreme” knowledge. That is what has been spoken about in this chapter. It is by knowing that supreme knowledge that the “munis” [sages] (those whose “manovrittis” [mental waves] have completely merged [in the Self] – them) have attained the highest perfection – meaning: after which there is no more spiritual practice or fruits of spiritual practice – those who have attained that supreme state beyond the destruction of body-vanity/body-identification [are “munis”]. And those who do know [such knowledge] – they experience “jivanmuktatva” [the state of being Free while still carrying on life in the body] before they leave the body [before physical death], and afterwards, they merge in Brahman."
2,"By taking refuge in this knowledge, they attain My Self, and thus, they are not born at the time of creation, nor do they suffer at the time of dissolution.","This supreme and best knowledge that is being spoken about – this knowledge – if one performs spiritual practice with intense force, one attains the Dharma of “I” – meaning: one attains the Self Itself; one merges in Brahman. Just as delusional fear of a snake automatically leaves when it is seen that it is just a rope-bunch that is laying there – it is like that. In this state, there is neither duality nor non-duality – no mutations of perception are there. So naturally, creation-time’s emergence and dissolution-time’s destruction – there is no space for the sufferings caused by any of the pains of these two."
3,O Bharat [Arjuna]! The “Mahadbrahma” is My Yoni (the womb-place). I place My seed (the seed of the world) in that. It is from that that all phenomena and living beings arise.,"The meaning of the word “mama” [see first line of sloka above] is “mine” – meaning: the ego’s. “Yoni” – [means] the place of establishment (the source [place of beginning]). “Mahadbrahma” – “mahat” means “bigger than everything else.” One whose boundaries or beginnings and ends cannot be found anywhere. Even though it is not the Unlimited Great, it still pretends to be unlimited and great, and fools everyone; that is “mahat.” That is why one of its names is “Mahadbrahma,” or “Maya.” There we have the residing place of ego – Maya. I place into the womb of that Maya [My seed] – meaning: it is because I take that Maya into Me that Maya has a womb (the emergence-giving power). This is because: if I do take Maya into Me, then Maya remains closed; She has no power to give birth to anything. When there is a womb in the aforementioned way [in Me] – it is only then that She gives birth to all phenomena and living beings (this creation). There is no creation in Knowledge/Awareness; creation only happens in ignorance/unawareness. That is why, in order to explain the process of creation, “I take Maya (ignorance) into Me” – this statement has to be made. (See Chapter 9, sloka 17 [of the Bhagavad Gita].)"
4,"O Kaunteya [son of Kunti; Arjuna]! All of the forms that take birth in all of the wombs – “Mahadbrahma” is their womb, and I am their seed-issuing Father.","O Arjuna! All of the kinds of wombs that there are – gods, demons, animals, birds etc. – and all of the kinds of forms that come forth from them – the womb of all of that is that “Mahadbrahma,” and that “Aham” (“I”) is the seed-giving Father. "
5,"O mighty-armed one [Arjuna]! Even though they are “avyakta” [not apparent], sattva, rajas, tamas – these three gunas [primal qualities], being with Prakriti, bind the embodied one in the body.","It has already been said, “I am not the embodied one”; “I am not the body”; “the ‘I’ does not have a body”; “I am not a jiva [embodied soul]”; “I am the Immutable Consciousness.” So, what are the three gunas [primal qualities]? And again, how do they bring the Undiminishing “I” to the bondage of the body? That is why, in order to explain, it is being said that sattva, rajas and tamas – these three gunas rise from Prakriti. O mighty-armed one! (The one who can bring everyone under control by wrapping his/her two arms around them – that is the one who is “mighty-armed.”) These three gunas smear mutations even onto the Undiminishing and Immutable, bring one into the body, and bind one as an embodied being.  "
6,"O Anagh (sinless one) [Arjuna]! Among those three gunas, sattva guna is revealing (illuminating) due to its clarity/purity, and it is “anaamaya” [peaceful]. Thus, it binds through the association of contentment/pleasure and [mental] knowledge.","Among those three gunas, sattva is clear/pure, is the illuminator of everything and is peaceful. That is why it brings together “sukha” [contentment/pleasure] (“su” = “sundar” [beautiful] + “kha” = void – meaning: with a pain-free experiential state), and “jnana” [knowing; ascertaining] – meaning: “I am happy; I am a knowledgeable one” and such mental movements are born. This coming together [of contentment/pleasure and knowledge] is called “oppression” or “bondage.” This [is called bondage] because I am actually nothing but the conflict-free Great and nothing else at all. Thus, there is the putting up of some other non-substance called “contentment/pleasure” and bringing it [apparently] into the “I”, the “I” in which there is no place for anything to come. And there is the mixing together [of “I”] with [mental] knowledge as well. This delusion of losing one’s true awareness – this is indeed bondage.

The word “jnana” has [the letters] “j”, “gn” [no Roman alphabet equivalent to the original Sanskrit], “a” [long], and “na” – these four letters. Among these, the meaning of the letter “j” means: “jaayamaan” – meaning: everything that is of emergence-preservation-destruction – those. And “gn” means the “essence of smell” – meaning: that which reveals the actions of the five tanmatras [elemental sources] – sound, touch, sight, taste, smell – mixed together – that. These two letters [“j” and “gn”] together make “jna” [no real equivalent in the Roman alphabet to the Sanskrit original]. The meaning of this “jna” sound is: everything that is within the realm of emergence-preservation-destruction-sound-touch-sight-taste-smell. The letter “a” [long] means “aasakti” [addiction; attachment] and the letter “na” means “naasti” [negation]. Thus we have: the state where there is no addiction/attachment to anything of emergence-preservation-destruction-sound-touch-sight-taste-smell is that which is called “jnana.” That which makes one enjoined to this “jnana” – that is that which is called “sattva guna.” Now, dear sadhak, understand how the bondage is when pleasure and knowledge come together."
7,"O Kaunteya [Arjuna]! Know that rajoguna [alternate spelling of rajas guna] is passion-endowed, and it is the maker of thirst [want] and attachment. It binds the embodied one through attachment to actions.","That from which there is birth/emergence – that is verily rajoguna. “Rajah” [rajas guna] also means the functionality of “coloring” [influence; staining] – like coloring white cloth by dunking it [in dye]. The operation of smearing the Maya-mutation ego in the Pure Brahman and dressing one up as jiva [embodied being] is called “raja” [rajas guna]. This rajoguna is passion-endowed – meaning: full of desirousness. It is from this desirousness that thirst and attachment arise. The craving for an unreceived thing is called “thirst” [want], and having love in the mind for some received thing is called “attachment.” All of these are actions. That by which there is the wish to get something other than “I” – that is that which is called “rajas.” The purport of this wishing is desirousness. The power that that desirousness has is attachment. That attachment is that which makes one submit to enslavement. That enslavement is that which is bondage. That submission bit is action, and the enslavement bit is bondage. It is through rajoguna that the jiva succumbs to the power of desirousness and becomes bound to karma [actions and their fruits]."
8,"O Bharat [Arjuna]! However, tamoguna arises from ignorance. Know that it is for this reason that every embodied being is deluded/confused. It binds one through madness, laziness/indolence, and sleep.","Prakriti has a part where the power of veiling is predominant. It is from this [condition of] ignorance that tamoguna emerges. This ignorance-born tamas deludes/confuses all living beings, makes them lose themselves, and imprisons them through madness, laziness/indolence and sleep.

(These are statements regarding the tamas guna that is born of Prakriti. That which is “pure tamas” – that is [actually] the ending place for Prakriti [or: the place of repose for Prakriti], that which is [also] called “Kaivalya Sthiti” [being established in Only-ness]. That is Alone, Emancipated, or, is the Settledness in Brahman. Prakritic activities do not reach there.) "
9,"O Bharat [Arjuna]! Sattva guna enjoins one to pleasure and rajoguna enjoins one to action, and tamoguna [tamas guna] covers up intelligence/knowledge and enjoins one to madness.","Sattva guna is revelatory; it stays in one place and illuminates/reveals all. Those whom it illuminates – they are forced to succumb to the power of the illuminator/revealer. Thus, the lordship [of sattva] comes about automatically. This type of experiencing of such states is called Prakritic happiness. Sattva guna brings one to this [type of] happiness. Rajoguna is active. It wishes to work. It does not remain in one place. The active aspect of this guna is only restlessness. It enjoins one to action. And tamoguna [tamas guna] is ignorance. The consciousness brought about by action and the illuminator/revealer – [tamoguna] drains that away [or: covers that up], and causes opposition to right action. That which causes harm – it enjoins one verily to that, like putting liquor into a healthy body and staying unconscious [in a stupor] – this type of action. This is that which is called “pramaad” [madness]. O Bharat [Arjuna]! The Stillness of Only-ness that is of “pure tamas” – that does not exist in this Prakritic tamas."
10,"O Bharat [Arjuna]! Sattva guna rises forth by subduing the guna-duo of rajas and tamas (does its work of enjoining one to contentment/pleasure, knowledge and such); rajoguna rises forth by subduing the guna-duo of sattva and tamas (does its work of enjoining one to thirst [want], attachment and such); and tamoguna rises forth by subduing the guna-duo of sattva and rajas (does its work of enjoining one to madness, laziness and such).","O Bharat [Arjuna]! These three gunas that have now been spoken about – none of them can work if they rise up at the same time. When sattva is predominant, then rajas and tamas – both are subdued. And again, the time that rajas manifests, sattva and tamas are subdued. Similarly, at the time of the operation of tamas, rajas and sattva experience inactivity."
