Verse Index{hide},Pranab Gita Translation,Pranab Gita Commentary
1,Arjuna said: “The Supreme Secret spiritual teaching (discerning the matters of Self and non-self) that You have now bestowed upon me out of your compassion for me – by that [teaching] my delusion has been destroyed.” ,"[At the end of the previous chapter [10], the Lord says “I am holding this entire creation by a fragment of Myself.” What is being expressed by that is that He is verily the Form of the Cosmos. With ecstatic mind, Arjuna, desiring to see that Cosmic Form, spoke these [first] four slokas one after the other.] The Supreme Secret teaching which is for the attainment of that Particle of “I”, that which no one can reveal in the outer world, that which is spiritually-adjoined – meaning: is the knowledge of the matters of the Self and the matters of the non-self, that which, can only be spoken about when dressed up as “you,” and cannot be spoken about if one is abiding in “I” (all of these things that I saw/realized in the previous chapters, or heard) – by this [teaching], the delusion of Maya to which I was subject has been dissolved."
2,"O Lotus Eyed One [Sri Krishna]! From You, I have now heard extensively about the creation and dissolution of phenomena; I have heard now about other Glories as well.","O Lotus Eyed One! When one looks at the back of a lotus leaf – the part that faces the water – one can see eye-like forms in every area; this is happening due to the veins of the leaf. Similarly, You are there in the Form of the Seer within every atom and particle. There is nothing anywhere that is hidden from Your Sight. The “bhava” – meaning: the matters of emergence, and “apyaya” – meaning: the matters of dissolution of all phenomena, as well as the matters of the Inexhaustible Glories of “I” – from You (meaning: when I was in the “I” State – from that State) I have heard [about these] extensively. I have seen. I have understood. "
3,O Parameshvara [Supreme God; Sri Krishna]! The way that You have spoken regarding the matters of the Self – it [the subject] is exactly like that. O Purushottama [Supreme Person; Sri Krishna]! I wish to see (that) Divine Form of Yours. ,"This “I” that has to be understood by going into the “you-consciousness,” the matters about Whom You have just spoken – it [the subject] is exactly like this. It [the “I”] is not otherwise. You are “Parameshvara” [Supreme God] – meaning: endowed with KnowledgeOpulence-Power-Strength-Potency-Energy/Light. O Purushottama [Supreme Person]! O the Life-Companion of the “you-consciousness”! I desire to see that Divine Form of Yours. All of the experiences that I have been having within – no doubt remains regarding them. But when I come out/outside, I mix up everything by seeing [reality as] this, that and the other. [I wish that You would] resolve these things for me. How is it that in one part – in one fragment – You are holding this entire creation – that is what I long to see. "
4,"O Lord [Sri Krishna]! If You feel that I am fit and capable of seeing That, then O Yogeshvara [Lord of Yogis; Sri Krishna], show me that Inexhaustible Self of Yours. ","O Lord! O Friend of the desperate and downtrodden! O Yogeshvara [Lord of Yogis]! (“Yogeshvara” means one who has no diminishing of the yogic state whether that being is in the “I” or the “you” state , or in whichever perception that being may be.) If I am deserving and fit to see that “I” State of Yours while I am in the “you-consciousness,” then show me, inside and outside together, the Inexhaustible State of the Self."
5,"The Lord said: “O Partha [Arjuna]! Behold My hundreds upon hundreds, thousands upon thousands of Forms – innumerable types, Divine (supernatural), and of many colors and shapes.” ","[The longings expressed by the sadhak being in the state of “jiva” [separate soul] in the previous four slokas [of this Chapter 10 of the Pranab Gita] – those longings are being resolved from being in the State of the Self in these slokas 5-8 [of Chapter 10 of the Pranab Gita]. The Cosmic Form is beginning to be seen via the Divine Eye.] O “Partha”! (“Pṛth kshepane” [thrown off by the earth principle] – the sadhak who is unable to stay in an unbroken way in the Consciousness of the Self – that is the one who is “Partha” [still somewhat of the earth].) Behold. See the Forms of “I”. Hundreds upon hundreds, thousands upon thousands, no end in sight, limitless – see how That is. See how “I” AM One and how “I” am many, and again how, being many, AM One. All of it is the work of Space. There are no substances of construction. — Begin Translator’s Note. — A Bengali statement of a colloquial type is used here to express “there are no substances of construction.” The statement is: “kaali, tuli, khad, maati – kichui nai” [ink, cotton [or: brush of the pen], hay, mud – nothing at all is there]. It is not possible to translate that statement in literal English without causing confusion. Thus, the translators, while being literal in every place possible in this translation of the Pranab Gita, have chosen to make an exception here and translate what is meant by the aforementioned expression. — End Translator’s Note. — All of the kinds of colors – all are of Space. Innumerable shapes are formed in Space, hanging in Space; there is nothing to lean on nor is there any support. Without any support, the manifestation of each of the shapes are happening as if by themselves. No one is there helping another [to be manifested]. All are manifesting by themselves. "
6,"O Bharat [Arjuna]! Behold the “Adityas,” “Vasus,” “Rudras,” the two “Ashvini kumars” and “Maruts.”","Behold! See the masses of Light filling the Sky like the effulgence of twelve suns together. There is no end to this Light, and at the same time the eyesight is not blinded. How incredible! And now look again and see within that very Light’s transformation – “Vasu” (see Chapter 10, sloka 23 [of the Gita]) – the individuated expression of a part of the Great Light. Rudran – (see Chapter 10, sloka 23 [of the Gita]) – the incomprehensible transmutation (destruction and transformation) – even looking at it with an unbroken focus, one cannot see the beginning and end of the transformation. Ashvinau – Now see again the Flowering Radiance of My Form[s]. One [Form] is blossoming and making another [Form] blossom. And another one blossoms and makes the blossoming blossom. See this/these heart-entrancing unbelievably beautiful Form/s. Marutah – Look again! All of those [expressions] break and there is the luminescent, shining, blazing ocean-waves – waves of Light! It is as if the forty-nine winds are blending together with the moon, sun and lightning and playing “holi” [festival of colors] in the Infinite Ocean’s Infinite Bosom. And how many more things there are that were previously unseen – those things that cannot be seen by anyone anywhere if they are in the nonsadhak [non-meditator] condition. See that as well! Oh, oh how wondrous! O Bharat [sadhak] – the sadhak whose consciousness is firmly established in the Light of Consciousness! Look, look! Look at all of these incredible happenings! "
7,"O Gudakesh [Arjuna]! Now [behold] the entire creation, the moving and the unmoving, within this Body of Mine, and whatever else you wish to see. All of that is existing together in just a part of My Body.","O Gudakesh! (“Gudaka” = sleep; “eesh” = ruler [one who has conquered sleep]; see Chapter 9, sloka 23 [of the Gita].) — Begin Translator’s Note — There is a possibility that the reference to Chapter 9, sloka 23 is a misprint. The translators have maintained the literal nature of this English translation and have kept the information in the parenthetical as it is. It is possible that the reference is meant to be the commentary to Chapter 1, slokas 24-25 of the Pranab Gita — End Translator’s Note. — This creation of the “sacharachar” [with the attributes of motion and inertia] (“char” = that which is moving about, the moving living beings; and “achar” = fixed; that which cannot move about – like trees, stones etc.) – behold how all of these are in one place in My Body. And see the dramascript of past-future-present (the victory, defeat and conflict occurring during your sadhana). Whatever you wish to see – see that itself."
8,"But you will not be able see Me by just these [physical] eyes of yours. (Therefore,) I am bestowing the Divine Eye to you. Behold My extraordinary Yogic Power.","These two [physical] eyes of yours – with these you can [only] see the things of the outer world (Prakritic material things). You will not be able to see “I”. The Yoga of “I” (meaning: how Maya becomes One with “I”, how Maya emerges, how Maya plays) – if that is to be seen, then that cannot be seen by the sight of those two eyes. Now I am bestowing upon you an Eye that is like Space (see the commentary to sloka 3 of Chapter 8 [of the Pranab Gita]), by which, you will be able to see My Yoga and Glories. Behold. — Begin Footnote. — Although all of the teaching that takes place at initiation is given in Chapter 8 [of the Gita], the action of the opening of the Eye of Knowledge is actually happening here [in sloka 11:8]. This is because: the fruit of initiation – the ability to see within – actually begins here [at this stage of the sadhak]. It is because of this fruit of initiation coming about that one prostrates to gurudeva by saying this statement: “chakshuranmeelitaṃ yena tasmai sriguruve namah” [the one by whom the eye is opened – to that divine guru do I prostrate]. — End Footnote. —"
9,"Sanjaya said: “O King [Dhritarashtra]! After speaking in this way, Mahayogeshvara Hari [Sri Krishna] revealed His Divine Form to Partha [Arjuna].","“Saṃ” + “jaya” = “sanjaya” [can be transliterated from Sanskrit as “saṃjaya” as well, but is pronounced in Bengali as “sanjaya”] – meaning: the settled state that is there upon having the knowledge of cause, action, quality and meaning – that is the state of “sanjaya.” When the sadhak looks downward while being in the Ajna-chakra and sees the sport of the phenomenal world – it is at that time that the sadhak has no attraction for any worldly experience. This detached perception [with no attraction to the world] is that which is called Divine Sight. This is verily the sadhak’s state of “sanjaya.” Whatever is being seen and experienced/felt while being in this state – that is what is being expressed as “Sanjaya said.” All of these are internal, mind to mind. In this state, the mind is the speaker; the mind is the listener. As speaker, one is Sanjaya; as listener, one is Dhritarashtra [see commentary to Chapter 1, sloka 1 of the Pranab Gita], who, as he is the experiencer/owner of the pleasures and pains of the kingdom of the body, is known as “king.” Greater than the greatest, Yogeshvara [the Lord of yoga/yogis] Hari (one who does “haran” [takes away] of “sarva” [all that exists in creation]) bestowed upon Arjuna the Divine Eye and revealed to him that Reality of God – “Param” [Supreme]. "
"10,11","(That Form) is with many mouths and eyes, many wondrous manifestations, many Divine Ornaments, many upheld Divine Weapons, Divine Garlands and Divine Vestments, is full of Divine Scents, is completely wondrous, Radiant and Infinite, and is facing in all directions. ","[The Form is with] many mouths, many eyes, [and there are] many incredible sights (which have not been previously seen in sadhana); there are many ornaments, and many weapons and missiles ([see] Chapter 10, sloka 31 [of the Gita]) are being held. All are formed out of Space! Garlands made out of Space, Vestments made out of Space – all are blazing forth with the Light of that Form. The anointing substances of vermillion, musk and sandal are in Space; all are wondrous. The Form is shadowless, immeasurably Luminous. Not just one or two things – the manifestations are innumerable. Whatever known or unknown that there is in the universe-sheath – all of it is coming out. (See “vishvatomukhah” in Chapter 10, sloka 33 [of the Gita].)"
12,"If the radiance of a thousand suns together at one time were seen in the sky, then perhaps that splendor would resemble the Brilliance of that Great Spirit. ",The Light of the Universal Form is so powerful and is so much that It has no end. If an infinite number of suns rose at once and shone together – the combined brilliance from those suns – it would lose to the Brilliance of this Light. There is no comparison! No comparison! 
13,Then Arjuna beheld the divided innumerable parts of the entire creation situated together in the Body of that God of gods. ,"In the Body of that Vasudeva [the Omnipresent Lord], everything that there is – inanimate and animate (meaning: from a single particle to Shiva and such, and even all micro-beings) – however many kinds of things that can be seen in the universe-sheath – everything is there together. Through perfected awareness in sadhana, the sadhak (Arjuna) began to behold that. "
14,"After that, Arjuna, being astonished, and with thrills running through his body, prostrated his head to the Lord, and with joined palms in reverence and gratitude, spoke. ","Dear sadhak! Now see! When this kind of state comes upon you – at that time the hairs on your body stand on end. That which is beyond the physical eyes, which you have not seen before – because you become full of awe and wonder upon seeing that, the word “vismayAviShTa” [filled with astonishment; see first line of above sloka for the occurrence of the word [with a different declension]] is being used. And because – in this state – you are disconnected from anything that gives rise to birth, death, pleasure, pain, hunger, thirst etc. because you are completely intoxicated in the Cause of the Supreme Deed, you are at that time “Dhananjaya” [victorious over possessions/attachments]. At that time, the movement of your prana and apana take place in such a subtle way that you become unaware of it, and you go up to the head (within the Sahasrar), and abide there like Space in the Immensely Beautiful Sky of Consciousness. That [subtle] operation of prana and apana – that is actually that which is called “pranam” [reverent prostration]. (Going downward once and going upward once is that which is called “pranam” [reverent bowing/prostration]. And that state of abidance of yours – that is that which cannot be expressed by speech. In order to speak of it, one has to come down and speak. At that time, all activities remain still. And at the same time, they are not inoperative either. Yet, the junction of these two – the joining of the left and the right – the left is the adverse way and the right is the way of the Self – the joining of these two is called “sandhi” [junction], and that “sandhi” is being called “kritanjali” [joined palms in reverence]. That Unthinkable, Inexpressible state which, is free of qualities and at the same time endowed with qualities, is the very Foundation of this creation. It is not separate from you [the being], and at the same time, It appears to be separate as well, which is why the term “Deva” [Divine Being as separate from oneself] is being used. And “abhashata” [spoke; see end of above sloka]? After surrendering yourself like that, you cannot just remain without speaking praise. That praise is your “prabhashana” [soliloquy; spoken ovation; speech]."
