Verse Index{hide},Pranab Gita Translation,Pranab Gita Commentary
"01,02,03","O Bharat [Arjuna]! Fearlessness, cheerfulness of mind/heart, abidance in jnana-yoga, charity, self-control, yajna [rites], study of the Vedas, disciplined spiritual practice, righteousness, non-aggression, truthfulness, non-anger, renunciation, peace, non-slanderousness, mercifulness towards all beings, non-lustfulness, gentleness, modesty, being without inconsistent behavior, strength, forgiveness, forbearance, cleanliness, non-malice, and being free of vanity – all of these are the endowments of the “daivas” [divinely oriented beings] who are born to go in the direction towards the Divine.","The statement that was made in the final sloka [verse] of the previous chapter [Chapter 15 of the Bhagavad Gita] – “etabuddhvA buddhimAn syAt kṛtakṛtyashcha bhArata” [having awakened to this, one becomes wise and fulfills what has to be done, O Bharat [Arjuna]] – its clear purport is being shown here – meaning: the natures of the “rakshasas [monstrous beings] and “asuras” [demonic beings] that have been spoken about in the 12th sloka of the 9th Chapter [of the Bhagavad Gita] are those that cause delusion and bondage to the world. And the “daivi/daivic” [divinely oriented] natures spoken about in the 13th sloka of that chapter [9] bring Liberation. How are the characteristics of the divine and demonic natures? That is being stated.

“Abhayam” – means “fearlessness.” Fear is only of death. When the jiva [soul] knows, through the power of sadhana, that “I Am the Supreme Person,” then that being no longer has the fear of death. When in the inner being, during the time that the mutations of Maya such as deceit etc. arise, one behaves from purity anyway, it is then that that state of being can be called “satvasvamshuddhi” [purity of being]. (Chapter 14, sloka 2 [of the Bhagavad Gita].) The peaceful contentment (state of restfulness) that comes about upon knowing the object of knowledge – that is verily “jnana” [knowing]. (See Chapter 9, sloka 1; Chapter 13, slokas 7 through 11; and Chapter 14, sloka 6 [of the Bhagavad Gita].) And the Stillness after the stoppage of the fluctuations in consciousness is called “yoga.” In these two, steadfastness is present. That is why the steadfastness in jnana and yoga is called “jnanayoga vyavasthiti” [the natural settledness in jnana-yoga [or: the natural settledness in jnana and yoga]]. To donate lawfully earned wealth to worthy recipients is called “daan” [charity]. (See Chapter 10, sloka 5 [of the Bhagavad Gita].) “Dama” [self-control] – the stopping of outward-going tendencies. “Yajna” [spiritual act] – yogic act [alternate translation: Kriya yoga] performed as stated in “shruti” [Vedas and Upanishads] and “smriti” [all other scriptures]. To understand the meanings of Vedas and such [scriptures] is called “svadhyaya” [spiritual study]. “Tapah” [disciplined spiritual practice] – to move the antahkarana [mind as a whole] in the True Way through special Kriya. “Arjava” – being clear and simple.
 
“Ahimsa” – in the waking, dream and deep sleep states, the absence of the tendency to cause harm to living beings (Chapter 10, sloka 5 [of the Bhagavad Gita]). “Satya” [truth] – the abandonment of falsehood. The non-arising of the desire to cause harm to others even after they have caused harm to oneself is called “akrodha” [non-anger]. “Tyaga” [renunciation] –  non-attachment. The repose that is in the full withdrawal from Prakritic activities is that which is called “shanti” [peace]. “Apaishunam” – the abandonment of derisive thoughts and speech towards others. Doing things for the beneficence of beings is called “daya” [compassion]. “Alolupata” – being without lustfulness. “Mandarva” – being devoid of guile. The tendency that automatically rises in opposition to, as well as to stop, an evil tendency that has risen, and the feeling of repentance that comes about because of that – that is that which is called “hree” or “modesty.” Not showing any more emotion than is needed for a situation is called “achapalata” [not having excessive agitation].
 
“Tejah” – strength. Even at the time of death, not doing the abominable (shameful) – meaning: not doing any act at the time of death for which one will have to endure derision. “Kshama” [forgiveness] – disregarding harmful acts done by another, even if one has the power to take revenge. “Dhriti” – the power of forbearance. “Shaucha” [purity] – stillness of mind (Chapter 10, sloka 7 [of the Bhagavad Gita]). “Adroha” [non-malice] – abandoning the desire to inflict harm on others. “Natimanita” [non-vanity] – not keeping the need to show others “how I am.”
 
The one for whom these [qualities] are ever-present in their inner being, O Bharat [Arjuna; the sadhak] – that is the one who is said to be born with the endowments of “daivas” [divinely minded beings]."
4,"Hypocrisy, arrogance, conceit, anger, cruelty and lack of discrimination – these are the endowments of those born in the direction of the “asuras” [the demonic]. ","“Dambha” [hypocrisy] – showing religiosity because of the hankering to have respect, or deceiving others with the performance of dutiful acts. “Darpa” – showing arrogance. “Abhimaan” [vanity] – for the littlest of reasons, showing extreme sadness, envy, being unfeeling or feeling offended – [being like this] in regards to wealth, education, lineage, relations etc. When desire is unfulfilled, the tendency that rises in the inner being – that is that which is called “krodha” [anger]. “Parushya” – rudeness (harshness). However something is, perceiving that as the opposite is called “ajnanata” [being ignorant]. O Arjuna! These are the endowments of those who are born in the direction of “asuras” [those of demonic nature]."
5,"It is said that the divinely oriented endowments bring Liberation, and that the demonic endowments lead to bondage. O Pandava [Arjuna]! Do not grieve/worry. Your birth is of the divinely endowed.","The jivas [souls] who are beings of divine endowments attain Liberation. Those who are beings of demonic endowments get choked in the bondage of Maya. At this time, as the question “with which kinds of endowments am I?” has arisen in the inner being of the sadhak, the sadhak is answering the question with his/her own Self-Knowledge. O Pandava [Arjuna; sadhak]! There is no need to grieve/worry any more. (In this place [of the Bhagavad Gita], Arjuna’s despondency from the first chapter [of the Bhagavad Gita] is dispelled.) You are born as one with divine endowments. Therefore, your Emancipation is inevitable. "
6,O Partha [Arjuna]! There are two types of beings in this world - “daiva” [spiritual] and “asura” [demonic]. [The nature of] the daivas have been extensively stated. (Now) hear from Me [about] asuras. ,"Whatever kinds of “bhootas” (living beings) there are in this world of people – among them, there are two types of “sarga[s]” (characteristic natures). One is the nature of the daivas [divinely oriented] and the other is the nature of “asuras” [demonically oriented]. The two natures – monstrous and asuric [demonic] – [spoken about] in Chapter 9, sloka 12 [of the Bhagavad Gita] are being addressed here as a single term called “asuri sarga” or [asuric] nature. These two sargas [the daivic [divinely oriented] and asuric [demonic] natures] were referred to previously as “endowments.” The endowments of the daivas bring about Liberation; therefore, they are enlivening and should be had. The endowments of the asuras bring about bondage; therefore, they are repulsive and should be abandoned. The endowments that are “daivic” – [meaning:] the ones that make the human be endowed with godly nature – that has been spoken about extensively in the entire [Bhagavad] Gita – meaning: the signs of the ones with steady-consciousness in the second chapter, the signs of devotees in the twelfth chapter, the signs of knowledge in the thirteenth chapter, the signs of Purush beyond the three gunas in the fourteenth chapter, and [the signs of the daivic beings] in slokas 1 to 3 of the sixteenth chapter have been explained. And the endowments that are asuric [demonic] – the ones that make the human be endowed with asuric nature and monstrous nature – meaning: those that are therefore to be abandoned – it is necessary to know those. That is why the Lord is now describing them. "
7,"Persons who are endowed with the natures of the asuras do not know pravritti [endeavors] or nivritti [repose]. (Thus) they do not have purity, nor good behavior, not even truth.","The steadfastness of sadhana [spiritual practice] that is needed in order to attain the State of the Supreme Person or to regain Brahman-ness – that is that which is called “pravritti” [spiritual endeavor] (“pra” = all-ness + “vritti” [movement]). And the everlasting repose that there is after attaining Brahman-ness – that is verily “nivritti” [repose]. Where even the cause of “vrittis” [movements; functionalities; tendencies] cannot rise – that is verily the state of “nivritti” [“non-vritti”]. Both of these are lacking in the inner selves of those who are beings with asuric endowments. What pravritti and nivritti are – they do not even know that. “Shaucha” [purity] – see the commentary to Chapter 10, sloka 8 [of the Pranab Gita]. “Achaar” [good behavior] – doing bathing, ablutions and such. “Upaneeya guruh shiShyaṃ shikshayet shauchamAditah; AchAramagnikaryaṃcha sandhyopAsanameva cha” [having performed the rite of initiation, the teacher must first instruct the pupil to have purity and such, and the conducting of the fire-rites and of the twilight devotions]. “Satya” [truth] – beneficence of others. In the inner selves of the asuras – “shaucha,” “achaar,” “satya” – none of these three are there."
8,"They [the asuras] say that the world is without truth, without basis, without God, and exists without [divine] causation. There is no other cause for it [the world] but lust.",The way that things are going and happening – I see that this world is really like this. There is no righteousness or unrighteousness. There is nothing called truth or God either. The world rises only because of the intercourse between male and female. The purpose of this world is to take care of the body and enjoy. This is the perspective in the minds of the asuras.
9,"Ruined/corrupted in their selves and being of small intelligence, and (those asura-natured people), as they have this kind of perspective (of doing cruel deeds and being enemies to the world), are born to destroy. ","Those asura-natured people are “nashtatmaat” – meaning: being without sattva guna and being locked in the rajas-tamoguna, the Infinite, Non-diminishing Self does not get revealed in their personal consciousness. They are of corrupted character. Thus, there is “alpabuddhi” [little intelligence] in them. The thing that runs out because of experiencing it – that is “alpa” [little]. That which does not run out – that is “ananta” [endless]. In comparison to the Self, this body is little. Not being able to cognize “I am the Self,” they have the perspective of “the body is me,” and thus become ever engaged in the body’s pleasure and service. Because this “I am the body idea” is fully present in them, they are “of little intelligence.” They, being of this kind of “little intelligence,” think that this world has come about through the intercourse of female and male, that the cause [of the world] is only lust, that there is no other cause for it – taking up this kind of view – meaning: they go on to see the world through this kind of perception. Having fallen to this way of having corrupted character, little intelligence and lustfulness, they do not believe in the afterworld or in spiritual ways. Thus, they become engaged in many types of cruel and ruthless acts, and act to bring suffering to the world (to ordinary living beings). Thus, they are born for the destruction of the world. Death is the destruction of the world – meaning: they die again and again in life; they experience only the ever-appearing birth and death. They do not get delivered from this. (See slokas 19 and 20 later [in this Chapter 16 of the Pranab Gita].) "
10,"(They), having taken recourse in insatiable lust, having become filled with hypocrisy, arrogance and indulgence, being filled with delusion (“by worshiping this god with this mantra, I will get great treasures” and such ways), taking up all sorts of wrong wants (things such as liquor and meat etc.), and having fallen to impure disciplines, proceed to (worship small gods and such).","“AsadgrAha” [wrongful wants] – those wants or desires that are “asat” [wrong] – meaning: that do harm and are blocks on the path of Emancipation – like: “perfecting such and such mantra, I will learn how to stupefy, enslave, cause mental disturbance to others etc.; by worshiping such and such gods I will make enormous amounts of money and I will know everything; I will make the impossible possible etc.” – trying for these types of impermanent pleasures.
 
“AshuchivratAh” – those whose “vratas” [vows; disciplines] are impure. “Vrata” = discipline [or: vow; practice]. The discipline that needs to be practiced with diet and behavior and such in order to attain perfection in some matter – that is “vrata.” The kinds of diet and behavior that make sattva guna grow, by which peaceful power gathers in the heart, the mind is purified and abandons restlessness, and thus the mind becomes able to attend to beneficent things – that is “shuchi vrata” [discipline of purity]. And the kinds of diet and behavior that make rajas and tamas gunas grow, by which restlessness and inebriation come to the mind, egotism is increased, and one does not have the ability to attend to beneficent things – that is “ashuchi vrata” [impure disciplines] – like rajasic and tamasic diet and behavior, etc.
 
Taking recourse in insatiable desires (like wanting to have the enjoyment of sensual pleasures through the worship of spirits, otherworldly beings, beings of ill repute), the wrongful things that are to be had by those who are filled with hypocrisy, arrogance and indulgence – they [the asura-natured] end up taking that. And they become adepts at the impure practices of consuming liquor and meat [and such]."
"11,12","Taking up endless and continuous anxiety-bringing concerns until the time of death, having succumbed to the enjoyments of lust, thinking that the enjoyment of lusts is the supreme purpose of life – being certain like this about [wrongful] deeds, those asuric people who have succumbed to lust and are bound by hundreds and hundreds of ties, in order to enjoy lusts, desire to gather masses and masses of wealth, even in wrongful ways.","By bringing a demi-god under my power through occult practices, I will build a city in the sky. And entering into water, land, the netherworld and the abyss of the Earth, I will endeavor greatly to enjoy sensual pleasures. Nurturing this kind of endless wanting, [the asuras] go on trying for these things and spend time like this until the end time of death. Being entangled in the snare of wishfulness (and failing again and again), and being in the states of lust and anger, in order to facilitate the enjoyments of lustful indulgence, [the asuras] endeavor to take from others (take others’ wealth), and engage in unrighteous and deceitful and such actions. "
"13,14,15,16","Today I have got this desired thing; (later) I will [again] get this (desired thing). I have this wealth, and again I will have this wealth. These enemies are killed by me. I will kill other enemies too. I am God. I am the enjoyer. I am perfected, powerful and happy. I have possessions such as wealth etc. and I am of high-birth. Who else is there like me? I will perform fire rites. I will give charity. I will have joy. Being deluded in ignorance like this, having their minds engaged in all kinds of matters, (all of those asuric people) become covered by the web of distorted delusion and addicted to the enjoyments of lusts, and thereby fall to malefic hells.","Today I got this; with this, I will fulfill such and such desire. I have this, and I will surely get this in the future. And then I will be known as wealthy. I have killed such and such enemies, and I will also kill so and so! I am God. I am the enjoyer. I am a perfected being. I am powerful. I am happy. Wealthy am I. Knowledgeable am I. Who else is there comparable to me? I can spend so much money in rites, fire ceremonies and pilgrimages! [The asuras] are deluded in this kind of ignorance. And they are covered by many other kinds of distortions of mind (having fallen into anxiety and such). And so, being addicted to the enjoyments of lustful indulgences that never become one’s own, thinking that they are one’s own and bowing to them in madness, [the asuras] remain engrossed in those kinds of thoughts, and due to being heavily habituated to that, the tendencies of lust arise at the time of death (“yA matih sA gathirbhavet” [as one thinks, so is one’s destiny]), and thereby [the asuras] fall (take birth) in malefic hells (in the wombs of those inclined to eating, sleeping, having sex and being afraid). All of these things are the play of the lower levels of mind, experiencing the samsara-hell."
