Sanskrit{hide},Transliteration{hide}
"अर्जुन उवाच |
सन्न्यासस्य महाबाहो तत्त्वमिच्छामि वेदितुम् |
त्यागस्य च हृषीकेश पृथक्केशिनिषूदन || 1||","arjuna uvācha
sannyāsasya mahā-bāho tattvam ichchhāmi veditum
tyāgasya cha hṛiṣhīkeśha pṛithak keśhi-niṣhūdana"
"श्रीभगवानुवाच |
काम्यानां कर्मणां न्यासं सन्न्यासं कवयो विदु: |
सर्वकर्मफलत्यागं प्राहुस्त्यागं विचक्षणा: || 2||","śhrī-bhagavān uvācha
kāmyānāṁ karmaṇāṁ nyāsaṁ sannyāsaṁ kavayo viduḥ
sarva-karma-phala-tyāgaṁ prāhus tyāgaṁ vichakṣhaṇāḥ"
"त्याज्यं दोषवदित्येके कर्म प्राहुर्मनीषिण: |
यज्ञदानतप:कर्म न त्याज्यमिति चापरे || 3||","tyājyaṁ doṣha-vad ity eke karma prāhur manīṣhiṇaḥ
yajña-dāna-tapaḥ-karma na tyājyam iti chāpare"
"निश्चयं शृणु मे तत्र त्यागे भरतसत्तम |
त्यागो हि पुरुषव्याघ्र त्रिविध: सम्प्रकीर्तित: || 4||","niśhchayaṁ śhṛiṇu me tatra tyāge bharata-sattama
tyāgo hi puruṣha-vyāghra tri-vidhaḥ samprakīrtitaḥ"
"यज्ञदानतप:कर्म न त्याज्यं कार्यमेव तत् |
यज्ञो दानं तपश्चैव पावनानि मनीषिणाम् || 5||","yajña-dāna-tapaḥ-karma na tyājyaṁ kāryam eva tat
yajño dānaṁ tapaśh chaiva pāvanāni manīṣhiṇām"
"एतान्यपि तु कर्माणि सङ्गं त्यक्त्वा फलानि च |
कर्तव्यानीति मे पार्थ निश्चितं मतमुत्तमम् || 6||","etāny api tu karmāṇi saṅgaṁ tyaktvā phalāni cha
kartavyānīti me pārtha niśhchitaṁ matam uttamam"
"नियतस्य तु सन्न्यास: कर्मणो नोपपद्यते |
मोहात्तस्य परित्यागस्तामस: परिकीर्तित: || 7||","niyatasya tu sannyāsaḥ karmaṇo nopapadyate
mohāt tasya parityāgas tāmasaḥ parikīrtitaḥ"
"दु:खमित्येव यत्कर्म कायक्लेशभयात्यजेत् |
स कृत्वा राजसं त्यागं नैव त्यागफलं लभेत् || 8||","duḥkham ity eva yat karma kāya-kleśha-bhayāt tyajet
sa kṛitvā rājasaṁ tyāgaṁ naiva tyāga-phalaṁ labhet"
"कार्यमित्येव यत्कर्म नियतं क्रियतेऽर्जुन |
सङ्गं त्यक्त्वा फलं चैव स त्याग: सात्त्विको मत: || 9||","kāryam ity eva yat karma niyataṁ kriyate ‘rjuna
saṅgaṁ tyaktvā phalaṁ chaiva sa tyāgaḥ sāttviko mataḥ"
"न द्वेष्ट्यकुशलं कर्म कुशले नानुषज्जते |
त्यागी सत्त्वसमाविष्टो मेधावी छिन्नसंशय: || 10||","na dveṣhṭy akuśhalaṁ karma kuśhale nānuṣhajjate
tyāgī sattva-samāviṣhṭo medhāvī chhinna-sanśhayaḥ"
"न हि देहभृता शक्यं त्यक्तुं कर्माण्यशेषत: |
यस्तु कर्मफलत्यागी स त्यागीत्यभिधीयते || 11||","na hi deha-bhṛitā śhakyaṁ tyaktuṁ karmāṇy aśheṣhataḥ
yas tu karma-phala-tyāgī sa tyāgīty abhidhīyate"
"अनिष्टमिष्टं मिश्रं च त्रिविधं कर्मण: फलम् |
भवत्यत्यागिनां प्रेत्य न तु सन्न्यासिनां क्वचित् || 12||","aniṣhṭam iṣhṭaṁ miśhraṁ cha tri-vidhaṁ karmaṇaḥ phalam
bhavaty atyāgināṁ pretya na tu sannyāsināṁ kvachit"
"पञ्चैतानि महाबाहो कारणानि निबोध मे |
साङ् ख्ये कृतान्ते प्रोक्तानि सिद्धये सर्वकर्मणाम् || 13||","pañchaitāni mahā-bāho kāraṇāni nibodha me
sānkhye kṛitānte proktāni siddhaye sarva-karmaṇām"
"अधिष्ठानं तथा कर्ता करणं च पृथग्विधम् |
विविधाश्च पृथक्चेष्टा दैवं चैवात्र पञ्चमम् || 14||","adhiṣhṭhānaṁ tathā kartā karaṇaṁ cha pṛithag-vidham
vividhāśh cha pṛithak cheṣhṭā daivaṁ chaivātra pañchamam"
