Sanskrit{hide},Transliteration{hide}
"श्रीभगवानुवाच |
इदं तु ते गुह्यतमं प्रवक्ष्याम्यनसूयवे |
ज्ञानं विज्ञानसहितं यज्ज्ञात्वा मोक्ष्यसेऽशुभात् || 1||","śhrī bhagavān uvācha
idaṁ tu te guhyatamaṁ pravakṣhyāmyanasūyave
jñānaṁ vijñāna-sahitaṁ yaj jñātvā mokṣhyase ’śhubhāt"
"राजविद्या राजगुह्यं पवित्रमिदमुत्तमम् |
प्रत्यक्षावगमं धर्म्यं सुसुखं कर्तुमव्ययम् || 2||","rāja-vidyā rāja-guhyaṁ pavitram idam uttamam
pratyakṣhāvagamaṁ dharmyaṁ su-sukhaṁ kartum avyayam"
"अश्रद्दधाना: पुरुषा धर्मस्यास्य परन्तप |
अप्राप्य मां निवर्तन्ते मृत्युसंसारवर्त्मनि || 3||","aśhraddadhānāḥ puruṣhā dharmasyāsya parantapa
aprāpya māṁ nivartante mṛityu-samsāra-vartmani"
"मया ततमिदं सर्वं जगदव्यक्तमूर्तिना |
मत्स्थानि सर्वभूतानि न चाहं तेष्ववस्थित: || 4||","mayā tatam idaṁ sarvaṁ jagad avyakta-mūrtinā
mat-sthāni sarva-bhūtāni na chāhaṁ teṣhvavasthitaḥ"
"न च मत्स्थानि भूतानि पश्य मे योगमैश्वरम् |
भूतभृन्न च भूतस्थो ममात्मा भूतभावन: || 5||","na cha mat-sthāni bhūtāni paśhya me yogam aiśhwaram
bhūta-bhṛin na cha bhūta-stho mamātmā bhūta-bhāvanaḥ"
"यथाकाशस्थितो नित्यं वायु: सर्वत्रगो महान् |
तथा सर्वाणि भूतानि मत्स्थानीत्युपधारय || 6||","yathākāśha-sthito nityaṁ vāyuḥ sarvatra-go mahān
tathā sarvāṇi bhūtāni mat-sthānītyupadhāraya"
"सर्वभूतानि कौन्तेय प्रकृतिं यान्ति मामिकाम् |
कल्पक्षये पुनस्तानि कल्पादौ विसृजाम्यहम् || 7||","sarva-bhūtāni kaunteya prakṛitiṁ yānti māmikām
kalpa-kṣhaye punas tāni kalpādau visṛijāmyaham"
"प्रकृतिं स्वामवष्टभ्य विसृजामि पुन: पुन: |
भूतग्राममिमं कृत्स्नमवशं प्रकृतेर्वशात् || 8||","prakṛitiṁ svām avaṣhṭabhya visṛijāmi punaḥ punaḥ
bhūta-grāmam imaṁ kṛitsnam avaśhaṁ prakṛiter vaśhāt"
"न च मां तानि कर्माणि निबध्नन्ति धनञ्जय |
उदासीनवदासीनमसक्तं तेषु कर्मसु || 9||","na cha māṁ tāni karmāṇi nibadhnanti dhanañjaya
udāsīna-vad āsīnam asaktaṁ teṣhu karmasu"
"मयाध्यक्षेण प्रकृति: सूयते सचराचरम् |
हेतुनानेन कौन्तेय जगद्विपरिवर्तते || 10||","mayādhyakṣheṇa prakṛitiḥ sūyate sa-charācharam
hetunānena kaunteya jagad viparivartate"
