Sanskrit{hide},Transliteration{hide}
"अर्जुन उवाच |
संन्यासं कर्मणां कृष्ण पुनर्योगं च शंससि |
यच्छ्रेय एतयोरेकं तन्मे ब्रूहि सुनिश्चितम् || 1||","arjuna uvācha
sannyāsaṁ karmaṇāṁ kṛiṣhṇa punar yogaṁ cha śhansasi
yach chhreya etayor ekaṁ tan me brūhi su-niśhchitam"
"श्रीभगवानुवाच |
संन्यास: कर्मयोगश्च नि:श्रेयसकरावुभौ |
तयोस्तु कर्मसंन्यासात्कर्मयोगो विशिष्यते || 2||","śhrī bhagavān uvācha
sannyāsaḥ karma-yogaśh cha niḥśhreyasa-karāvubhau
tayos tu karma-sannyāsāt karma-yogo viśhiṣhyate"
"ज्ञेय: स नित्यसंन्यासी यो न द्वेष्टि न काङ् क्षति |
निर्द्वन्द्वो हि महाबाहो सुखं बन्धात्प्रमुच्यते || 3||","jñeyaḥ sa nitya-sannyāsī yo na dveṣhṭi na kāṅkṣhati
nirdvandvo hi mahā-bāho sukhaṁ bandhāt pramuchyate"
"साङ्ख्ययोगौ पृथग्बाला: प्रवदन्ति न पण्डिता: |
एकमप्यास्थित: सम्यगुभयोर्विन्दते फलम् || 4||","sānkhya-yogau pṛithag bālāḥ pravadanti na paṇḍitāḥ
ekamapyāsthitaḥ samyag ubhayor vindate phalam"
"यत्साङ्ख्यै: प्राप्यते स्थानं तद्योगैरपि गम्यते |
एकं साङ्ख्यं च योगं च य: पश्यति स पश्यति || 5||","yat sānkhyaiḥ prāpyate sthānaṁ tad yogair api gamyate
ekaṁ sānkhyaṁ cha yogaṁ cha yaḥ paśhyati sa paśhyati"
"संन्यासस्तु महाबाहो दु:खमाप्तुमयोगत: |
योगयुक्तो मुनिर्ब्रह्म नचिरेणाधिगच्छति || 6||","sannyāsas tu mahā-bāho duḥkham āptum ayogataḥ
yoga-yukto munir brahma na chireṇādhigachchhati"
"योगयुक्तो विशुद्धात्मा विजितात्मा जितेन्द्रिय: |
सर्वभूतात्मभूतात्मा कुर्वन्नपि न लिप्यते || 7||","yoga-yukto viśhuddhātmā vijitātmā jitendriyaḥ
sarva-bhūtātma-bhūtātmā kurvann api na lipyate"
"नैव किञ्चित्करोमीति युक्तो मन्येत तत्त्ववित् |
पश्यञ्शृण्वन्स्पृशञ्जिघ्रन्नश्नन्गच्छन्स्वपञ्श्वसन् || 8||","naiva kiñchit karomīti yukto manyeta tattva-vit
paśhyañ śhṛiṇvan spṛiśhañjighrann aśhnangachchhan svapañśhvasan"
"प्रलपन्विसृजन्गृह्ण्न्नुन्मिषन्निमिषन्नपि |
इन्द्रियाणीन्द्रियार्थेषु वर्तन्त इति धारयन् || 9||","pralapan visṛijan gṛihṇann unmiṣhan nimiṣhann api
indriyāṇīndriyārtheṣhu vartanta iti dhārayan"
"ब्रह्मण्याधाय कर्माणि सङ्गं त्यक्त्वा करोति य: |
लिप्यते न स पापेन पद्मपत्रमिवाम्भसा || 10||","brahmaṇyādhāya karmāṇi saṅgaṁ tyaktvā karoti yaḥ
lipyate na sa pāpena padma-patram ivāmbhasā"
"कायेन मनसा बुद्ध्या केवलैरिन्द्रियैरपि |
योगिन: कर्म कुर्वन्ति सङ्गं त्यक्त्वात्मशुद्धये || 11||","kāyena manasā buddhyā kevalair indriyair api
yoginaḥ karma kurvanti saṅgaṁ tyaktvātma-śhuddhaye"
"युक्त: कर्मफलं त्यक्त्वा शान्तिमाप्नोति नैष्ठिकीम् |
अयुक्त: कामकारेण फले सक्तो निबध्यते || 12||","yuktaḥ karma-phalaṁ tyaktvā śhāntim āpnoti naiṣhṭhikīm
ayuktaḥ kāma-kāreṇa phale sakto nibadhyate"
"सर्वकर्माणि मनसा संन्यस्यास्ते सुखं वशी |
नवद्वारे पुरे देही नैव कुर्वन्न कारयन् || 13||","sarva-karmāṇi manasā sannyasyāste sukhaṁ vaśhī
nava-dvāre pure dehī naiva kurvan na kārayan"
"न कर्तृत्वं न कर्माणि लोकस्य सृजति प्रभु: |
न कर्मफलसंयोगं स्वभावस्तु प्रवर्तते || 14||","na kartṛitvaṁ na karmāṇi lokasya sṛijati prabhuḥ
na karma-phala-saṅyogaṁ svabhāvas tu pravartate"
"नादत्ते कस्यचित्पापं न चैव सुकृतं विभु: |
अज्ञानेनावृतं ज्ञानं तेन मुह्यन्ति जन्तव: || 15||","nādatte kasyachit pāpaṁ na chaiva sukṛitaṁ vibhuḥ
ajñānenāvṛitaṁ jñānaṁ tena muhyanti jantavaḥ"
