Sanskrit{hide},Transliteration{hide}
"धृतराष्ट्र उवाच |
धर्मक्षेत्रे कुरुक्षेत्रे समवेता युयुत्सवः |
मामकाः पाण्डवाश्चैव किमकुर्वत सञ्जय ||1||","dhṛitarāśhtra uvācha
dharma-kṣhetre kuru-kṣhetre samavetā yuyutsavaḥ
māmakāḥ pāṇḍavāśhchaiva kimakurvata sañjaya"
"सञ्जय उवाच ।
दृष्ट्वा तु पाण्डवानीकं व्यूढं दुर्योधनस्तदा ।
आचार्यमुपसङ्गम्य राजा वचनमब्रवीत् ।। 2।।","sañjaya uvācha
dṛiṣhṭvā tu pāṇḍavānīkaṁ vyūḍhaṁ duryodhanastadā
āchāryamupasaṅgamya rājā vachanamabravīt"
"पश्यैतां पाण्डुपुत्राणामाचार्य महतीं चमूम् ।
व्यूढां द्रुपदपुत्रेण तव शिष्येण धीमता ।। 3।।","paśhyaitāṁ pāṇḍu-putrāṇām āchārya mahatīṁ chamūm
vyūḍhāṁ drupada-putreṇa tava śhiṣhyeṇa dhīmatā"
"अत्र शूरा महेष्वासा भीमार्जुनसमा युधि
युयुधानो विराटश्च द्रुपदश्च महारथ: || 4||","atra śhūrā maheṣhvāsā bhīmārjuna-samā yudhi
yuyudhāno virāṭaśhcha drupadaśhcha mahā-rathaḥ"
"धृष्टकेतुश्चेकितान: काशिराजश्च वीर्यवान् |
पुरुजित्कुन्तिभोजश्च शैब्यश्च नरपुङ्गव: || 5||","dhṛiṣhṭaketuśhchekitānaḥ kāśhirājaśhcha vīryavān
purujit kuntibhojaśhcha śhaibyaśhcha nara-puṅgavaḥ"
"युधामन्युश्च विक्रान्त उत्तमौजाश्च वीर्यवान् |
सौभद्रो द्रौपदेयाश्च सर्व एव महारथा: || 6||","yudhāmanyuśhcha vikrānta uttamaujāśhcha vīryavān
saubhadro draupadeyāśhcha sarva eva mahā-rathāḥ"
"अस्माकं तु विशिष्टा ये तान्निबोध द्विजोत्तम |
नायका मम सैन्यस्य संज्ञार्थं तान्ब्रवीमि ते || 7||","asmākaṁ tu viśhiṣhṭā ye tānnibodha dwijottama
nāyakā mama sainyasya sanjñārthaṁ tānbravīmi te"
"भवान्भीष्मश्च कर्णश्च कृपश्च समितिञ्जय: |
अश्वत्थामा विकर्णश्च सौमदत्तिस्तथैव च || 8||","bhavānbhīṣhmaśhcha karṇaśhcha kṛipaśhcha samitiñjayaḥ
aśhvatthāmā vikarṇaśhcha saumadattis tathaiva cha"
"अन्ये च बहव: शूरा मदर्थे त्यक्तजीविता: |
नानाशस्त्रप्रहरणा: सर्वे युद्धविशारदा: || 9||","anye cha bahavaḥ śhūrā madarthe tyaktajīvitāḥ
nānā-śhastra-praharaṇāḥ sarve yuddha-viśhāradāḥ"
"अपर्याप्तं तदस्माकं बलं भीष्माभिरक्षितम् |
पर्याप्तं त्विदमेतेषां बलं भीमाभिरक्षितम् || 10||","aparyāptaṁ tadasmākaṁ balaṁ bhīṣhmābhirakṣhitam
paryāptaṁ tvidameteṣhāṁ balaṁ bhīmābhirakṣhitam"
"अयनेषु च सर्वेषु यथाभागमवस्थिता: |
भीष्ममेवाभिरक्षन्तु भवन्त: सर्व एव हि || 11||","ayaneṣhu cha sarveṣhu yathā-bhāgamavasthitāḥ
bhīṣhmamevābhirakṣhantu bhavantaḥ sarva eva hi"
"तस्य सञ्जनयन्हर्षं कुरुवृद्ध: पितामह: |
सिंहनादं विनद्योच्चै: शङ्खं दध्मौ प्रतापवान् || 12||","tasya sañjanayan harṣhaṁ kuru-vṛiddhaḥ pitāmahaḥ
siṁha-nādaṁ vinadyochchaiḥ śhaṅkhaṁ dadhmau pratāpavān"
"तत: शङ्खाश्च भेर्यश्च पणवानकगोमुखा: |
सहसैवाभ्यहन्यन्त स शब्दस्तुमुलोऽभवत् || 13||","tataḥ śhaṅkhāśhcha bheryaśhcha paṇavānaka-gomukhāḥ
sahasaivābhyahanyanta sa śhabdastumulo ’bhavat"
"तत: श्वेतैर्हयैर्युक्ते महति स्यन्दने स्थितौ |
माधव: पाण्डवश्चैव दिव्यौ शङ्खौ प्रदध्मतु: || 14||","tataḥ śhvetairhayairyukte mahati syandane sthitau
mādhavaḥ pāṇḍavaśhchaiva divyau śhaṅkhau pradadhmatuḥ"
"पाञ्चजन्यं हृषीकेशो देवदत्तं धनञ्जय: |
पौण्ड्रं दध्मौ महाशङ्खं भीमकर्मा वृकोदर: || 15||","pāñchajanyaṁ hṛiṣhīkeśho devadattaṁ dhanañjayaḥ
pauṇḍraṁ dadhmau mahā-śhaṅkhaṁ bhīma-karmā vṛikodaraḥ"
"अनन्तविजयं राजा कुन्तीपुत्रो युधिष्ठिर: |
नकुल: सहदेवश्च सुघोषमणिपुष्पकौ || 16||","anantavijayaṁ rājā kuntī-putro yudhiṣhṭhiraḥ
nakulaḥ sahadevaśhcha sughoṣha-maṇipuṣhpakau"
"काश्यश्च परमेष्वास: शिखण्डी च महारथ: |
धृष्टद्युम्नो विराटश्च सात्यकिश्चापराजित: || 17||","kāśhyaśhcha parameṣhvāsaḥ śhikhaṇḍī cha mahā-rathaḥ
dhṛiṣhṭadyumno virāṭaśhcha sātyakiśh chāparājitaḥ"
"द्रुपदो द्रौपदेयाश्च सर्वश: पृथिवीपते |
सौभद्रश्च महाबाहु: शङ्खान्दध्मु: पृथक् पृथक् || 18||","drupado draupadeyāśhcha sarvaśhaḥ pṛithivī-pate
saubhadraśhcha mahā-bāhuḥ śhaṅkhāndadhmuḥ pṛithak pṛithak"
"स घोषो धार्तराष्ट्राणां हृदयानि व्यदारयत् |
नभश्च पृथिवीं चैव तुमुलोऽभ्यनुनादयन् || 19||","sa ghoṣho dhārtarāṣhṭrāṇāṁ hṛidayāni vyadārayat
nabhaśhcha pṛithivīṁ chaiva tumulo abhyanunādayan"
"अथ व्यवस्थितान्दृष्ट्वा धार्तराष्ट्रान् कपिध्वज: |
प्रवृत्ते शस्त्रसम्पाते धनुरुद्यम्य पाण्डव: |
हृषीकेशं तदा वाक्यमिदमाह महीपते ||20||","atha vyavasthitān dṛiṣhṭvā dhārtarāṣhṭrān kapi-dhwajaḥ
pravṛitte śhastra-sampāte dhanurudyamya pāṇḍavaḥ
hṛiṣhīkeśhaṁ tadā vākyam idam āha mahī-pate"
"अर्जुन उवाच |
सेनयोरुभयोर्मध्ये रथं स्थापय मेऽच्युत || 21||","arjuna uvācha
senayor ubhayor madhye rathaṁ sthāpaya me ’chyuta"
"यावदेतान्निरीक्षेऽहं योद्धुकामानवस्थितान् |
कैर्मया सह योद्धव्यमस्मिन् रणसमुद्यमे || 22||","yāvadetān nirīkṣhe ’haṁ yoddhu-kāmān avasthitān
kairmayā saha yoddhavyam asmin raṇa-samudyame"
"योत्स्यमानानवेक्षेऽहं य एतेऽत्र समागता: |
धार्तराष्ट्रस्य दुर्बुद्धेर्युद्धे प्रियचिकीर्षव: || 23||","yotsyamānān avekṣhe ’haṁ ya ete ’tra samāgatāḥ
dhārtarāṣhṭrasya durbuddher yuddhe priya-chikīrṣhavaḥ"
"सञ्जय उवाच |
एवमुक्तो हृषीकेशो गुडाकेशेन भारत |
सेनयोरुभयोर्मध्ये स्थापयित्वा रथोत्तमम् || 24||","sañjaya uvācha
evam ukto hṛiṣhīkeśho guḍākeśhena bhārata
senayor ubhayor madhye sthāpayitvā rathottamam"
"भीष्मद्रोणप्रमुखत: सर्वेषां च महीक्षिताम् |
उवाच पार्थ पश्यैतान्समवेतान्कुरूनिति || 25||","bhīṣhma-droṇa-pramukhataḥ sarveṣhāṁ cha mahī-kṣhitām
uvācha pārtha paśhyaitān samavetān kurūn iti"
"तत्रापश्यत्स्थितान् पार्थ: पितृ नथ पितामहान् |
आचार्यान्मातुलान्भ्रातृ न्पुत्रान्पौत्रान्सखींस्तथा |
श्वशुरान्सुहृदश्चैव सेनयोरुभयोरपि || 26||","tatrāpaśhyat sthitān pārthaḥ pitṝīn atha pitāmahān
āchāryān mātulān bhrātṝīn putrān pautrān sakhīṁs tathā
śhvaśhurān suhṛidaśh chaiva senayor ubhayor api"
"तान्समीक्ष्य स कौन्तेय: सर्वान्बन्धूनवस्थितान् |
कृपया परयाविष्टो विषीदन्निदमब्रवीत् || 27||","tān samīkṣhya sa kaunteyaḥ sarvān bandhūn avasthitān
kṛipayā parayāviṣhṭo viṣhīdann idam abravīt"
"अर्जुन उवाच |
दृष्ट्वेमं स्वजनं कृष्ण युयुत्सुं समुपस्थितम् |
सीदन्ति मम गात्राणि मुखं च परिशुष्यति || 28||","arjuna uvācha
dṛiṣhṭvemaṁ sva-janaṁ kṛiṣhṇa yuyutsuṁ samupasthitam
sīdanti mama gātrāṇi mukhaṁ cha pariśhuṣhyati"
वेपथुश्च शरीरे मे रोमहर्षश्च जायते || 29||,vepathuśh cha śharīre me roma-harṣhaśh cha jāyate
"गाण्डीवं स्रंसते हस्तात्त्वक्चै व परिदह्यते |
न च शक्नोम्यवस्थातुं भ्रमतीव च मे मन: || 30||","gāṇḍīvaṁ sraṁsate hastāt tvak chaiva paridahyate
na cha śhaknomy avasthātuṁ bhramatīva cha me manaḥ"
"निमित्तानि च पश्यामि विपरीतानि केशव |
न च श्रेयोऽनुपश्यामि हत्वा स्वजनमाहवे || 31||","nimittāni cha paśhyāmi viparītāni keśhava
na cha śhreyo ’nupaśhyāmi hatvā sva-janam āhave"
"न काङ्क्षे विजयं कृष्ण न च राज्यं सुखानि च |
किं नो राज्येन गोविन्द किं भोगैर्जीवितेन वा || 32||","na kāṅkṣhe vijayaṁ kṛiṣhṇa na cha rājyaṁ sukhāni cha
kiṁ no rājyena govinda kiṁ bhogair jīvitena vā"
"येषामर्थे काङ्क्षितं नो राज्यं भोगा: सुखानि च |
त इमेऽवस्थिता युद्धे प्राणांस्त्यक्त्वा धनानि च || 33||","yeṣhām arthe kāṅkṣhitaṁ no rājyaṁ bhogāḥ sukhāni cha
ta ime ’vasthitā yuddhe prāṇāṁs tyaktvā dhanāni cha"
"आचार्या: पितर: पुत्रास्तथैव च पितामहा: |
मातुला: श्वशुरा: पौत्रा: श्याला: सम्बन्धिनस्तथा || 34||","āchāryāḥ pitaraḥ putrās tathaiva cha pitāmahāḥ
mātulāḥ śhvaśhurāḥ pautrāḥ śhyālāḥ sambandhinas tathā"
"एतान्न हन्तुमिच्छामि घ्नतोऽपि मधुसूदन |
अपि त्रैलोक्यराज्यस्य हेतो: किं नु महीकृते || 35||","etān na hantum ichchhāmi ghnato ’pi madhusūdana
api trailokya-rājyasya hetoḥ kiṁ nu mahī-kṛite"
