Sanskrit{hide},Transliteration{hide}
"अर्जुन उवाच |
एवं सततयुक्ता ये भक्तास्त्वां पर्युपासते |
ये चाप्यक्षरमव्यक्तं तेषां के योगवित्तमा: || 1||","arjuna uvācha
evaṁ satata-yuktā ye bhaktās tvāṁ paryupāsate
ye chāpy akṣharam avyaktaṁ teṣhāṁ ke yoga-vittamāḥ"
"श्रीभगवानुवाच |
मय्यावेश्य मनो ये मां नित्ययुक्ता उपासते |
श्रद्धया परयोपेतास्ते मे युक्ततमा मता: || 2||","śhrī-bhagavān uvācha
mayy āveśhya mano ye māṁ nitya-yuktā upāsate
śhraddhayā parayopetās te me yuktatamā matāḥ"
"ये त्वक्षरमनिर्देश्यमव्यक्तं पर्युपासते |
सर्वत्रगमचिन्त्यञ्च कूटस्थमचलन्ध्रुवम् || 3||","ye tv akṣharam anirdeśhyam avyaktaṁ paryupāsate
sarvatra-gam achintyañcha kūṭa-stham achalandhruvam"
"सन्नियम्येन्द्रियग्रामं सर्वत्र समबुद्धय: |
ते प्राप्नुवन्ति मामेव सर्वभूतहिते रता: || 4||","sanniyamyendriya-grāmaṁ sarvatra sama-buddhayaḥ
te prāpnuvanti mām eva sarva-bhūta-hite ratāḥ"
"क्लेशोऽधिकतरस्तेषामव्यक्तासक्तचेतसाम् ||
अव्यक्ता हि गतिर्दु:खं देहवद्भिरवाप्यते || 5||","kleśho ’dhikataras teṣhām avyaktāsakta-chetasām
avyaktā hi gatir duḥkhaṁ dehavadbhir avāpyate"
"ये तु सर्वाणि कर्माणि मयि संन्न्यस्य मत्पर: |
अनन्येनैव योगेन मां ध्यायन्त उपासते || 6||","ye tu sarvāṇi karmāṇi mayi sannyasya mat-paraḥ
ananyenaiva yogena māṁ dhyāyanta upāsate"
"तेषामहं समुद्धर्ता मृत्युसंसारसागरात् |
भवामि नचिरात्पार्थ मय्यावेशितचेतसाम् || 7||","teṣhām ahaṁ samuddhartā mṛityu-saṁsāra-sāgarāt
bhavāmi na chirāt pārtha mayy āveśhita-chetasām"
"मय्येव मन आधत्स्व मयि बुद्धिं निवेशय |
निवसिष्यसि मय्येव अत ऊर्ध्वं न संशय: || 8||","mayy eva mana ādhatsva mayi buddhiṁ niveśhaya
nivasiṣhyasi mayy eva ata ūrdhvaṁ na sanśhayaḥ"
"अथ चित्तं समाधातुं न शक्नोषि मयि स्थिरम् |
अभ्यासयोगेन ततो मामिच्छाप्तुं धनञ्जय || 9||","atha chittaṁ samādhātuṁ na śhaknoṣhi mayi sthiram
abhyāsa-yogena tato mām ichchhāptuṁ dhanañjaya"
"अभ्यासेऽप्यसमर्थोऽसि मत्कर्मपरमो भव |
मदर्थमपि कर्माणि कुर्वन्सिद्धिमवाप्स्यसि || 10||","abhyāse ’py asamartho ’si mat-karma-paramo bhava
mad-artham api karmāṇi kurvan siddhim avāpsyasi"
"अथैतदप्यशक्तोऽसि कर्तुं मद्योगमाश्रित: |
सर्वकर्मफलत्यागं तत: कुरु यतात्मवान् || 11||","athaitad apy aśhakto ’si kartuṁ mad-yogam āśhritaḥ
sarva-karma-phala-tyāgaṁ tataḥ kuru yatātmavān"
"श्रेयो हि ज्ञानमभ्यासाज्ज्ञानाद्ध्यानं विशिष्यते |
ध्यानात्कर्मफलत्यागस्त्यागाच्छान्तिरनन्तरम् || 12||","śhreyo hi jñānam abhyāsāj jñānād dhyānaṁ viśhiṣhyate
dhyānāt karma-phala-tyāgas tyāgāch chhāntir anantaram"
"अद्वेष्टा सर्वभूतानां मैत्र: करुण एव च |
निर्ममो निरहङ्कार: समदु:खसुख: क्षमी || 13||","adveṣhṭā sarva-bhūtānāṁ maitraḥ karuṇa eva cha
nirmamo nirahankāraḥ sama-duḥkha-sukhaḥ kṣhamī"
"सन्तुष्ट: सततं योगी यतात्मा दृढनिश्चय: |
मय्यर्पितमनोबुद्धिर्यो मद्भक्त: स मे प्रिय: || 14||","santuṣhṭaḥ satataṁ yogī yatātmā dṛiḍha-niśhchayaḥ
mayy arpita-mano-buddhir yo mad-bhaktaḥ sa me priyaḥ"
