Sanskrit{hide},Transliteration{hide}
"श्रीभगवानुवाच |
मय्यासक्तमना: पार्थ योगं युञ्जन्मदाश्रय: |
असंशयं समग्रं मां यथा ज्ञास्यसि तच्छृणु || 1||","śhrī bhagavān uvācha
mayyāsakta-manāḥ pārtha yogaṁ yuñjan mad-āśhrayaḥ
asanśhayaṁ samagraṁ māṁ yathā jñāsyasi tach chhṛiṇu"
"ज्ञानं तेऽहं सविज्ञानमिदं वक्ष्याम्यशेषत: |
यज्ज्ञात्वा नेह भूयोऽन्यज्ज्ञातव्यमवशिष्यते || 2||","jñānaṁ te ’haṁ sa-vijñānam idaṁ vakṣhyāmyaśheṣhataḥ
yaj jñātvā neha bhūyo ’nyaj jñātavyam-avaśhiṣhyate"
"मनुष्याणां सहस्रेषु कश्चिद्यतति सिद्धये |
यततामपि सिद्धानां कश्चिन्मां वेत्ति तत्त्वत: || 3||","manuṣhyāṇāṁ sahasreṣhu kaśhchid yatati siddhaye
yatatām api siddhānāṁ kaśhchin māṁ vetti tattvataḥ"
"भूमिरापोऽनलो वायु: खं मनो बुद्धिरेव च |
अहङ्कार इतीयं मे भिन्ना प्रकृतिरष्टधा || 4||","bhūmir-āpo ’nalo vāyuḥ khaṁ mano buddhir eva cha
ahankāra itīyaṁ me bhinnā prakṛitir aṣhṭadhā"
"अपरेयमितस्त्वन्यां प्रकृतिं विद्धि मे पराम् |
जीवभूतां महाबाहो ययेदं धार्यते जगत् || 5||","apareyam itas tvanyāṁ prakṛitiṁ viddhi me parām
jīva-bhūtāṁ mahā-bāho yayedaṁ dhāryate jagat"
"एतद्योनीनि भूतानि सर्वाणीत्युपधारय |
अहं कृत्स्नस्य जगत: प्रभव: प्रलयस्तथा || 6||","etad-yonīni bhūtāni sarvāṇītyupadhāraya
ahaṁ kṛitsnasya jagataḥ prabhavaḥ pralayas tathā"
"मत्त: परतरं नान्यत्किञ्चिदस्ति धनञ्जय |
मयि सर्वमिदं प्रोतं सूत्रे मणिगणा इव || 7||","mattaḥ parataraṁ nānyat kiñchid asti dhanañjaya
mayi sarvam idaṁ protaṁ sūtre maṇi-gaṇā iva"
"रसोऽहमप्सु कौन्तेय प्रभास्मि शशिसूर्ययो: |
प्रणव: सर्ववेदेषु शब्द: खे पौरुषं नृषु || 8||","raso ’ham apsu kaunteya prabhāsmi śhaśhi-sūryayoḥ
praṇavaḥ sarva-vedeṣhu śhabdaḥ khe pauruṣhaṁ nṛiṣhu"
"पुण्यो गन्ध: पृथिव्यां च तेजश्चास्मि विभावसौ |
जीवनं सर्वभूतेषु तपश्चास्मि तपस्विषु || 9||","puṇyo gandhaḥ pṛithivyāṁ cha tejaśh chāsmi vibhāvasau
jīvanaṁ sarva-bhūteṣhu tapaśh chāsmi tapasviṣhu"
"बीजं मां सर्वभूतानां विद्धि पार्थ सनातनम् |
बुद्धिर्बुद्धिमतामस्मि तेजस्तेजस्विनामहम् || 10||","bījaṁ māṁ sarva-bhūtānāṁ viddhi pārtha sanātanam
buddhir buddhimatām asmi tejas tejasvinām aham"
"बलं बलवतां चाहं कामरागविवर्जितम् |
धर्माविरुद्धो भूतेषु कामोऽस्मि भरतर्षभ || 11||","balaṁ balavatāṁ chāhaṁ kāma-rāga-vivarjitam
dharmāviruddho bhūteṣhu kāmo ’smi bharatarṣhabha"
"ये चैव सात्त्विका भावा राजसास्तामसाश्च ये |
मत्त एवेति तान्विद्धि न त्वहं तेषु ते मयि || 12||","ye chaiva sāttvikā bhāvā rājasās tāmasāśh cha ye
matta eveti tān viddhi na tvahaṁ teṣhu te mayi"
"त्रिभिर्गुणमयैर्भावैरेभि: सर्वमिदं जगत् |
मोहितं नाभिजानाति मामेभ्य: परमव्ययम् || 13||","tribhir guṇa-mayair bhāvair ebhiḥ sarvam idaṁ jagat
mohitaṁ nābhijānāti māmebhyaḥ param avyayam"
"दैवी ह्येषा गुणमयी मम माया दुरत्यया |
मामेव ये प्रपद्यन्ते मायामेतां तरन्ति ते || 14||","daivī hyeṣhā guṇa-mayī mama māyā duratyayā
mām eva ye prapadyante māyām etāṁ taranti te"
"न मां दुष्कृतिनो मूढा: प्रपद्यन्ते नराधमा: |
माययापहृतज्ञाना आसुरं भावमाश्रिता: || 15||","na māṁ duṣhkṛitino mūḍhāḥ prapadyante narādhamāḥ
māyayāpahṛita-jñānā āsuraṁ bhāvam āśhritāḥ"
"चतुर्विधा भजन्ते मां जना: सुकृतिनोऽर्जुन |
आर्तो जिज्ञासुरर्थार्थी ज्ञानी च भरतर्षभ || 16||","chatur-vidhā bhajante māṁ janāḥ sukṛitino ’rjuna
ārto jijñāsur arthārthī jñānī cha bharatarṣhabha"
"तेषां ज्ञानी नित्ययुक्त एकभक्तिर्विशिष्यते |
प्रियो हि ज्ञानिनोऽत्यर्थमहं स च मम प्रिय: || 17||","teṣhāṁ jñānī nitya-yukta eka-bhaktir viśhiṣhyate
priyo hi jñānino ’tyartham ahaṁ sa cha mama priyaḥ"
"उदारा: सर्व एवैते ज्ञानी त्वात्मैव मे मतम् |
आस्थित: स हि युक्तात्मा मामेवानुत्तमां गतिम् || 18||","udārāḥ sarva evaite jñānī tvātmaiva me matam
āsthitaḥ sa hi yuktātmā mām evānuttamāṁ gatim"
"बहूनां जन्मनामन्ते ज्ञानवान्मां प्रपद्यते |
वासुदेव: सर्वमिति स महात्मा सुदुर्लभ: || 19||","bahūnāṁ janmanām ante jñānavān māṁ prapadyate
vāsudevaḥ sarvam iti sa mahātmā su-durlabhaḥ"
"कामैस्तैस्तैर्हृतज्ञाना: प्रपद्यन्तेऽन्यदेवता: |
तं तं नियममास्थाय प्रकृत्या नियता: स्वया || 20||","kāmais tais tair hṛita-jñānāḥ prapadyante ’nya-devatāḥ
taṁ taṁ niyamam āsthāya prakṛityā niyatāḥ svayā"
"यो यो यां यां तनुं भक्त: श्रद्धयार्चितुमिच्छति |
तस्य तस्याचलां श्रद्धां तामेव विदधाम्यहम् || 21||","yo yo yāṁ yāṁ tanuṁ bhaktaḥ śhraddhayārchitum ichchhati
tasya tasyāchalāṁ śhraddhāṁ tām eva vidadhāmyaham"
"स तया श्रद्धया युक्तस्तस्याराधनमीहते |
लभते च तत: कामान्मयैव विहितान्हि तान् || 22||","sa tayā śhraddhayā yuktas tasyārādhanam īhate
labhate cha tataḥ kāmān mayaiva vihitān hi tān"
"अन्तवत्तु फलं तेषां तद्भवत्यल्पमेधसाम् |
देवान्देवयजो यान्ति मद्भक्ता यान्ति मामपि || 23||","antavat tu phalaṁ teṣhāṁ tad bhavatyalpa-medhasām
devān deva-yajo yānti mad-bhaktā yānti mām api"
"अव्यक्तं व्यक्तिमापन्नं मन्यन्ते मामबुद्धय: |
परं भावमजानन्तो ममाव्ययमनुत्तमम् || 24||","avyaktaṁ vyaktim āpannaṁ manyante mām abuddhayaḥ
paraṁ bhāvam ajānanto mamāvyayam anuttamam"
"नाहं प्रकाश: सर्वस्य योगमायासमावृत: |
मूढोऽयं नाभिजानाति लोको मामजमव्ययम् || 25||","nāhaṁ prakāśhaḥ sarvasya yoga-māyā-samāvṛitaḥ
mūḍho ’yaṁ nābhijānāti loko mām ajam avyayam"
"वेदाहं समतीतानि वर्तमानानि चार्जुन |
भविष्याणि च भूतानि मां तु वेद न कश्चन || 26||","vedāhaṁ samatītāni vartamānāni chārjuna
bhaviṣhyāṇi cha bhūtāni māṁ tu veda na kaśhchana"
"इच्छाद्वेषसमुत्थेन द्वन्द्वमोहेन भारत |
सर्वभूतानि सम्मोहं सर्गे यान्ति परन्तप || 27||","ichchhā-dveṣha-samutthena dvandva-mohena bhārata
sarva-bhūtāni sammohaṁ sarge yānti parantapa"
"येषां त्वन्तगतं पापं जनानां पुण्यकर्मणाम् |
ते द्वन्द्वमोहनिर्मुक्ता भजन्ते मां दृढव्रता: || 28||","yeṣhāṁ tvanta-gataṁ pāpaṁ janānāṁ puṇya-karmaṇām
te dvandva-moha-nirmuktā bhajante māṁ dṛiḍha-vratāḥ"
"जरामरणमोक्षाय मामाश्रित्य यतन्ति ये |
ते ब्रह्म तद्विदु: कृत्स्नमध्यात्मं कर्म चाखिलम् || 29||","jarā-maraṇa-mokṣhāya mām āśhritya yatanti ye
te brahma tadviduḥ kṛitsnam adhyātmaṁ karma chākhilam"
"साधिभूताधिदैवं मां साधियज्ञं च ये विदु: |
प्रयाणकालेऽपि च मां ते विदुर्युक्तचेतस: || 30||","sādhibhūtādhidaivaṁ māṁ sādhiyajñaṁ cha ye viduḥ
prayāṇa-kāle ’pi cha māṁ te vidur yukta-chetasaḥ"
