Sanskrit{hide},Transliteration{hide}
"श्रीभगवानुवाच |
अनाश्रित: कर्मफलं कार्यं कर्म करोति य: |
स संन्यासी च योगी च न निरग्निर्न चाक्रिय: || 1||","śhrī bhagavān uvācha
anāśhritaḥ karma-phalaṁ kāryaṁ karma karoti yaḥ
sa sannyāsī cha yogī cha na niragnir na chākriyaḥ"
"यं संन्यासमिति प्राहुर्योगं तं विद्धि पाण्डव |
न ह्यसंन्यस्तसङ्कल्पो योगी भवति कश्चन || 2||","yaṁ sannyāsam iti prāhur yogaṁ taṁ viddhi pāṇḍava
na hyasannyasta-saṅkalpo yogī bhavati kaśhchana"
"आरुरुक्षोर्मुनेर्योगं कर्म कारणमुच्यते |
योगारूढस्य तस्यैव शम: कारणमुच्यते || 3||","ārurukṣhor muner yogaṁ karma kāraṇam uchyate
yogārūḍhasya tasyaiva śhamaḥ kāraṇam uchyate"
"यदा हि नेन्द्रियार्थेषु न कर्मस्वनुषज्जते |
सर्वसङ्कल्पसंन्यासी योगारूढस्तदोच्यते || 4||","yadā hi nendriyārtheṣhu na karmasv-anuṣhajjate
sarva-saṅkalpa-sannyāsī yogārūḍhas tadochyate"
"उद्धरेदात्मनात्मानं नात्मानमवसादयेत् |
आत्मैव ह्यात्मनो बन्धुरात्मैव रिपुरात्मन: || 5||","uddhared ātmanātmānaṁ nātmānam avasādayet
ātmaiva hyātmano bandhur ātmaiva ripur ātmanaḥ"
"बन्धुरात्मात्मनस्तस्य येनात्मैवात्मना जित: |
अनात्मनस्तु शत्रुत्वे वर्ते तात्मैव शत्रुवत् || 6||","bandhur ātmātmanas tasya yenātmaivātmanā jitaḥ
anātmanas tu śhatrutve vartetātmaiva śhatru-vat"
"जितात्मन: प्रशान्तस्य परमात्मा समाहित: |
शीतोष्णसुखदु:खेषु तथा मानापमानयो: || 7||","jitātmanaḥ praśhāntasya paramātmā samāhitaḥ
śhītoṣhṇa-sukha-duḥkheṣhu tathā mānāpamānayoḥ"
"ज्ञानविज्ञानतृप्तात्मा कूटस्थो विजितेन्द्रिय: |
युक्त इत्युच्यते योगी समलोष्टाश्मकाञ्चन: || 8||","jñāna-vijñāna-tṛiptātmā kūṭa-stho vijitendriyaḥ
yukta ityuchyate yogī sama-loṣhṭāśhma-kāñchanaḥ"
"सुहृन्मित्रार्युदासीनमध्यस्थद्वेष्यबन्धुषु |
साधुष्वपि च पापेषु समबुद्धिर्विशिष्यते || 9||","suhṛin-mitrāryudāsīna-madhyastha-dveṣhya-bandhuṣhu
sādhuṣhvapi cha pāpeṣhu sama-buddhir viśhiṣhyate"
"योगी युञ्जीत सततमात्मानं रहसि स्थित: |
एकाकी यतचित्तात्मा निराशीरपरिग्रह: || 10||","yogī yuñjīta satatam ātmānaṁ rahasi sthitaḥ
ekākī yata-chittātmā nirāśhīr aparigrahaḥ"
"शुचौ देशे प्रतिष्ठाप्य स्थिरमासनमात्मन: |
नात्युच्छ्रितं नातिनीचं चैलाजिनकुशोत्तरम् || 11||","śhuchau deśhe pratiṣhṭhāpya sthiram āsanam ātmanaḥ
nātyuchchhritaṁ nāti-nīchaṁ chailājina-kuśhottaram"
"तत्रैकाग्रं मन: कृत्वा यतचित्तेन्द्रियक्रिय: |
उपविश्यासने युञ्ज्याद्योगमात्मविशुद्धये || 12||","tatraikāgraṁ manaḥ kṛitvā yata-chittendriya-kriyaḥ
upaviśhyāsane yuñjyād yogam ātma-viśhuddhaye"
"समं कायशिरोग्रीवं धारयन्नचलं स्थिर: |
सम्प्रेक्ष्य नासिकाग्रं स्वं दिशश्चानवलोकयन् || 13||","samaṁ kāya-śhiro-grīvaṁ dhārayann achalaṁ sthiraḥ
samprekṣhya nāsikāgraṁ svaṁ diśhaśh chānavalokayan"
"प्रशान्तात्मा विगतभीर्ब्रह्मचारिव्रते स्थित: |
मन: संयम्य मच्चित्तो युक्त आसीत मत्पर: || 14||","praśhāntātmā vigata-bhīr brahmachāri-vrate sthitaḥ
manaḥ sanyamya mach-chitto yukta āsīta mat-paraḥ"
"युञ्जन्नेवं सदात्मानं योगी नियतमानस: |
शान्तिं निर्वाणपरमां मत्संस्थामधिगच्छति || 15||","yuñjann evaṁ sadātmānaṁ yogī niyata-mānasaḥ
śhantiṁ nirvāṇa-paramāṁ mat-sansthām adhigachchhati"
"नात्यश्नतस्तु योगोऽस्ति न चैकान्तमनश्नत: |
न चाति स्वप्नशीलस्य जाग्रतो नैव चार्जुन || 16||","nātyaśhnatastu yogo ’sti na chaikāntam anaśhnataḥ
na chāti-svapna-śhīlasya jāgrato naiva chārjuna"
"युक्ताहारविहारस्य युक्तचेष्टस्य कर्मसु |
युक्तस्वप्नावबोधस्य योगो भवति दु:खहा || 17||","yuktāhāra-vihārasya yukta-cheṣhṭasya karmasu
yukta-svapnāvabodhasya yogo bhavati duḥkha-hā"
"यदा विनियतं चित्तमात्मन्येवावतिष्ठते |
नि:स्पृह: सर्वकामेभ्यो युक्त इत्युच्यते तदा || 18||","yadā viniyataṁ chittam ātmanyevāvatiṣhṭhate
niḥspṛihaḥ sarva-kāmebhyo yukta ityuchyate tadā"
"यथा दीपो निवातस्थो नेङ्गते सोपमा स्मृता |
योगिनो यतचित्तस्य युञ्जतो योगमात्मन: || 19||","yathā dīpo nivāta-stho neṅgate sopamā smṛitā
yogino yata-chittasya yuñjato yogam ātmanaḥ"
