Sanskrit{hide},Transliteration{hide}
"अर्जुन उवाच |
किं तद्ब्रह्म किमध्यात्मं किं कर्म पुरुषोत्तम |
अधिभूतं च किं प्रोक्तमधिदैवं किमुच्यते || 1||","arjuna uvācha
kiṁ tad brahma kim adhyātmaṁ kiṁ karma puruṣhottama
adhibhūtaṁ cha kiṁ proktam adhidaivaṁ kim uchyate"
"अधियज्ञ: कथं कोऽत्र देहेऽस्मिन्मधुसूदन |
प्रयाणकाले च कथं ज्ञेयोऽसि नियतात्मभि: || 2||","adhiyajñaḥ kathaṁ ko ’tra dehe ’smin madhusūdana
prayāṇa-kāle cha kathaṁ jñeyo ’si niyatātmabhiḥ"
"श्रीभगवानुवाच |
अक्षरं ब्रह्म परमं स्वभावोऽध्यात्ममुच्यते |
भूतभावोद्भवकरो विसर्ग: कर्मसञ्ज्ञित: || 3||","śhrī bhagavān uvācha
akṣharaṁ brahma paramaṁ svabhāvo ’dhyātmam uchyate
bhūta-bhāvodbhava-karo visargaḥ karma-sanjñitaḥ"
"अधिभूतं क्षरो भाव: पुरुषश्चाधिदैवतम् |
अधियज्ञोऽहमेवात्र देहे देहभृतां वर || 4||","adhibhūtaṁ kṣharo bhāvaḥ puruṣhaśh chādhidaivatam
adhiyajño ’ham evātra dehe deha-bhṛitāṁ vara"
"अन्तकाले च मामेव स्मरन्मुक्त्वा कलेवरम् |
य: प्रयाति स मद्भावं याति नास्त्यत्र संशय: || 5||","anta-kāle cha mām eva smaran muktvā kalevaram
yaḥ prayāti sa mad-bhāvaṁ yāti nāstyatra sanśhayaḥ"
"यं यं वापि स्मरन्भावं त्यजत्यन्ते कलेवरम् |
तं तमेवैति कौन्तेय सदा तद्भावभावित: || 6||","yaṁ yaṁ vāpi smaran bhāvaṁ tyajatyante kalevaram
taṁ tam evaiti kaunteya sadā tad-bhāva-bhāvitaḥ"
"तस्मात्सर्वेषु कालेषु मामनुस्मर युध्य च |
मय्यर्पितमनोबुद्धिर्मामेवैष्यस्यसंशयम् || 7||","tasmāt sarveṣhu kāleṣhu mām anusmara yudhya cha
mayyarpita-mano-buddhir mām evaiṣhyasyasanśhayam"
"अभ्यासयोगयुक्तेन चेतसा नान्यगामिना |
परमं पुरुषं दिव्यं याति पार्थानुचिन्तयन् || 8||","abhyāsa-yoga-yuktena chetasā nānya-gāminā
paramaṁ puruṣhaṁ divyaṁ yāti pārthānuchintayan"
"कविं पुराणमनुशासितार
मणोरणीयांसमनुस्मरेद्य: |
सर्वस्य धातारमचिन्त्यरूप
मादित्यवर्णं तमस: परस्तात् || 9||","kaviṁ purāṇam anuśhāsitāram
aṇor aṇīyānsam anusmared yaḥ
sarvasya dhātāram achintya-rūpam
āditya-varṇaṁ tamasaḥ parastāt"
"प्रयाणकाले मनसाचलेन
भक्त्या युक्तो योगबलेन चैव |
भ्रुवोर्मध्ये प्राणमावेश्य सम्यक्
स तं परं पुरुषमुपैति दिव्यम् || 10||","prayāṇa-kāle manasāchalena
bhaktyā yukto yoga-balena chaiva
bhruvor madhye prāṇam āveśhya samyak
sa taṁ paraṁ puruṣham upaiti divyam"
"यदक्षरं वेदविदो वदन्ति
विशन्ति यद्यतयो वीतरागा: |
यदिच्छन्तो ब्रह्मचर्यं चरन्ति
तत्ते पदं संग्रहेण प्रवक्ष्ये || 11||","yad akṣharaṁ veda-vido vadanti
viśhanti yad yatayo vīta-rāgāḥ
yad ichchhanto brahmacharyaṁ charanti
tat te padaṁ saṅgraheṇa pravakṣhye"
"सर्वद्वाराणि संयम्य मनो हृदि निरुध्य च |
मूर्ध्न्याधायात्मन: प्राणमास्थितो योगधारणाम् || 12||","sarva-dvārāṇi sanyamya mano hṛidi nirudhya cha
mūrdhnyādhāyātmanaḥ prāṇam āsthito yoga-dhāraṇām"
"ओमित्येकाक्षरं ब्रह्म व्याहरन्मामनुस्मरन् |
य: प्रयाति त्यजन्देहं स याति परमां गतिम् || 13||","oṁ ityekākṣharaṁ brahma vyāharan mām anusmaran
yaḥ prayāti tyajan dehaṁ sa yāti paramāṁ gatim"
"अनन्यचेता: सततं यो मां स्मरति नित्यश: |
तस्याहं सुलभ: पार्थ नित्ययुक्तस्य योगिन: || 14||","ananya-chetāḥ satataṁ yo māṁ smarati nityaśhaḥ
tasyāhaṁ sulabhaḥ pārtha nitya-yuktasya yoginaḥ"
"मामुपेत्य पुनर्जन्म दु:खालयमशाश्वतम् |
नाप्नुवन्ति महात्मान: संसिद्धिं परमां गता: || 15||","mām upetya punar janma duḥkhālayam aśhāśhvatam
nāpnuvanti mahātmānaḥ sansiddhiṁ paramāṁ gatāḥ"
"आब्रह्मभुवनाल्लोका: पुनरावर्तिनोऽर्जुन |
मामुपेत्य तु कौन्तेय पुनर्जन्म न विद्यते || 16||","ā-brahma-bhuvanāl lokāḥ punar āvartino ’rjuna
mām upetya tu kaunteya punar janma na vidyate"
"सहस्रयुगपर्यन्तमहर्यद्ब्रह्मणो विदु: |
रात्रिं युगसहस्रान्तां तेऽहोरात्रविदो जना: || 17||","sahasra-yuga-paryantam ahar yad brahmaṇo viduḥ
rātriṁ yuga-sahasrāntāṁ te ’ho-rātra-vido janāḥ"
