Sanskrit{hide},Transliteration{hide}
"अर्जुन उवाच |
प्रकृतिं पुरुषं चैव क्षेत्रं क्षेत्रज्ञमेव च |
एतद्वेदितुमिच्छामि ज्ञानं ज्ञेयं च केशव || 1||* 1","arjuna uvācha
prakṛitiṁ puruṣhaṁ chaiva kṣhetraṁ kṣhetra-jñam eva cha
etad veditum ichchhāmi jñānaṁ jñeyaṁ cha keśhava"
"श्रीभगवानुवाच |
इदं शरीरं कौन्तेय क्षेत्रमित्यभिधीयते |
एतद्यो वेत्ति तं प्राहु: क्षेत्रज्ञ इति तद्विद: || 2||","śhrī-bhagavān uvācha
idaṁ śharīraṁ kaunteya kṣhetram ity abhidhīyate
etad yo vetti taṁ prāhuḥ kṣhetra-jña iti tad-vidaḥ"
"क्षेत्रज्ञं चापि मां विद्धि सर्वक्षेत्रेषु भारत |
क्षेत्रक्षेत्रज्ञयोर्ज्ञानं यत्तज्ज्ञानं मतं मम || 3||","kṣhetra-jñaṁ chāpi māṁ viddhi sarva-kṣhetreṣhu bhārata
kṣhetra-kṣhetrajñayor jñānaṁ yat taj jñānaṁ mataṁ mama"
"तत्क्षेत्रं यच्च यादृक्च यद्विकारि यतश्च यत् |
स च यो यत्प्रभावश्च तत्समासेन मे शृणु || 4||","tat kṣhetraṁ yach cha yādṛik cha yad-vikāri yataśh cha yat
sa cha yo yat-prabhāvaśh cha tat samāsena me śhṛiṇu"
"ऋषिभिर्बहुधा गीतं छन्दोभिर्विविधै: पृथक् |
ब्रह्मसूत्रपदैश्चैव हेतुमद्भिर्विनिश्चितै: || 5 ||","ṛiṣhibhir bahudhā gītaṁ chhandobhir vividhaiḥ pṛithak
brahma-sūtra-padaiśh chaiva hetumadbhir viniśhchitaiḥ"
"महाभूतान्यङ्ककारो बुद्धिरव्यक्त मेव च |
इन्द्रियाणि दशैकं च पञ्च चेन्द्रियगोचरा: || 6||","mahā-bhūtāny ahankāro buddhir avyaktam eva cha
indriyāṇi daśhaikaṁ cha pañcha chendriya-gocharāḥ"
"इच्छा द्वेष: सुखं दु:खं सङ्घातश्चेतना धृति: |
एतत्क्षेत्रं समासेन सविकारमुदाहृतम् || 7||","ichchhā dveṣhaḥ sukhaṁ duḥkhaṁ saṅghātaśh chetanā dhṛitiḥ
etat kṣhetraṁ samāsena sa-vikāram udāhṛitam"
"अमानित्वमदम्भित्वमहिंसा क्षान्तिरार्जवम् |
आचार्योपासनं शौचं स्थैर्यमात्मविनिग्रह: || 8||","amānitvam adambhitvam ahinsā kṣhāntir ārjavam
āchāryopāsanaṁ śhauchaṁ sthairyam ātma-vinigrahaḥ"
"इन्द्रियार्थेषु वैराग्यमनहङ्कार एव च |
जन्ममृत्युजराव्याधिदु:खदोषानुदर्शनम् || 9||","indriyārtheṣhu vairāgyam anahankāra eva cha
janma-mṛityu-jarā-vyādhi-duḥkha-doṣhānudarśhanam"
"असक्तिरनभिष्वङ्ग: पुत्रदारगृहादिषु |
नित्यं च समचित्तत्वमिष्टानिष्टोपपत्तिषु || 10||","asaktir anabhiṣhvaṅgaḥ putra-dāra-gṛihādiṣhu
nityaṁ cha sama-chittatvam iṣhṭāniṣhṭopapattiṣhu"
"मयि चानन्ययोगेन भक्तिरव्यभिचारिणी |
विविक्तदेशसेवित्वमरतिर्जनसंसदि || 11||","mayi chānanya-yogena bhaktir avyabhichāriṇī
vivikta-deśha-sevitvam aratir jana-sansadi"
"अध्यात्मज्ञाननित्यत्वं तत्वज्ञानार्थदर्शनम् |
एतज्ज्ञानमिति प्रोक्तमज्ञानं यदतोऽन्यथा || 12||","adhyātma-jñāna-nityatvaṁ tattva-jñānārtha-darśhanam
etaj jñānam iti proktam ajñānaṁ yad ato ’nyathā"
"ज्ञेयं यत्तत्प्रवक्ष्यामि यज्ज्ञात्वामृतमश्रुते |
अनादिमत्परं ब्रह्म न सत्तन्नासदुच्यते || 13||","jñeyaṁ yat tat pravakṣhyāmi yaj jñātvāmṛitam aśhnute
anādi mat-paraṁ brahma na sat tan nāsad uchyate"
"सर्वत: पाणिपादं तत्सर्वतोऽक्षिशिरोमुखम् |
सर्वत: श्रुतिमल्लोके सर्वमावृत्य तिष्ठति || 14||","sarvataḥ pāṇi-pādaṁ tat sarvato ’kṣhi-śhiro-mukham
sarvataḥ śhrutimal loke sarvam āvṛitya tiṣhṭhati"
"सर्वेन्द्रियगुणाभासं सर्वेन्द्रियविवर्जितम् |
असक्तं सर्वभृच्चैव निर्गुणं गुणभोक्तृ च || 15||","sarvendriya-guṇābhāsaṁ sarvendriya-vivarjitam
asaktaṁ sarva-bhṛich chaiva nirguṇaṁ guṇa-bhoktṛi cha"
"बहिरन्तश्च भूतानामचरं चरमेव च |
सूक्ष्मत्वात्तदविज्ञेयं दूरस्थं चान्तिके च तत् || 16||","bahir antaśh cha bhūtānām acharaṁ charam eva cha
sūkṣhmatvāt tad avijñeyaṁ dūra-sthaṁ chāntike cha tat"
"अविभक्तं च भूतेषु विभक्तमिव च स्थितम् |
भूतभर्तृ च तज्ज्ञेयं ग्रसिष्णु प्रभविष्णु च || 17||","avibhaktaṁ cha bhūteṣhu vibhaktam iva cha sthitam
bhūta-bhartṛi cha taj jñeyaṁ grasiṣhṇu prabhaviṣhṇu cha"
"ज्योतिषामपि तज्ज्योतिस्तमस: परमुच्यते |
ज्ञानं ज्ञेयं ज्ञानगम्यं हृदि सर्वस्य विष्ठितम् || 18||","jyotiṣhām api taj jyotis tamasaḥ param uchyate
jñānaṁ jñeyaṁ jñāna-gamyaṁ hṛidi sarvasya viṣhṭhitam"
