Sanskrit{hide},Transliteration{hide}
"श्रीभगवानुवाच |
भूय एव महाबाहो शृणु मे परमं वच: |
यत्तेऽहं प्रीयमाणाय वक्ष्यामि हितकाम्यया || 1||","śhrī bhagavān uvācha
bhūya eva mahā-bāho śhṛiṇu me paramaṁ vachaḥ
yatte ’haṁ prīyamāṇāya vakṣhyāmi hita-kāmyayā"
"न मे विदु: सुरगणा: प्रभवं न महर्षय: |
अहमादिर्हि देवानां महर्षीणां च सर्वश: || 2||","na me viduḥ sura-gaṇāḥ prabhavaṁ na maharṣhayaḥ
aham ādir hi devānāṁ maharṣhīṇāṁ cha sarvaśhaḥ"
"यो मामजमनादिं च वेत्ति लोकमहेश्वरम् |
असम्मूढ: स मर्त्येषु सर्वपापै: प्रमुच्यते || 3||","yo māmajam anādiṁ cha vetti loka-maheśhvaram
asammūḍhaḥ sa martyeṣhu sarva-pāpaiḥ pramuchyate"
"बुद्धिर्ज्ञानमसम्मोह: क्षमा सत्यं दम: शम: |
सुखं दु:खं भवोऽभावो भयं चाभयमेव च || 4||","buddhir jñānam asammohaḥ kṣhamā satyaṁ damaḥ śhamaḥ
sukhaṁ duḥkhaṁ bhavo ’bhāvo bhayaṁ chābhayameva cha"
"अहिंसा समता तुष्टिस्तपो दानं यशोऽयश: |
भवन्ति भावा भूतानां मत्त एव पृथग्विधा: || 5||","ahinsā samatā tuṣhṭis tapo dānaṁ yaśho ’yaśhaḥ
bhavanti bhāvā bhūtānāṁ matta eva pṛithag-vidhāḥ"
"महर्षय: सप्त पूर्वे चत्वारो मनवस्तथा |
मद्भावा मानसा जाता येषां लोक इमा: प्रजा: || 6||","maharṣhayaḥ sapta pūrve chatvāro manavas tathā
mad-bhāvā mānasā jātā yeṣhāṁ loka imāḥ prajāḥ"
"एतां विभूतिं योगं च मम यो वेत्ति तत्त्वत: |
सोऽविकम्पेन योगेन युज्यते नात्र संशय: || 7||","etāṁ vibhūtiṁ yogaṁ cha mama yo vetti tattvataḥ
so ’vikampena yogena yujyate nātra sanśhayaḥ"
"अहं सर्वस्य प्रभवो मत्त: सर्वं प्रवर्तते |
इति मत्वा भजन्ते मां बुधा भावसमन्विता: || 8||","ahaṁ sarvasya prabhavo mattaḥ sarvaṁ pravartate
iti matvā bhajante māṁ budhā bhāva-samanvitāḥ"
"मच्चित्ता मद्गतप्राणा बोधयन्त: परस्परम् |
कथयन्तश्च मां नित्यं तुष्यन्ति च रमन्ति च || 9||","mach-chittā mad-gata-prāṇā bodhayantaḥ parasparam
kathayantaśh cha māṁ nityaṁ tuṣhyanti cha ramanti cha"
"तेषां सततयुक्तानां भजतां प्रीतिपूर्वकम् |
ददामि बुद्धियोगं तं येन मामुपयान्ति ते || 10||","teṣhāṁ satata-yuktānāṁ bhajatāṁ prīti-pūrvakam
dadāmi buddhi-yogaṁ taṁ yena mām upayānti te"
