Sanskrit{hide},Transliteration{hide}
"श्रीभगवानुवाच |
परं भूय: प्रवक्ष्यामि ज्ञानानां ज्ञानमुत्तमम् |
यज्ज्ञात्वा मुनय: सर्वे परां सिद्धिमितो गता: || 1||","śhrī-bhagavān uvācha
paraṁ bhūyaḥ pravakṣhyāmi jñānānāṁ jñānam uttamam
yaj jñātvā munayaḥ sarve parāṁ siddhim ito gatāḥ"
"इदं ज्ञानमुपाश्रित्य मम साधर्म्यमागता: |
सर्गेऽपि नोपजायन्ते प्रलये न व्यथन्ति च || 2||","idaṁ jñānam upāśhritya mama sādharmyam āgatāḥ
sarge ’pi nopajāyante pralaye na vyathanti cha"
"मम योनिर्महद् ब्रह्म तस्मिन्गर्भं दधाम्यहम् |
सम्भव: सर्वभूतानां ततो भवति भारत || 3||","mama yonir mahad brahma tasmin garbhaṁ dadhāmy aham
sambhavaḥ sarva-bhūtānāṁ tato bhavati bhārata"
"सर्वयोनिषु कौन्तेय मूर्तय: सम्भवन्ति या: |
तासां ब्रह्म महद्योनिरहं बीजप्रद: पिता || 4||","sarva-yoniṣhu kaunteya mūrtayaḥ sambhavanti yāḥ
tāsāṁ brahma mahad yonir ahaṁ bīja-pradaḥ pitā"
"सत्त्वं रजस्तम इति गुणा: प्रकृतिसम्भवा: |
निबध्नन्ति महाबाहो देहे देहिनमव्ययम् || 5||","sattvaṁ rajas tama iti guṇāḥ prakṛiti-sambhavāḥ
nibadhnanti mahā-bāho dehe dehinam avyayam"
"तत्र सत्त्वं निर्मलत्वात्प्रकाशकमनामयम् |
सुखसङ्गेन बध्नाति ज्ञानसङ्गेन चानघ || 6||","tatra sattvaṁ nirmalatvāt prakāśhakam anāmayam
sukha-saṅgena badhnāti jñāna-saṅgena chānagha"
"रजो रागात्मकं विद्धि तृष्णासङ्गसमुद्भवम् |
तन्निबध्नाति कौन्तेय कर्मसङ्गेन देहिनम् || 7||","rajo rāgātmakaṁ viddhi tṛiṣhṇā-saṅga-samudbhavam
tan nibadhnāti kaunteya karma-saṅgena dehinam"
"तमस्त्वज्ञानजं विद्धि मोहनं सर्वदेहिनाम् |
प्रमादालस्यनिद्राभिस्तन्निबध्नाति भारत || 8||","tamas tv ajñāna-jaṁ viddhi mohanaṁ sarva-dehinām
pramādālasya-nidrābhis tan nibadhnāti bhārata"
"सत्त्वं सुखे सञ्जयति रज: कर्मणि भारत |
ज्ञानमावृत्य तु तम: प्रमादे सञ्जयत्युत || 9||","sattvaṁ sukhe sañjayati rajaḥ karmaṇi bhārata
jñānam āvṛitya tu tamaḥ pramāde sañjayaty uta"
"रजस्तमश्चाभिभूय सत्त्वं भवति भारत |
रज: सत्त्वं तमश्चैव तम: सत्त्वं रजस्तथा || 10||","rajas tamaśh chābhibhūya sattvaṁ bhavati bhārata
rajaḥ sattvaṁ tamaśh chaiva tamaḥ sattvaṁ rajas tathā"
"सर्वद्वारेषु देहेऽस्मिन्प्रकाश उपजायते |
ज्ञानं यदा तदा विद्याद्विवृद्धं सत्त्वमित्युत || 11||","sarva-dvāreṣhu dehe ’smin prakāśha upajāyate
jñānaṁ yadā tadā vidyād vivṛiddhaṁ sattvam ity uta"
"लोभ: प्रवृत्तिरारम्भ: कर्मणामशम: स्पृहा |
रजस्येतानि जायन्ते विवृद्धे भरतर्षभ || 12||","lobhaḥ pravṛittir ārambhaḥ karmaṇām aśhamaḥ spṛihā
rajasy etāni jāyante vivṛiddhe bharatarṣhabha"
"अप्रकाशोऽप्रवृत्तिश्च प्रमादो मोह एव च |
तमस्येतानि जायन्ते विवृद्धे कुरुनन्दन || 13||","aprakāśho ’pravṛittiśh cha pramādo moha eva cha
tamasy etāni jāyante vivṛiddhe kuru-nandana"
"यदा सत्त्वे प्रवृद्धे तु प्रलयं याति देहभृत् |
तदोत्तमविदां लोकानमलान्प्रतिपद्यते || 14||","yadā sattve pravṛiddhe tu pralayaṁ yāti deha-bhṛit
tadottama-vidāṁ lokān amalān pratipadyate"
"रजसि प्रलयं गत्वा कर्मसङ्गिषु जायते |
तथा प्रलीनस्तमसि मूढयोनिषु जायते || 15||","rajasi pralayaṁ gatvā karma-saṅgiṣhu jāyate
tathā pralīnas tamasi mūḍha-yoniṣhu jāyate"
"कर्मण: सुकृतस्याहु: सात्त्विकं निर्मलं फलम् |
रजसस्तु फलं दु:खमज्ञानं तमस: फलम् || 16||","karmaṇaḥ sukṛitasyāhuḥ sāttvikaṁ nirmalaṁ phalam
rajasas tu phalaṁ duḥkham ajñānaṁ tamasaḥ phalam"
"सत्त्वात्सञ्जायते ज्ञानं रजसो लोभ एव च |
प्रमादमोहौ तमसो भवतोऽज्ञानमेव च || 17||","sattvāt sañjāyate jñānaṁ rajaso lobha eva cha
pramāda-mohau tamaso bhavato ’jñānam eva cha"
"ऊर्ध्वं गच्छन्ति सत्त्वस्था मध्ये तिष्ठन्ति राजसा: |
जघन्यगुणवृत्तिस्था अधो गच्छन्ति तामसा: || 18||","ūrdhvaṁ gachchhanti sattva-sthā madhye tiṣhṭhanti rājasāḥ
jaghanya-guṇa-vṛitti-sthā adho gachchhanti tāmasāḥ"
"नान्यं गुणेभ्य: कर्तारं यदा द्रष्टानुपश्यति |
गुणेभ्यश्च परं वेत्ति मद्भावं सोऽधिगच्छति || 19||","nānyaṁ guṇebhyaḥ kartāraṁ yadā draṣhṭānupaśhyati
guṇebhyaśh cha paraṁ vetti mad-bhāvaṁ so ’dhigachchhati"
"गुणानेतानतीत्य त्रीन्देही देहसमुद्भवान् |
जन्ममृत्युजरादु:खैर्विमुक्तोऽमृतमश्रुते || 20||","guṇān etān atītya trīn dehī deha-samudbhavān
janma-mṛityu-jarā-duḥkhair vimukto ’mṛitam aśhnute"
"अर्जुन उवाच |
कैर्लिङ्गैस्त्रीन्गुणानेतानतीतो भवति प्रभो |
किमाचार: कथं चैतांस्त्रीन्गुणानतिवर्तते || 21||","arjuna uvācha
kair liṅgais trīn guṇān etān atīto bhavati prabho
kim āchāraḥ kathaṁ chaitāns trīn guṇān ativartate"
"श्रीभगवानुवाच |
प्रकाशं च प्रवृत्तिं च मोहमेव च पाण्डव |
न द्वेष्टि सम्प्रवृत्तानि न निवृत्तानि काङ् क्षति || 22||","śhrī-bhagavān uvācha
prakāśhaṁ cha pravṛittiṁ cha moham eva cha pāṇḍava
na dveṣhṭi sampravṛittāni na nivṛittāni kāṅkṣhati"
"उदासीनवदासीनो गुणैर्यो न विचाल्यते |
गुणा वर्तन्त इत्येवं योऽवतिष्ठति नेङ्गते || 23||","udāsīna-vad āsīno guṇair yo na vichālyate
guṇā vartanta ity evaṁ yo ’vatiṣhṭhati neṅgate"
