Sanskrit{hide},Transliteration{hide}
"श्रीभगवानुवाच |
इमं विवस्वते योगं प्रोक्तवानहमव्ययम् |
विवस्वान्मनवे प्राह मनुरिक्ष्वाकवेऽब्रवीत् || 1||","śhrī bhagavān uvācha
imaṁ vivasvate yogaṁ proktavān aham avyayam
vivasvān manave prāha manur ikṣhvākave ’bravīt"
"एवं परम्पराप्राप्तमिमं राजर्षयो विदु: |
स कालेनेह महता योगो नष्ट: परन्तप || 2||","evaṁ paramparā-prāptam imaṁ rājarṣhayo viduḥ
sa kāleneha mahatā yogo naṣhṭaḥ parantapa"
"स एवायं मया तेऽद्य योग: प्रोक्त: पुरातन: |
भक्तोऽसि मे सखा चेति रहस्यं ह्येतदुत्तमम् || 3||","sa evāyaṁ mayā te ’dya yogaḥ proktaḥ purātanaḥ
bhakto ’si me sakhā cheti rahasyaṁ hyetad uttamam"
"अर्जुन उवाच |
अपरं भवतो जन्म परं जन्म विवस्वत: |
कथमेतद्विजानीयां त्वमादौ प्रोक्तवानिति || 4||","arjuna uvācha
aparaṁ bhavato janma paraṁ janma vivasvataḥ
katham etad vijānīyāṁ tvam ādau proktavān iti"
"श्रीभगवानुवाच |
बहूनि मे व्यतीतानि जन्मानि तव चार्जुन |
तान्यहं वेद सर्वाणि न त्वं वेत्थ परन्तप || 5||","śhrī bhagavān uvācha
bahūni me vyatītāni janmāni tava chārjuna
tānyahaṁ veda sarvāṇi na tvaṁ vettha parantapa"
"अजोऽपि सन्नव्ययात्मा भूतानामीश्वरोऽपि सन् |
प्रकृतिं स्वामधिष्ठाय सम्भवाम्यात्ममायया || 6||","ajo ’pi sannavyayātmā bhūtānām īśhvaro ’pi san
prakṛitiṁ svām adhiṣhṭhāya sambhavāmyātma-māyayā"
"यदा यदा हि धर्मस्य ग्लानिर्भवति भारत |
अभ्युत्थानमधर्मस्य तदात्मानं सृजाम्यहम् || 7||","yadā yadā hi dharmasya glānir bhavati bhārata
abhyutthānam adharmasya tadātmānaṁ sṛijāmyaham"
"परित्राणाय साधूनां विनाशाय च दुष्कृताम् |
धर्मसंस्थापनार्थाय सम्भवामि युगे युगे || 8||","paritrāṇāya sādhūnāṁ vināśhāya cha duṣhkṛitām
dharma-sansthāpanārthāya sambhavāmi yuge yuge"
"जन्म कर्म च मे दिव्यमेवं यो वेत्ति तत्त्वत: |
त्यक्त्वा देहं पुनर्जन्म नैति मामेति सोऽर्जुन || 9||","janma karma cha me divyam evaṁ yo vetti tattvataḥ
tyaktvā dehaṁ punar janma naiti mām eti so ’rjuna"
"वीतरागभयक्रोधा मन्मया मामुपाश्रिता: |
बहवो ज्ञानतपसा पूता मद्भावमागता: || 10||","vīta-rāga-bhaya-krodhā man-mayā mām upāśhritāḥ
bahavo jñāna-tapasā pūtā mad-bhāvam āgatāḥ"
"ये यथा मां प्रपद्यन्ते तांस्तथैव भजाम्यहम् |
मम वर्त्मानुवर्तन्ते मनुष्या: पार्थ सर्वश: || 11||","ye yathā māṁ prapadyante tāns tathaiva bhajāmyaham
mama vartmānuvartante manuṣhyāḥ pārtha sarvaśhaḥ"
"काङ् क्षन्त: कर्मणां सिद्धिं यजन्त इह देवता: |
क्षिप्रं हि मानुषे लोके सिद्धिर्भवति कर्मजा || 12||","kāṅkṣhantaḥ karmaṇāṁ siddhiṁ yajanta iha devatāḥ
kṣhipraṁ hi mānuṣhe loke siddhir bhavati karmajā"
"चातुर्वर्ण्यं मया सृष्टं गुणकर्मविभागश: |
तस्य कर्तारमपि मां विद्ध्यकर्तारमव्ययम् || 13||","chātur-varṇyaṁ mayā sṛiṣhṭaṁ guṇa-karma-vibhāgaśhaḥ
tasya kartāram api māṁ viddhyakartāram avyayam"
"न मां कर्माणि लिम्पन्ति न मे कर्मफले स्पृहा |
इति मां योऽभिजानाति कर्मभिर्न स बध्यते || 14||","na māṁ karmāṇi limpanti na me karma-phale spṛihā
iti māṁ yo ’bhijānāti karmabhir na sa badhyate"
"एवं ज्ञात्वा कृतं कर्म पूर्वैरपि मुमुक्षुभि: |
कुरु कर्मैव तस्मात्त्वं पूर्वै: पूर्वतरं कृतम् || 15||","evaṁ jñātvā kṛitaṁ karma pūrvair api mumukṣhubhiḥ
kuru karmaiva tasmāttvaṁ pūrvaiḥ pūrvataraṁ kṛitam"
"किं कर्म किमकर्मेति कवयोऽप्यत्र मोहिता: |
तत्ते कर्म प्रवक्ष्यामि यज्ज्ञात्वा मोक्ष्यसेऽशुभात् || 16||","kiṁ karma kim akarmeti kavayo ’pyatra mohitāḥ
tat te karma pravakṣhyāmi yaj jñātvā mokṣhyase ’śhubhāt"
