Sanskrit{hide},Transliteration{hide}
"श्रीभगवानुवाच |
अभयं सत्त्वसंशुद्धिर्ज्ञानयोगव्यवस्थिति: |
दानं दमश्च यज्ञश्च स्वाध्यायस्तप आर्जवम् || 1||","śhrī-bhagavān uvācha
abhayaṁ sattva-sanśhuddhir jñāna-yoga-vyavasthitiḥ
dānaṁ damaśh cha yajñaśh cha svādhyāyas tapa ārjavam"
"अहिंसा सत्यमक्रोधस्त्याग: शान्तिरपैशुनम् |
दया भूतेष्वलोलुप्त्वं मार्दवं ह्रीरचापलम् || 2||","ahinsā satyam akrodhas tyāgaḥ śhāntir apaiśhunam
dayā bhūteṣhv aloluptvaṁ mārdavaṁ hrīr achāpalam"
"तेज: क्षमा धृति: शौचमद्रोहोनातिमानिता |
भवन्ति सम्पदं दैवीमभिजातस्य भारत || 3||","tejaḥ kṣhamā dhṛitiḥ śhaucham adroho nāti-mānitā
bhavanti sampadaṁ daivīm abhijātasya bhārata"
"दम्भो दर्पोऽभिमानश्च क्रोध: पारुष्यमेव च |
अज्ञानं चाभिजातस्य पार्थ सम्पदमासुरीम् || 4||","dambho darpo ’bhimānaśh cha krodhaḥ pāruṣhyam eva cha
ajñānaṁ chābhijātasya pārtha sampadam āsurīm"
"दैवी सम्पद्विमोक्षाय निबन्धायासुरी मता |
मा शुच: सम्पदं दैवीमभिजातोऽसि पाण्डव || 5||","daivī sampad vimokṣhāya nibandhāyāsurī matā
mā śhuchaḥ sampadaṁ daivīm abhijāto ’si pāṇḍava"
"द्वौ भूतसर्गौ लोकेऽस्मिन्दैव आसुर एव च |
दैवो विस्तरश: प्रोक्त आसुरं पार्थ मे शृणु || 6||","dvau bhūta-sargau loke ’smin daiva āsura eva cha
daivo vistaraśhaḥ prokta āsuraṁ pārtha me śhṛiṇu"
"प्रवृत्तिं च निवृत्तिं च जना न विदुरासुरा: |
न शौचं नापि चाचारो न सत्यं तेषु विद्यते || 7||","pravṛittiṁ cha nivṛittiṁ cha janā na vidur āsurāḥ
na śhauchaṁ nāpi chāchāro na satyaṁ teṣhu vidyate"
"असत्यमप्रतिष्ठं ते जगदाहुरनीश्वरम् |
अपरस्परसम्भूतं किमन्यत्कामहैतुकम् || 8||","asatyam apratiṣhṭhaṁ te jagad āhur anīśhvaram
aparaspara-sambhūtaṁ kim anyat kāma-haitukam"
"एतां दृष्टिमवष्टभ्य नष्टात्मानोऽल्पबुद्धय: |
प्रभवन्त्युग्रकर्माण: क्षयाय जगतोऽहिता: || 9||","etāṁ dṛiṣhṭim avaṣhṭabhya naṣhṭātmāno ’lpa-buddhayaḥ
prabhavanty ugra-karmāṇaḥ kṣhayāya jagato ’hitāḥ"
"काममाश्रित्य दुष्पूरं दम्भमानमदान्विता: |
मोहाद्गृहीत्वासद्ग्राहान्प्रवर्तन्तेऽशुचिव्रता: || 10||","kāmam āśhritya duṣhpūraṁ dambha-māna-madānvitāḥ
mohād gṛihītvāsad-grāhān pravartante ’śhuchi-vratāḥ"
"चिन्तामपरिमेयां च प्रलयान्तामुपाश्रिता: |
कामोपभोगपरमा एतावदिति निश्चिता: || 11||","chintām aparimeyāṁ cha pralayāntām upāśhritāḥ
kāmopabhoga-paramā etāvad iti niśhchitāḥ"
"आशापाशशतैर्बद्धा: कामक्रोधपरायणा: |
ईहन्ते कामभोगार्थमन्यायेनार्थसञ्जयान् || 12||","āśhā-pāśha-śhatair baddhāḥ kāma-krodha-parāyaṇāḥ
īhante kāma-bhogārtham anyāyenārtha-sañchayān"
"इदमद्य मया लब्धमिमं प्राप्स्ये मनोरथम् |
इदमस्तीदमपि मे भविष्यति पुनर्धनम् || 13||","idam adya mayā labdham imaṁ prāpsye manoratham
idam astīdam api me bhaviṣhyati punar dhanam"
"असौ मया हत: शत्रुर्हनिष्ये चापरानपि |
ईश्वरोऽहमहं भोगी सिद्धोऽहं बलवान्सुखी || 14||","asau mayā hataḥ śhatrur haniṣhye chāparān api
īśhvaro ’ham ahaṁ bhogī siddho ’haṁ balavān sukhī"
"आढ्योऽभिजनवानस्मि कोऽन्योऽस्ति सदृशो मया |
यक्ष्ये दास्यामि मोदिष्य इत्यज्ञानविमोहिता: || 15||","āḍhyo ’bhijanavān asmi ko ’nyo ’sti sadṛiśho mayā
yakṣhye dāsyāmi modiṣhya ity ajñāna-vimohitāḥ"
"अनेकचित्तविभ्रान्ता मोहजालसमावृता: |
प्रसक्ता: कामभोगेषु पतन्ति नरकेऽशुचौ || 16||","aneka-chitta-vibhrāntā moha-jāla-samāvṛitāḥ
prasaktāḥ kāma-bhogeṣhu patanti narake ’śhuchau"
"आत्मसम्भाविता: स्तब्धा धनमानमदान्विता: |
यजन्ते नामयज्ञैस्ते दम्भेनाविधिपूर्वकम् || 17||","ātma-sambhāvitāḥ stabdhā dhana-māna-madānvitāḥ
yajante nāma-yajñais te dambhenāvidhi-pūrvakam"
"अहङ्कारं बलं दर्पं कामं क्रोधं च संश्रिता: |
मामात्मपरदेहेषु प्रद्विषन्तोऽभ्यसूयका: || 18||","ahankāraṁ balaṁ darpaṁ kāmaṁ krodhaṁ cha sanśhritāḥ
mām ātma-para-deheṣhu pradviṣhanto ’bhyasūyakāḥ"
"तानहं द्विषत: क्रूरान्संसारेषु नराधमान् |
क्षिपाम्यजस्रमशुभानासुरीष्वेव योनिषु || 19||","tān ahaṁ dviṣhataḥ krūrān sansāreṣhu narādhamān
kṣhipāmy ajasram aśhubhān āsurīṣhv eva yoniṣhu"
