Verse Number,Translation,Commentary
1,abhayam satvasamshuddhirjnanayogavyavasthitih danam damashcha yajnashcha svadyhyayantapa arjavam,"[Commentary:]2) If there is no envy/aggression, desire does not remain - if one does not reside in the par avastha of Kriya, desire is not destroyed - all of the things that you are seeing - absolutely all are false, because you are seeing verily everything; in the par avastha of Kriya, nothing at all can be seen - therefore, Truth is that Brahman; in the par avastha of Kriya, this type of feeling: I exist - is not felt; when oneself is not, then the other is also not; in what way can anger remain and for whom?  In the par avastha of Kriya, no desire for sense objects remain; therefore if there is no desire itself, then what of its fruits?  In the par avastha of Kriya - neither am I anything, nor is anything mine - I myself am not; with whom will I do malice - I will be immersed in joy, and I will let others be immersed in joy - this is what is called mercy.  There is no other thing besides Brahman - in what shall I have greed - trumped above the words of everyone - wisdom words soaked and heavy - meaning words and wisdom of value which should be applied - does not come out of the mouth of anyone at all, that which happens in the par avastha of Kriya - then, no restlessness remains."
2,ahimsa satyamakrodhantyagah shantirapaishunam daya bhutesvaloluptam mardavam hrirachapalam,"[Commentary:]3) Power - meaning the power of mind, by which all is seen and done - not paying attention to any sense objects, bestows mercy - remains Tranquil in OneSelf; always resides in Brahman - does not knowingly cause harm to others - does not have lust for great honor; what little [honor] there is, is natural and appropriate - all these - continuously abiding in the par avastha of Kriya, residing always in Brahman, all of these states of being are attained equally.  This is what is known as “daivi sampad” [Divine Qualities/Possessions]."
3,tejah kshama dhritih shouchamadroho natimanita bhavanti sampadam daivimabhijatasya bharata,"[Commentary:]4) Internally boasting as one of high caste/class - going about puffing out one’s chest [throwing around one’s weight] because one has strength - praying for more honor than what is natural and appropriate - remaining angry all the time - saying cruel words - and not abiding in Atman - meaning not performing Kriya - these are all “asuri sampad” [demonic qualities/possessions] - meaning, those who do not perform Kriya - for them, this type of character and behavior happen automatically."
4,dambhodarpohbhimanashcha krodhah parushyameva cha ajnanam chabhijatasya partha sampadamasurim,"[Commentary:]5) Daivi sampad, about which I have spoken above - these are especially of liberation, upon abiding in the par avastha of Kriya; and the demonic mode of being - meaning, the suffocating bondage because of not performing Kriya - putting attachment-filled attention on other things, one becomes owned by those things."
5,daivi sampadvimokshaya nibandhayasuri mata ma shuchah sampadam daivimabhijatohsi pandava,"[Commentary:]6) Two types of people, one divine, one demonic - I have spoken much about the subject of the divine person; now I am speaking about those who do not perform Kriya and who keep their minds on other things."
6,dvou bhutasargou lokesmindaiva asura eva cha daivo vistarahah prokta asuram partha me shrinu,"[Commentary:]7) Thinking one time “I will do” and then again thinking “I will not do” - those who do not perform this Kriya, they get these kinds of feelings - they do not remain in Brahman - meaning, there is no certainty in any matter - do not remain in any one character of behavior - lying only, cannot speak the truth - Truth is not with them at all."
7,pravrittim cha nivrittim cha jana na vidurasurah na shoucham napi chacharo na satyam teshu vidyate,"[Commentary:]8) It is falsehood that they have set upon [established] - in this world, they say that there is no one as God; it has happened on its own - their minds are comparable to prostitutes, and there is nothing else."
8,asatyamapratishtham te jagadahuranishvaram aparasparasmbhutamkimanyat kamahetukam,"[Commentary:]9) Keeping attention in this way - those who do not themselves abide in the Self - meaning, do not perform Kriya - they cannot keep their intellect steadfast on anything - despicable deeds, killing etc. - for this reason the world is destroyed - that which causes malice to others - that they do."
9,etam drishtimavashtabhya nashtatmanohlpabuddhayah prabhavantyugrakarmanah kshayaya jagatohhitah,"[Commentary:]10) Having sexual intercourse is what is good - they boast about this itself - chest puffed up with delusion, do not take up the things of Truth - meaning, they have totally eradicated Truth.  The things other than Brahman - they are engaged [involved] with those very things - OM OM."
10,kamamashritya dushpuram dambhamanamadanvitah mohadgrihitvasadgrahan pravartantehshuchivratah,"[Commentary:]11) There is no end to worry - the type of thought at the time of the Great Dissolution, that type - they know eating and having sexual intercourse - nothing else at all is good, this is certain."
11,chintamaparimeyam cha pralayantamupashritah kamopabhogaparama etavaditi nishchitah,"[Commentary:]12) Bound by many types of hopes - they earn money through hundreds and hundreds of wrongdoings - meaning, they even kill someone and take money - locked in only lust and anger - taking that money, they have sexual intercourse and eat."
12,ashapashashatairbaddhah kamakrodhaparayanah ihante kamabhogarthamanyaenarthasanchayan,"[Commentary:]13) Today, I got 25 [rupee or other money]; I will get another 50 if I kill a person - here is now 75 - I will get another 25; won’t I get another 25?  If that happens then there will be 100."
13,idamadya maya labdhamimam prapsye manoratham idamantidamapi me bhavishyati punardhanam,"[Commentary:]14) This time I really killed the enemy - any more buggers that come, I will kill them too - I am the one who is God; I am the one who is the enjoyer; I am the one who is realized; I am the one who is mighty, happy."
14,asou maya hatah shatrurhaniye chaparanapi ishvarohahamaham bhogi siddhohham balavan sukhi,[Commentary:]15) I am greater than everyone; I have plenty of people; there is no one who can be compared to me - being deluded in this kind of ignorance.
15,adhyohbhijanavanasmi kohnyohsti sadrisho maya yakshye dasyamimodishya ityajnanavimohitah,"[Commentary:]16) Being covered by the net of delusion and all kinds of afflictions of the heart [chitta] - being addicted to lust and worldly enjoyment [bhoga] - falls and remains in hell - meaning, becomes one who is in misery."
16,anekachittavibhranta mohajalasamavritah prasaktah kamabhogeshu patanti narakehshuchou,"[Commentary:]17) Boasting about whatever one owns; lounging pridefully on a dais - does some one or other type of puja for the sake of name, without the mind being steady at all."
17,atmasambhavitah stabdha dhanamanamadanvitah yajante namayajnaiste dambhenavidhipurvakam,"[Commentary:]18) Ego, might, arrogance, lust, anger - taking recourse in these, is aggressive and envious towards other people."
18,ahamkaram balam darpam kamam krodham cha samshritah matmaparadeheshu pradvishantohbhyasuyakah,"[Commentary:]19) I throw these types of vicious people into those demonic births, those who among humans are “adham” [basest] - the “m” sound is for the jeweled Kutastha; whoever resides below that - meaning, one who does not reside in Kutastha - it is he who is “adham”!!!"
19,tanaham dvishatah kruran samsareshu naradhaman kshipamyajasramandabhanasurishveva yonishu,"[Commentary:]20) Continuing to take these types of demonic births, [that being] later becomes a lowly person."
20,asurim yonimapanna mudha janmani janmani mamaprapyaiva kaunteya tato yastyadhamam gatim,"[Commentary:]21) Lust, anger and greed - it is by staying in these three that one is not able to abide in Atman; therefore, these should be renounced [tyaga] - the meaning of “tyaga” is - being without the desire for results."
21,trividham narakasyedam dvaram nashnamatmanah kamahkrodhastatha lobhastasmadetattrayam tyajet,"[Commentary:]22) Discarding these three, abiding constantly in Atman, and performing Kriya by [according to] the teaching of Guru, one attains the Supreme Way."
22,etairvimuktah kaunteya tamodvaraistribhirnarah acharatyatmanah shreyastato yati param gatim,"[Commentary:]23) Scriptural injunctions - meaning, complete Stillness via Kriya - one who is not in this, and whatever work [that] one does with the desire for its fruits - he does not realize perfection - he does not attain happiness and the Supreme Way - the Supreme Way - meaning Stillness."
23,yah shastravidhimutsrijya vartate kamacharatah na sa siddhimavapnoti na sukham na param gatim,"[Commentary:]24) Therefore, as has been spoken about in the scriptures, becoming completely Still in the Supreme Intelligence beyond intelligence, one should do one’s dutiful work - meaning Kriya - being completely established in Stillness, which is the par avastha of Kriya.ity srimadbhagavadgitasupanishatsu brahmavidyayam yogashastre srikrishnarjunasamvade dvaivasurasampadvibhagayogonama shorashohdhyayahThus ends the Sixteenth Chapter."
