Verse Number,Translation,Commentary
1,idantu te guhyatamam pravakshyamyanusuyave jnanamvijnanasahitam yajjnatva mokshasehshubhat,"[Commentary:]2) The Royal Knowledge - secret; Great Knowledge - greatly secret; going where the mind, abiding in Brahman, becomes pure [sanctified] - fixing Kutastha in front of the eye, easy realization of dharma is happening without desire. Meaning - Kriya, which is transmitted via Guru and in wonderful ease and happiness - can be done in Kali."
2,rajavidya rajaguhyam pavitramidamuttamam pratyakshavagamam dharmyam susukham kartumavyayam,"[Commentary:]3) The person who does not abide in Brahman and does not perform this Kriya - thus does not attain me - not attaining, becoming disengaged from Atman, putting attachment-filled attention on other things, for the sake of the enjoyment of sensory objects - meaning, performing action with the craving for results and doing such business of give and take - for the fulfillment of such enjoyment, birth and death happens to him."
3,ashraddadhanah purusha dharmasyasya parantapa aprapya mam nivartante mrityusamsaravartmani,"[Commentary:]4) Then he cannot comprehend anything at all of this world - at that time, I am in all - it is in Me that they reside - I do not reside in all - meaning, they are in Me, but I am not in them.  In the way that [it is true that] all reside in Atman, for sure - but not seeing Atman, they are not in It.  Because attention is on other things - not on the breath."
4,maya tatamidam sarvam jagadavyaktamurtina matsthani sarvabhutani na chahamteshvavasthitah,"[Commentary:]5) My Form is Ishvar - looking elsewhere instead of towards Him - put your sight above this itself - so that this type of thing does not happen - meaning, do not look elsewhere - even while residing in the midst of all - in all conditions and circumstances - all phenomena are presently existing, yet not in Me - the restless mind is engaged in looking elsewhere instead of toward Atman."
5,na cha matsthani bhutani pashya me yogamaishvaram bhutabhunna cha bhutastho mamatma bhutabhavanah,"[Commentary:]6) Likened to air, I am all-pervading and I reside in all phenomena."
6,yathakashashthito nityam vayuh sarvatrago mahan tatha sarvani bhutani matsthanityupadharaya,"[Commentary:]7) All phenomena go via the eight aspects - as soon as any karma is completed, they again become engaged in other karma."
7,sarvabhutani kaunteya prakritim yanti mamikam kalpakshaye punastani kalpadou visrijamyaham,"[Commentary:]8) Caught in those aspects - again and again, meaning - desire happens - for this reason, birth and death occur again and again - but the sense organs of the five elements - those elements are bound by those sense organs - in the case of all of the sense organs - Prakriti, meaning - while residing in the body, it is extremely difficult to keep under control that which keeps the body itself completely bound - therefore, all the sense organs from that very house - they also do not remain under control - but if Kriya is performed, they do [remain under control]."
8,prakritim svamavashtabhya visrijami punah punah bhutagramamimam kritsnamavasham prakritervashat,"[Commentary:]9) All karma of Prakriti is also happening under the control held by the sense organs - but I am apart from all such karma - all such karma cannot bind Me - because I am residing in My Self Itself - sitting on top of the head - or - sitting there and not having attention in other directions like everyone else, there is no attachment to other things - I am residing in Atman Itself - thus, attached to Atman."
9,na cha mam tani karmani nibadhnanti dhananjaya udasinavadasinamasaktam teshukarmasu,"[Commentary:]10) I, with intelligence - in this body - meaning - with attention on Prakriti, am in the mobile and the immobile - thus, the world is moving in the road going in the opposite direction - the cause of such is this:  the branches and leaves are below - the root is on top of the head."
10,mayadhyakshena prakritih suyate sacharacharam hetunanena kaunteya jagadviparivartate,"[Commentary:]11) The ignorant ones have absolutely concluded that I am human, [without knowing] My Supreme Essence - meaning, without knowing the Stillness of Kriya - I am the Supreme Substance, Brahman Itself.  There is no destruction of Me and neither do I have birth!!!"
11,avajananti mam mudha manushim tanumashritam param bhavamajananto mama bhutamaheshvaram,"[Commentary:]12) He is the one who wastes action - whoever does not abide in Atman and does not witness Kutastha - seeing a very little bit, is greedy after other things - does not perform Kriya and goes on being obstinate.  (Kutastha is Itself - Purusha; the Manifest Light).*[*Translator’s note:  The parentheses and the text within them are in the original.]"
12,moghasha moghakarmano moghajnana vichetasah rakshasimasurim chaiva prakritim mohinim shritah,"[Commentary:]13) One to whom this type of Knowledge has happened - that all creation is filled with Brahman and that Prakriti is within Brahman - meaning, the work of the five elements - it is to This that they keep refuge.  At the beginning of all phenomena - meaning, the six chakras - is Brahman- knowing the Indestructible."
13,mahatmanastu mam partha daivim prakritimashritah bhajantyananyamanaso jnatva bhutadimavyayam,"[Commentary:]14) Devotional songs which are verily Mine [alt.: verily to Me] - meaning Kriya - shutting eyes and ears, being totally absorbed, prostrating to me by Omkar Kriya, having faith in the teachings of Guru and always remaining ensconced - sitting above."
14,satatam kirtayanto mam yatantashcha dhriravratah namasyantashcha mam bhaktya nityayukta upasate,[Commentary:]15) Some perform both Yonimudra and Kriya - both are one - many types of Kriya - the purpose of all of them is one.
15,jnanayajnena chapyanye yajanto mamupasate ekatvena prithaktvena bahudha vishvatomukham,"[Commentary:]16) (Aham krtu and aham yajna)* verily, I am the doer - the doer of yajna - to do yajna - the act of yajna is also verily Me - I am also the par avastha of Kriya - I am medicine also, because in that there is Brahman - there is no other medicine besides abiding in Brahman.  I am mantra - meaning, it is when oneself remains in the Self that the mind finds life - that possibility comes through transmission via Guru.  The ghee for oblation is Me - I am fire - It is to Me that oblation is done.[*Translator’s note:  The parentheses and the text within them are in the original.]"
16,aham kraturaham yajnah svadhahamahamoushadham mantrohhamahamevajyamahamagniraham hutam,"[Commentary:]17) I am the Grandfather Brahman - the world’s - meaning, all active things - all of those have emerged from Me and I am sustaining them, and I am everyone’s Grandpa, [the knowledge of] which is transmitted via Guru - I am that which is to be known - on the earth there is nothing comparable that is as pure as Me - It is with Me that Omkar is the form of this body.  Rik, Sama, Yaju - the three becoming together make Atharva. These four directions are My Form."
