Verse Number,Translation,Commentary
1,sannyasasya mahabaho tattvamicchami veditum tyagasya cha hrishikesha prithakkeshinisudana,"[Commentary:]2) It is being revealed via Kutastha - stopping desire in the present state is called “sannyas,” and stopping the desire for future fruition is called “tyaga” - of all acts."
2,kamyanam karmanam nyasam sannyasam kavayo viduh sarvakarmaphalatyagam prahustyagam vichakshanah,"[Commentary:]3) Yajna, charity, tapasya are dutiful work.  These should not be renounced - meaning, offering Kriya and abiding always in Brahman are musts."
3,tyajyam doshavadityeke karma prahurmanishinah yajnadanatapah karma na tyajyamiti chapare,[Commentary:]4) The renunciate person has eaten up [eradicated] verily all desires of the present and future; thus he is tiger-like person.  That is of three kinds.
4,nishchayam shrinu me tatra tyage bharatasattama tyago hi purushavyaghra thrividhah samprakirtitah,"[Commentary:]5) Kriya, giving Kriya, residing in Brahman - dutiful work; mind is sanctified by these."
5,yajnadanatapah karma na tyajyam karyameva tat yajno danam tapashchaiva pavanani manishinam,"[Commentary:]6) All of these karmas [acts] are dutiful, being without the desire for their fruits; this is My advice."
6,etanyapi tu karmani sangam tyaktva phalani cha kartyavyaniti me partha nishchitam matamuttamam,"[Commentary:]7) Absolutely in dharana, dhyan and samadhi, becoming devoid of desire automatically - that is called “sannyas.”  Renouncing in a deluded state is tamas renunciation - meaning, [because] everyone has died, coming to Benares and becoming a sannyasi because of that delusion."
7,niyatasya tu sannyasah karmano nopapadyate mohattasya parityagastamasah parikirtihah,"[Commentary:]8) One who [thinks] that to perform action causes great pain, makes great trouble for the body - and in the fear “how can I even be able to do it” - one who renounces in this way - that is rajasic renunciation - that renunciation has no fruit."
8,duhkhamityeva yatkarma kayakleshabhayajnajet sa kritva rajasam tyagam naiva tyagaphalam labhet,"[Commentary:]9) Dutiful work, all those must be done - do without desire and with absolute control - do all - this is called sattvic tyaga."
9,karyamityeva yatkarma niyatam kriyatehrjuna sangatyektva phalam chaiva sa tyagah sattviko matah,"[Commentary:]10) Does not hate to do good work - does not desire to do good work either - in verily every act, does without the desire for their fruits - being of steady intelligence in this way, with dharana within and abiding as locked, does all work without inner conflict."
10,na dveshtyakushalam karma kushale nanuyajjate tyagi sattvasamavishto medhavi chhinnasamshayah,"[Commentary:]11) Having taken up this body, one cannot be completely without performing karma [action] - doing all karma [work], being without the desire for results - one who does all karma like this - it is he who is called “tyagi” - with Still mind - other people who do not renounce with Still mind, and are fixed in restless character and influencing as such, again take up [the previously renounced things]."
11,nahi dehabhrita shakyam tyaktum karmanyasheshatah yastu karmaphalatyagi sa tyagityabhidhiyate,"[Commentary:]12) Good, bad, and good and bad mixed - three kinds of fruits of actions - those who have renounced all three of these verily - one who is a renunciate of the present condition and the future - it is he who can renounce these three; but sannyasi, who has only renounced the present condition - he can never renounce those three - because his desire for liberation and such in the future is there."
12,anishtamishtam mishram cha trividham karmanah phalam bhavatyatyaginam pretya na tu sannyasinam kvachit,"[Commentary:]13) Now, all the karma [action] that everyone does - it has been said that there are five causes for their occurrence; due to those causes, all karma are being done in order to attain their fulfillment."
13,panchaitani mahabaho karanani nibodha me sankhyekritante proktani siddhaye sarvakarmanama,"[Commentary:]14) First, one fixes an action in the mind - thinking that he is himself the doer, he fixes it [in mind] - upon fixing it [in mind], he lets it begin - upon beginning, he makes many kinds of efforts - so what if he does so - whatever is to happen, happens because of subtle forces - therefore: intellect, having ego, many kinds of efforts and the subtle forces - these are the causes of every karma [action which must be fulfilled].  But the cause of all karma is mind itself; if one just stills that mind via Kriya, then there is no karma with the desire for results at all."
