Verse Number,Translation,Commentary
1,sannyasam karmanam punaryogancha shamsasi yacchreya etayorekam tanme bruhi sunishchitam,"[Commentary:]2) It is being experienced via Kutastha: sannyas and yoga, both are good - yoga is especially good."
2,sannyasah karmayogashcha nihshreyasakaravubhau tayostu karmasannyasat karmayogo vishishyate,"[Commentary:]3) The true sannyasi is one who does not have violence - and does not have desire - being without conflict, is liberated from the bindings of pleasure."
3,jneyah sa nityasannyasi yo na dveshti na kankhati nirdvandvo hi mahabaho sukham bandhat pramuchyate,[Commentary:]4) The ignorant say that “Samkhya” and “Yoga” are different; [but] abiding in either one of the two begets the results of both - because pranayam is spoken about in both.
4,samkhyayogou prithagbalah pravadanti na panditah ekamapyasthitah samyagubhayorvindate phalam,"[Commentary:]5) That the par avastha of Kriya is also Samkhya - stillness - it is the same for Yoga - both Yoga and Samkhya are the same - those who can see this, see it."
5,yat samkheyaih prapyate sthanam tadyogairapi gamyate ekam samkhyancha yogancha yah pashyati sa pashyati,"[Commentary:]6) If there is no yoga, then there is sorrow in the practice of renunciation [sannyas] - being united in yoga, one goes quickly to Brahman - because when one casts off one thing from the mind, another thing appears.  Through yoga, the mind is stilled, and thus that [appearance of endless things to renounce] cannot again happen."
6,sannyasastu mahabaho duhkhamaptumayogatah yogayuktomunirbrahma na chirenadhigacchati,"[Commentary:]7) Remaining entrenched in yoga - oneself becomes pure and completely embedded in Atman, and vanquishing all senses, one sees that the Self in all things is One’s Self - he is not enmeshed in anything, even while performing all karma [actions]."
7,yogayukto vishuddhatma vijitatma jitentriyah sarvabhutatmabhutatma kurvannapi na lipyate,
8,naiva kinchit karomiti yuktomanyata tattvavit pashyan shrinvan sprishan jighrannashan gacchan swapan shvasan,"[Commentary:]8 - 9) I do not do anything at all - I remain always stuck in Brahman - in the par avastha of Kriya, I see, hear, touch, sleep, inhale and exhale, shout crazy things, take, smell, blink and unblink - the senses do the work of the senses - this kind of state."
9,pralapan visrijan grihnannunmishannimishannapi indriyanindriyartheshu vartanta iti dharayan,"[Commentary:]10) Meditating upon Brahman, I perform all karma [actions] without desiring results; thus, I am not bound by any sins - as the essence of Brahman is extremely subtle, likened to the essence of the lotus leaf, know this.  And the essence of water is likened to worldly existence. Thus, just as water floats on top of the lotus leaf*, in the same way, all karma floats around on top of the essence of Brahman - even while doing all worldly karma is not bound.[*Translator’s note:  Normally, the analogy given is one of the lotus (flower or leaf) floating on top of the water, but in this case, Yogiraj’s comments are about water on top of the leaf. There is a lesser known analogy of the lotus leaf and water, and that is one of water -sometimes dewdrops - ON the lotus leaf. The dewdrop or water being neither one with nor separate from the lotus leaf.]"
10,brahmanyadhaya karmani sangamtyaktva karoti yah lipyate na sa papena padmapatramivambhasa,"[Commentary:]11) By the body, by the mind and intellect, by only the eye - yogis perform karma - meaning - perform Kriya while being devoid of desire, for the sake of keeping oneself in Brahman."
11,kayena manasa buddhya kevalairindriyairapi yoginah karma kurvanti sangam tyaktvatmashuddhaye,"[Commentary:]12) Remaining still in the par avastha of Kriya - being without the fruits of actions - neither am I anything, nor is anything mine - remaining in this type of consciousness, one attains an extraordinary type of Tranquility.  Whoever is not stuck in Brahman and performs karma with the craving for results - he becomes suffocated in bondage."
12,yuktah karmaphalam tyaktva shantimapnoti naishthikim ayuktah kamakarena phale sakto nibaddhyate,[Commentary:]13) Renouncing all karma from mind -(here karma means unnecessary/meaningless action)*- residing in happiness - bring everything under [your] power.  Kutastha is in the body; its [the body’s] nine doors are open - neither does He [Kutastha] do anything nor does He cause any doing.
