Verse Number,Translation,Commentary
1,ye shastravidhimutsrijya yajante shraddha yanvitah tesham nishtha tu ka krishna satvamaho rajastamah,"[Commentary:]2) It is being experienced via Kutastha - there are three kinds of “shraddha” [reverence] - sattviki, rajasic, tamasic."
2,trividha bhavati shraddha dehinam sa svabhavaja sattviki rajasi chaiva tamasi cheti tam shrinu,"[Commentary:]3) In sattva guna - meaning, having performed Kriya - and residing in the Atom of Brahman - this Purushottama - it is He Who is All Brahman - the one who resides in the par avastha of Kriya - it is He Who is Brahman."
3,sattvanurupa sarvasya shraddha bhavati bharata shraddhamayohyam purusho yo yacchraddhah sa eva sah,"[Commentary:]4) [Worship of a] divine personage - meaning, the worship of Kutastha is done by those endowed with sattva guna - in rajoguna, worship is of wealth - and bhoga [worldly enjoyment/partaking], death and the five elements are worshipped in tamoguna."
4,yajante sattvika devanyaksharakshamsi rajasah pretan bhutaganamshchanye yajante tamasa janah,"[Commentary:]5) One who does not perform Kriya and performs intense austerities such as “panchatapa,”* egotistically boasting with desire and anger, and does so with force.[*Translator’s note:  “Panchatapa” refers to performing severe austerities under the hot sun along with large fires burning on all four sides.]"
5,ashastravihitam ghoram tapyante ye tapo janah dambhahankarasamyuktah kamaragabalanvitah,"[Commentary:]6) Dehydrating the body, making all of the senses unconscious - meaning, not abiding in Kutastha - and thinking, “It is I who am in this body” - one who performs austerities with this kind of affliction - that is demonic practice - meaning, it is not good - desirous act."
6,karshayantah sharirastham bhutagramamachetasah mam chaivantahsharirastham tanviddhyasuranishchayan,"[Commentary:]7) Food, yajna, spiritual practice/austerities [tapasya] and charity are of three kinds - I am speaking about this."
7,aharastvapi sarvasya trividho bhavati priyah yajnastapastatha danam tesham bhedamimam shrinu,"[Commentary:]8) Longevity is increased with kheer [milk pudding]; sattva guna with ghee [clarified butter]; strength with milk; immunity with bitter foods; happiness with honey; affection with rice pudding - juicy things - coolness; calmness/steadiness - boiled, sunned rice; loving nature - rice pudding, ghee and honey mixed together - these are sattvic foods."
8,ayuhsattvabalarogyasukhapritivivardhanah rasyah snigdhah sthira hridya aharah sattvikapriyah,"[Commentary:]9) Astringent, tart, salty, hot, spicy, rough and dry - all substances that cause these - chillies, pepper - these are rajasic foods - eating such causes sorrow and grief - very much."
9,katumlalavanatyushnatikhnarukshavidahihah ahara rajasasyeshta duhkha shoka mayapradah,[Commentary:]
10,yatashamam gatarasam puti paryushitam cha yat ucchishtamapi chamedhyam bhojanam tamasapriyam,"[Commentary:]11) Performing Kriya while being without the desire for results - fully keeping mind stilled - being so after Kriya, saying [knowing] that it is dutiful duty - being this way in mind, one who does [acts/yajna] united with dharana, dhyan and samadhi - he is sattvic."
11,"10) Very overcooked rice, rotten [food], stale [food], food left on the plate after another’s eating, impure [unclean] - these are all of the tamasic [type of] eating. aphalakankhikshabhiryajno vidhidrishto ya ijyate yashtavyameveti manah samadhaya sa sattivkah",[Commentary:]12) One who does [acts/yajna] like this with the desire for results and with arrogance - that is called rajasic yajna.
12,abhisandhaya to phalam dambharthamapi chaiva yat ijyate bharatashreshtha tam yajnam viddhi rajasam,"[Commentary:]13) Not stilling mind fully in the [state] after Kriya, and not performing Kriya, and not performing Omkar Kriya - whatever is done - all are tamasic karma [acts/yajna] - meaning, acquire Kriya via the teaching of Guru and perform all acts [from that], otherwise it is all useless [meaningless]."
13,vidhihinamasrishtannam mantrahinamadakshinam shraddhavirahitam yajnam tamasam parichakshate,"[Commentary:]14) Meditating upon the God Kutastha, going to Kriyanvita persons, residing in Atman, going to someone to whom full awakening has happened from Kriya, “pujanam” - performing Kriya - abiding in Brahman; “arjavam” - being simple - meaning speaking what is in the mind; “brahmacharya” - residing in Brahman only; not being saddened because good has happened to someone else; these are “sharirik tapasya” [tapasya of the body]."
14,devadvijaguruprajnapujanam shouchamarjavam brahmacharyamahimsa cha shariram tapa uchyate,[Commentary:]15) By which no offense is caused to anyone else - speaking like this - Truth - loving and beneficial words - “svadhyaya” [study of scriptures] - performing Kriya with intelligence; these are called “vangmaya tapasya” [tapasya of speech].
15,anudvegakaram vakyam satyam priyahitam cha yat svadhyayabhysanam chaiva vangmayam tapa uchyate,"[Commentary:]16) Attaining contentment of mind upon abiding in the par avastha of Kriya, being Still, remaining satisfied, residing by locking oneself in Brahman; these are “manas tapasya” [tapasya of mind]."
16,manahprasadah soumyatvam mounamatmavinigraheh bhavasamshuddhirityetattapo manasamuchyate,"[Commentary:]17) In this way, [this state of] staying in Brahman in the par avastha of Kriya and remaining lodged without the desire for results is called sattvic."
