Verse Number,Translation,Commentary
1,param bhuyah pravakshyami jnananam jnanamuttamam yajjnatva munayah sarve param siddhimito gatah,"[Commentary:]2) Knowing This, that which is no karma [act] at all - yet one karma [act]!!  That, coming into one’s own dharma - meaning, when there is Stillness - even in pleasure, That is not destroyed - even if one goes in other directions significantly, That has no destruction!!  Meaning, the Stillness after Kriya."
2,idam jnanamupashritya mama sadharmyamagatah sargehpi nopajayante pralaye na vyathanti cha,"[Commentary:]3) That which is My Yoni, “All is Brahman, pervading all creation”* - that Brahman - Its Atom, one enters into That - meaning, the Stillness after Kriya - in the subtle Form of the Atom of Brahman - going where, one cannot speak anything at all - even if asked, one says “That is what It is!!!!!!”**[*Translator’s note:  The quotation marks and the text within them is in the original.][**Translator’s note:  The quotation marks are provided by the translator in order to mark the spoken statement.]"
3,mama yonirmahadbrahma tasmin garbham dadhamyaham sambhavah sarbhutanam tato bhavati bharata,"[Commentary:]4) All of those yonis from which all forms are coming about - those are singular and separate yonis - in those yonis too is Brahman; they also emerge from Brahman - but I am That individualized and Unified Great Yoni [Mahadyoni] - I am verily Its Seed, the Atom of Brahman Itself, and “pra” = in True Form - in the “da” sound is Yoni; it is in That that I keep It - meaning, I keep Self in the Self - which is the par avastha of Kriya - again, I am [also] the Father - meaning, endowed with Shakti, bringing My Form from within Me - the Form of Kutastha - Brahman!!!  Meaning, Son - meaning, Father; the Father is Himself the Son!!! The Son is Himself the Father!!!"
4,sarvayonishu kaunteya murtayah sambhavanti yah tasam brahma mahadyoniraham bijapradah pita,"[Commentary:]5) Sattva, rajah, tamah, the forms of ida, pingala, sushumna - mounted on the machine, they, with the five elements, mind, intellect and ego, looking with attachment-filled attention in directions other than Atman [or] Brahman, have [seemingly] bound the embodied - the Indestructible Atman, Kutastha Brahman!!  It is upon the liberation from that bondage that He is the Pure Free Buddha Being - the Form of Stillness after Kriya - the drum-stick will fall with a bang."
5,sattvam rajastama iti gunah prakritisambhavah nibadhnanti mahabaho dehe dehinamavyayam,"[Commentary:]6) There - meaning in the par avastha of Kriya – the five elements, mind, intellect, ego - it is in these that there is impurity - being without these and abiding in Atman is Purity.  Kutastha Brahman!!  When any thing becomes pure, Light is attained - the sword that has become rusted, if one cleans that via Kriya- which is transmitted via the teachings of Guru - such a Light manifests on that sword that one is able to see one’s own face. It is this that Patanjal has called in the Sutras as “Svarupa Darshanam” (meaning, in the natural mirror, the Self can see OneSelf)* - when the Self sees OneSelf and OneSelf becomes Brahman, then All is Brahman! And one sees All; thus the Light Itself is the Form - of Brahman! It is this that is spoken about in Vedanta as “Svaprakashasvarupa” [Light of Self-Revelation]. When all have become one thing, then how can there be any kind of destruction and another thing with an end - therefore - “avinashi” [indestructible] - devoid of mutation - if desiring attachment-filled pleasure from other things, He resides suffocated and bound in that.  Leaving that and residing as the Self in Atman - meaning, performing Kriya - there is liberation - meaning the par avastha of Kriya.[*Translator’s note:  The parentheses - ( ) - and the text within them are in the original.  The bracketed - [ ] - text is provided by the translator for the purposes of clarification.]"
6,rtatra sattvam nirmalatvat prakashakamanamayam sukhasangena badhnati jnanasangena chanagha,"[Commentary:]7) “Rajah” - meaning ida; attachment-filled desire in some other thing - if it happens via Atman, it happens - if one prays for, wishes for and looks at that thing for a long time, one has the desire to have that thing with great expectation, which, when one does not get it, causes one to become extremely desperate.  That is what is known as “trishna” [thirst]; that thirst has bound you up quite well and is making you stand with hands joined together [in the form of prayer].   Because, by that thing, “my mind will have the fruit of satisfaction for a little while.”  In this way, that standing form is fulfilling karma in desire - within this body in the Form of Kutastha - meaning, Mahadeva’s - like some person standing in front of a confectioner’s shop."
7,rajo ragatmakam viddhi trishnasangasamadbhuvam tannibadhnati kaunteya karmasangenadehinam,"[Commentary:]8) Not residing in Atman - putting attachment-filled attention in other things is called “tamoguna” - meaning, pingala - all embodied ones - meaning, Mahadeva - have been kept mesmerized; otherwise the jiva itself is Shiva - meaning, performance of Kriya, which is transmitted via the teaching of Guru.  All of these acts by which He is being bound - with complete attachment in those, with chitta gone in that direction, full of expectation, like a drunken fool, what He says to whomever - false, and cannot pursue things - not being able to do so, He is agitated by His own heat [madness] and thus is madly dancing in many forms, and is passing through time in this way.  And He says “I have no time for anything” - and what He does, that He also does not know, because He is drunk!!!!  When opportunity for some good karma [action] comes in front of Him, to that He says, “I will do it later” - that “later” becomes later and later, and after that is sleep!!!!!!! OM.  As much as there is no priority, it is even more than that - meaning - even after having gone to bed in the early evening, rising late in the first part of the day - laziness - how many days like this?  Without a [physical] jail - even if it is said, it will not be heeded - what strange bondage without any binding - meaning, oneself is bound by oneself - meaning, no one even says “you should go to sleep” - “prostitute yourself” and such things."
8,tamastvajnanajam viddhi mohanam sarvadehinam pramadalasyanidrabhistannibadhnati bharata,"[Commentary:]9) If one always abides in Atman - meaning, performs Kriya, happiness arises in all ways - abiding automatically and naturally in happiness, one attains the Supreme Bliss of the par avastha of Kriya.  The Bliss about which no one has the ability to speak - the reason why It is “avyakta” [unspoken] - known by oneself - later cannot make anyone know.  The temporary fruits which come about through rajoguna with its desire for results - meaning, “this land is mine for a hundred years and there is no assurance as to whose it will be after that - the land is ten hands long, three and one-half hands wide, for which ten people will be murdered and how much will be the profit?”  The one who, by berating over and over about this becomes poor - this type of hobbyist-poor is the worker of rajoguna.  It is in this type of karma [action] that so many people are caught up - and who is this “I”?  And what is Atman?  That, even by mistake, does not come to mind from the time of birth until death - yet there is the sound of “gyan-gyan, ghan-ghan” [noisy bleating of pseudo-knowldege]; telling people “because I am rich, I will be wise,” and being like this.  Thus, filled with attachment, he pretty much spends all of his time on other things and discussions and such.  Whatever is left - that is lost in the snores of sleep, hidden every day in undisciplined state, and he lays fallen in deep darkness - therefore, it is because there is no Light that one has to live in darkness.  The Light which one must search for with self-effort.  Even knowing and hearing about that, he says things like, “I love to stay in that darkness” - “I have money, I’m eating, enjoying, shitting fluidly, I’m quite fine.”  Living in this type of indulgent darkness of falsehood and being intoxicated in this for a short time, death comes and grabs him like a bug."
9,sattvam sukhe sanjayati rajah karmani bharata janamavritya tu tamah pramade sanjayatyuta,"[Commentary:]10) First, one kills a person - having killed, he begins to grieve; in this way, covered by rajah and tamoguna, he takes up sattva guna - meaning, he comes to Benares [Varanasi] and becomes a Brahmachari [celibate monk] - because he has killed, he wails “oh! oh!” - from rajo guna, he comes to sattva guna, and then again he begins to say, “What will wailing do? I killed. So - fine. I did” - he comes to tamoguna from sattva guna; later he thinks that “What I did was not very good” - and again he comes to sattva guna from tamoguna.  Now, the one whom he had killed - people come again to fight on that person’s behalf - thus, from sattva guna, again he comes to rajoguna - death takes away these types of “palm-leaf soldiers” with the blow of one breath."
10,rajastamashchabhibhuya sattvam bhavati bharata rajah sattvam tamashchaiva tamah sattvam rajastatha,"[Commentary:]11) If attention is there, then the Light of Atman can take birth in all of the senses [gates] of this body.  That Knowledge of Kriya is happening, which is transmitted via the teaching of Guru.  That “vidya” [knowledge] is truly vidya; all else is “avidya” [ignorance/not-knowledge] - meaning, knowing that is truly knowing, and all else is not-knowing.  When that Kriya expands is when one resides in sattva guna."
