Verse Number,Translation,Commentary
1,idam shariram kaunteya kshetramityabhidhiyate etadyo vetti tam prahuh kshretrajna ity tadvidah,[Commentary:]2) The one who is kshetrajna is in the region of the navel - He is actually My Form - attained via the teaching of Guru - He is in all bodies.
2,kshetrajnam chapi mam viddhi sarvakshetreshu bharata kshetrakshetrajnayorjnanam yattajjnanam matam mama,"[Commentary:]3) That body - which is in its own form - and which, when mutated, [is] whatever kinds of forms in the phenomenal world - is hidden in all people - meaning Kriya - always residing in Atman - this is called “kar” [the original] - “vikar” [mutation] is putting attachment-filled attention elsewhere, by which there is the mutation of mind and manifestation - listen about all of this."
3,tatkshetram yaccha yadrik cha yaddvikari yatashcha yat sa cha yo yatprhavashcha tatsamasena me shrinu,"[Commentary:]4) All Forms such as Kali - They are able to be seen in this Kutastha - They are the ones who are the Sages - this evidence is stated in Tantra as Kalika Rishi - the many types of hymnal cadences can be seen [known] in the Kutastha - there are different threads [pathways] of Brahman in the spine - inside Which, is the Cosmos-samsara - that can also be seen via Kriya - the One Who, from the Muladhar to the Brahmarandhra, presides as Kutastha-Self - it is He Who is the Cause of this body - it has been spoken of beautifully and conclusively in all of the scriptures.mahabhutanyahamkaro buddhiravyaktameva cha indriyani dashaikam cha pancha chendriyagocharah -5-[Commentary:]5) That, from Which the most subtle aspect of the five great elements - Brahman being the atom-like essence of the five elements - is known, and [from Which] Knowledge such as “soham Brahman” [I am That Brahman] is experienced via Kriya - becoming Still in That, via Kriya, one also experiences the Unmanifest Substance. From That - the five organs of perception and the five organs of action - via these ten, all phenomena become apparent."
4,rishibhirbahudha gitam cchandobhirvividhaih prithak brahmasutrapadaishchaiva hetumadbhirvinishchitaih,"[Commentary:]6) Then, if one puts attachment-filled attention on some thing, desire manifests - if that desire is not fulfilled, hatred/malice manifests - the desire of hatred/malice is simply because of the pleasure-wish - if it is unfulfilled, there is sorrow - in sorrow is death - if there death, there is birth - if there is birth, there is living for a while - all with the mutation of this body, I have told you."
6,iccha dvesham sukham duhkham samghatashchetana dhritih etatkshetram samasena savikaramudahritam,"[Commentary:]7) It happens by abiding in the par avastha of Kriya, devoid of honor and dishonor - “dambha” [egotism as a whole] - meaning, moving about with pride, puffing up one’s chest with arrogance and vanity - meaning, having heard from others, ennobling oneself, or, if discredit happens to such honor, thinking of oneself as dishonorable - devoid of “dambha” - non-aggressiveness [ahimsa] or aggressiveness [himsa] - neither are there - forgiveness - uprightness - meaning, being simple and clear - “arjavam sarala” - meaning, whatever is in the heart, that is what is said - worship of Guru - meaning, being Tranquil through the performance of Kriya - keeping oneself in Brahman."
7,amanitvamadambhitvamahimsa kshantirarjavam acharyopasanam shoucham sthairyamatmavinigrahah,"[Commentary:]8) Not having sense-caused desires - searching out about egotism in the mind, birth, death, old age, disease, sorrow and wrongness."
8,indriartheshu vairagyamanahamkara eva cha janmamrityujaravyadhiduhkhadoshanudarshanam,[Commentary:]9) Devoid of desire [attachment] in the company of one’s progeny and members of the household - contemplating both good and bad as the same.
9,asaktiranabhishvangah putradaragrihadishu nityam cha samachittatvamishtanishtopapattishu,"[Commentary:]10) Just by abiding in the par avastha of all Kriya, it will happen by itself - keeping mind on Kriya and not putting attachment-oriented attention elsewhere is what one should do - attachment-oriented - meaning, just putting attention elsewhere besides Atman - thus, all miscreants and wrongdoers are those who are not in Atman - always [doing] Self-Kriya, the contemplation of Self, attention to Self, Self-Knowledge - that happens by the work itself.  In the midst of all being naked, one wears a cloth - he is the one who is ignorant.  Solitude - meaning, not putting attachment-filled mind in any other direction and not looking at people with attachment [conditionally]."
10,mayi chananyayogena bhaktiravyabhicharini viviktadeshasevitvamaratirjanasamsadi,"[Commentary:]11) Performing Kriya in Atman Itself - which is acquired via the teaching of Guru - the meaning of “tattvajnana” [Knowledge of the Substance] is just this - knowing and seeing the Revelation in Kutastha via Kriya - this is what known as “Knowledge” [jnana] - other than this, looking elsewhere with attachment is called “ignorance” [ajnana]."
11,adhyatmajnananityatvam tattvajnanarthadarshanam etajjnanamiti proktamajnanam yadatohnyatha,"[Commentary:]12) “Jneya” - meaning that thing which is to be known - Kutastha Brahman - I am speaking about That in depth - knowing which, one attains My Substance - That, which has no beginning - meaning, the intoxication - of the par avastha of Kriya - one does not know when it began; then there is no “me” in the Self; He is ParaBrahman; the Eternal Certainty beyond all - then truth and untruth both - are absent - meaning neither the seen nor the seer are there."
