Verse Number,Translation,Commentary
1,madanugrahaya paramam guhyamadhyatmasamjnitam yattvayoktam vachastena mohohyam vigato mama,"[Commentary:]2) After hearing so much from You, I understand You to be the Immortal, Indestructible, Great Divinity - O Kamalapatraksha - lotus-like Eye."
2,bhavapyayou hi bhutanam shrutou vistarasho maya tattvah kamalapatraksha mahatmyamapi chavyayam,"[Commentary:]3) By [this] science, I wish to see the Cosmic Form of Atman."
3,evametadyathattha tvamatmanam parameshvara drashtumicchami te rupamaishvaram purushottama,"[Commentary:]4) If You think that I can see - then, via Kutastha, he began to see the Indestructible Form of Self.Sri Bhagavan said:"
4,manyase yadi tacchakyam maya drashtumiti prabho yogeshvara tato me tvam darshayatmanamavyayam,[Commentary:]5) It is being experienced via Kutastha - see the hundreds of thousands of Forms; the many kinds of substances - I am residing in the atoms of the many colors.
5,pashya me partha rupani shatashohtha sahasrashah nanavidhani divyani nanavarnakritini cha,[Commentary:]6) Surya - Ashtavasu - Rudra - Ashvinikumar - Marut - see all this - My Astonishing and Wondrous Forms.
6,pashyatityanvasunrudranashvinou marutastatha bahunyadrishtapurvani pashyashcharyani bharata,"[Commentary:]7) All of these mobile and immobile [phenomena] are actually My Manifestations - that other kind of Manifestation that you wish to see in this body - That -8) you cannot see with these eyes; I will give you a space-like Eye - by that, through yoga, you will be able to see the Cosmic Form.Sanjay said:"
8,ihaikestham jagat kritsnam pashyadya sacharacharam mama dehe gudakesha yacchanyaddrashtumicchasi - 7- na tu mam shakyate drashtumanenaiva svachakshusha divyam dadami te chakshu pashya me yogamaishvaram,"[Commentary:]9) It is being known via the subtle perception - like this, Kutastha began to show His Form to the energy of the body."
9,evamukta tato rajan mahayogeshvaro harih darshayamasa parthaya paramam rupamaishvaram,[Commentary:]10) Many people are sitting in front of Kutastha - many eyes are looking at Kutastha - many incredible Forms - many weapons from many Skies/Spaces - in innumerable hands.
10,anekavaktranayanamanekadbhutadarshanam anekadivyabharanam divyanekodyatayudham,"[Commentary:]11) The Garland of Space - the Scent of Space - all are astonishing - in this way, he went on witnessing the Divine Kutastha.  Infinite Cosmos - the eyes of people living in samsara - those who have become perfected - all of them are gazing at Kutastha - which of course means that they are the Manifestations of Kutastha Itself; there is nothing there other than Kutastha."
11,divyamalyambaradharam divyagandhanulepanam sarvashcharyamayam devamanantam vishvatomukham,[Commentary:]12) That Great Spirit Kutastha’s - like millions of suns - much more than that - this kind of Power splendorously radiating everywhere.
