Verse Number,Translation,Commentary
1,anashritah karmaphalam karyam karma karoti yah sa sannyasi cha yogi cha na niragnirnachakriyah,"[Commentary:]2) The one who is called “sannyasi” is also the one who is called “yogi.”  The sannyasi is without desire for the meaningless in the present, and the yogi is devoid of desire for the future as well.  The sannyasi who cannot stop desires for the future - he cannot ever be a yogi."
2,yam sannyasamiti prahuryogam tam biddhi pandavah na hyasamnyastasamkalpo yogi bhavati kashchan,"[Commentary:]3) One who, after continuously performing Kriya, becomes still in the par avastha of Kriya and automatically [spontaneously, by itself] has no desire to speak - he is called “muni.”  But one who at the beginning of Kriya [thinks] “something good will happen” - [and] does not perform karma without this kind of mind - one who does it with the wish of that karma coming out well - he is called “arurukshu.” When performing karma in this way - whatever is to happen, let it happen - some fruits are attained, meaning when mind is blissful - then he continues to perform karma without desire - he is called “yogarudha.”"
3,arurukshormuneryogam karma karanamuchyate yogarudhrasya tasyaiva shamah karanamuchyate,[Commentary:]4) Not for any of the senses - meaning - “tell me I am good” - one who does not perform Kriya with this kind of intention - continues to perform Kriya while being devoid of any sense-world desires - he is the one who is called “yogarudha.”
4,yada hi nendriyartheshu na karmasvanushajjate sarvasamkalpasannyasi yogarudhrastadochyate,"[Commentary:]5) Rescuing the self by the Self, meaning keeping stillness in the head - that happens via Kriya - not doing that results in descending movement, meaning one becomes engaged in tamasic karma.  Thus, one’s friend is oneself and one’s enemy is oneself."
5,uddharedatmanatmanam natmanamavasadayet atmaiva hyatmano bandhuratmaiva ripuratmanah,"[Commentary:]6) One who, by Kriya, has been able to still oneself - he is his own friend, and one who does not keep himself in Atman, meaning does not perform Kriya - he is his own enemy - know that that is verily oneself - because if one does not constantly perform Kriya, there will be death.  What enemy is there other than death?"
6,bandhuratmanastasya yenatmaivatmana jitah anatmanstu shatrutve vartetatmaiva shatruvat,"[Commentary:]7) Having conquered oneself and having truly received Peace, meaning abiding in the par avastha of Kriya and being still in Paramatman Kutastha - cold, heat, pleasure, sorrow, respect and shame - nothing at all remains - because none of these things remain for drunkards."
7,jitamanah prashantasya paramatma samahitah shitoshnasukhaduhkheshu tatha manapamanayoh,"[Commentary:]8) What is Jnana [Knowledge] but the vision of Kutastha [Kutstha Darshan] - Vijnana [Wisdom, beyond Knowledge], meaning when one’s self abides in the par avastha of Kriya and  is supremely fulfilled - abiding in Kutastha - victorious over all senses - this is called “remaining locked in Brahman” - yogis say this - when a clod of earth and gold are realized to be the same - like the way it is to a drunkard."
8,jnanavijnanatriptatma kutastho vijitetindriyah yukta ituchyate yogi samaloshtrashmakanchanah,"[Commentary:]9) At that time, suhrit (one who has a beautiful heart),* friend - meaning one who partakes in pleasure and sorrow, udasina [aloof] - meaning one who, via vayu, is sitting on top of the head, and middle-of-the road people, and enviously violent, and bandhav [friend/companion] - one who desires goodness - and one who performs Kriya - saint and sinner - he sees all of these beings as the same.[*Translator’s note: The parentheses and the text within them are in the original.]"
9,suhrinmitraryudasinamadhyasthadveshyabandhushu sadhushvapi cha papeshu samabuddhirvishishyate,"[Commentary:]10) The yogi - remaining in the par avastha of Kriya - always and continuously performs Kriya - the mystery of Atman - meaning secret - every form - [all of] which are seen in the state of Vijnana - where there is no night or day - remaining in that itself - devoid of expectation of any thing of the world - even while in the midst of everyone, is alone - one’s self does not look elsewhere - does not go to any house other than Atman."
10,yogi yunjita satamatmanam rahasi sthitah ekaki yatachittatma nirashiraparigrahah,"[Commentary:]11) The Pure Land, meaning remaining in Brahman - stuck - being still in the seat of the heart - (keeping Self, sitting in the abode)* - neither too low, nor too high, meaning staying in the middle place - the heart - the holy grass [kusha], meaning Brahma,** whose place is the Muladhar - deer-skin - that which has skin on top of it - Krishna, gracefully abiding in the root of the lingam in the Svadhisthana.  Soft cloth [chel], meaning silk, which - when rubbed in a dark room in the winter - gives off a light like fire.  That is Rudra, royally abiding in the area of the navel, Manipura - above that, you will take your seat upon the asana of the heart.[*Translator’s note:  The parentheses and the text within them are in the original.] [**Translator’s note:  “Brahma” [pronounced “Brahmaa”] is the name of the creator aspect of the Supreme, as opposed to “Brahman” [pronounced “Brahm(a)” - very short “a”; “n” is only a nasality] which is the symbolic word for the Absolute Supreme.]"
11,shuchau deshe pratishthapya sthirasanamatmanah natyucchritam natinicham chelajinakushottaram,"[Commentary:]12) Keeping mind in that place of the One Brahman, stilling consciousness, and subduing all senses - sitting in asana in this way - you will perform Kriya for the purification of yourself and to keep yourself in Brahman."
12,tatraikagram manah kritva yatachittendriyakriyah upavishyasane yunjadyogamatmavishuddaye,"[Commentary:]13) Keeping body and neck straight - stilling vayu, you will look at the sights at the place before the nose (after knowing from the mouth of Guru).*[*Translator’s note:  The parentheses and the text within them are in the original.  The phrase “mouth of Guru” comes from the Bengali “guru mukhe,” which refers to direct and personal initiation and transmission  from Guru.]"
13,samam kayashirogrivam dharyannachalam sthirah samprekshya nasikagram svam dishashchanavalokayan,"[Commentary:]14) Then, seeing very clearly that: neither am I anything, nor is anything mine - abiding in this kind of state, you will ceaselessly roam in Brahman (travel)* - immersing mind within, meaning remaining stuck in the par avastha of Kriya - there is nothing at all other than Me - this state will come.[*Translator’s note:  The parentheses and the text within them are in the original.]"
