Verse Number,Translation,Commentary
1,jayasi chet karmanaste mata buddhirjanardana tat kim karmani ghore mam niyojayasi keshava,"[Commentary:]2) My intellect is confused by such lofty words; therefore tell me of one which will be beneficial - meaning, should I perform Kriya or should I abide in the par avastha of Kriya.Sri Bhagavan said:"
2,vyamishrenaiva vakyena buddhim mohayasiva me tadekam vada nishchitya yena shroyohhamapnuyam,"[Commentary:]3) It is being experienced via Kutastha - two types of stillness [abiding/resting] have been spoken about previously. Resting after seeing, hearing and understanding by oneself, or the spontaneous peaceful abidance from performing Kriya."
3,lokehasmin dvividha nishtha pura prokta mayanagha jnanayogena samkhyanam karmayogena yoginam,"[Commentary:]4) First:  the restfulness without performing Kriya, meaning that without Kriya, one cannot abide in the Supreme Person, and if that does not happen, then desires for superfluous things also do not end - without the ending of desire, there is no fulfillment [completion/realization] of everything, meaning that it is when desire ends that all is fulfilled [perfected]. From such realization, mind becomes contented - it is when desire ends that this mind is contented."
4,na karmanamanarambhannaishkarmyam purushohshnute na cha samnyasanadeva siddhim samadhigacchati,"[Commentary:]5) No one remains even for a moment without karma [act]. Performing all karma [acts] while being in the dutiful karma - that is the karma that is happening - because its doer is Brahmasutra Sushumna - within whom is the entire Cosmos/samsara - He is the Primal Person - all-pervading.  The five elements, mind, intellect, ego - all perform karma under the power of these - sattva, rajah, tamah - by ida, pingala, sushumna’s gunas [effecting qualities]."
5,na hi kashchit kshanamapi jatu tishthatyakarmakrit karyate hyavashah karma sarvah prakritijairgunaih,"[Commentary:]6) Whoever abides in one’s own heart while being devoid of the craving for the results of actions - he is the one who is good; and being made stupid by the senses looking to acquire pleasure, not giving attention to Atman, all behavior of that [type of] person - meaning living with mind elsewhere - all of it is false."
6,karmendriyani samyamya ya aste manasa smaran indriyarthan vimudhatma mithyacharah sa ucchyate,"[Commentary:]7) Whoever takes the senses with the mind and, remaining in the par avastha of Kriya, performs all karma [actions] - all actions being performed by the organs of action - but not doing anything with attachment - he is the one who is good."
7,yastvindriyani manasa niyamyarabhateharjuna karmendriyaih karmayogamashaktah sa vishishyate,"[Commentary:]8) Remaining in the par avastha of Kriya always and in all situations, performing karma [in this way] without craving results - if one does not act, the workings of the body cannot be maintained."
8,niyatam kuru karma tvam karma jyayo hyakarmanah sharirayatrapi cha te na prasiddhyedakarmanah,[Commentary:]9) Perform all action without desire.
9,yajnarthatkarmanohnyatra lokehyam karmabandhanah tadartham karma kaunteya muktasangah samachara,[Commentary:]10) Brahman made action [acts] at the time of creation.
10,sahayajnah prajah srishtva purovacha prajapatih anena prasavishyadhvamesha vohstvishtakamadhuk,"[Commentary:]11) Whichever god is thought of by one, that particular god thinks of him also.  In this way, through the manifestation of such mutual feelings, one gets beneficence."
11,devan bhavayatanena te deva bhavayantu vah parasparam bhavayantah shreyah paramavapsyatha,[Commentary:]12) When making an offering of food for a cherished god - if one eats that sacrament thinking that he is eating and Brahman is not eating - he is a thief.
12,ishtan bhogan hi vo deva dasyante yajnabhavitah tairdattanapradayaibhyo yo bhungkte stena eva sah,[Commentary:]13) It is by abiding in the par avastha of Kriya that one is liberated from all sins - one who eats for his own reason (meaning for the nourishment of the body - with ego)* - he eats sin.[*Translator’s note:  The parentheses and the text within them are in the original.]
13,yajnashishtashinah santo muchyante sarvakilvishaih bhunjate te tvagham papa ye pachantyatmakaranat,"[Commentary:]14 - 15) The existence of all phenomena has been born of Brahman.  Food is appearing because of rain; clouds appear because of yajna; yajna is happening because of karma [work] - thus Brahman is in everything.  Brahman is from the Unmanifest; thus Brahman is in yajna itself (in all karma [work]).*[*Translator’s note:  The parentheses and the text within them is in the original, except for the bracketed word, which is there for clarification.]"
15,annadbhavanti bhutani parjanyadannasambhavah yajnadbhavati parjanyo yajnah karmasamudbhavah - 14- karma brahmodbhavam viddhi brahmaksharasamudbhavam tasmat sarvagatam brahma nityam yajne pratishthitam,"[Commentary:]16) This type of wheel - one who does not stay in this [yoga], and does all karma [work] for the sake of the senses - his life is meaningless."
16,evam pravartitam chakram nanuvartayatiha yah aghayurindriyaramo mogham partha sa jivati,"[Commentary:]17) In the par avastha of Kriya, even dutiful karma does not remain."
17,yastvatmaratirevasyadatmatriptashcha manavah atmanyeva cha santushtastasya karyam na vidyate,"[Commentary:]18) Even if he does bad karma, or does not do anything at all, while being in all things, does not do anything."
18,naiva tasya kritenartho nakriteneha kashchana na chasya sarvabhuteshu kashchidarthavyapashrayah,"[Commentary:]19) Performing Kriya without the desire for results, one attains the Supreme Person."
19,tasmadasaktah satatam karyam karma samachara asaktohyacharan karma paramapnoti purushah,"[Commentary:]20) Rishis such as Janaka have performed karma - thus for the maintenance of people’s lives, it is one’s duty to perform all karma [acts] without the desire for results."
20,karmanaiva hi samsiddhimasthita janakadayah lokasamgrahamevapi sampashyan kartumarhasi,"[Commentary:]21) As good people behave, lower people follow them accordingly as well."
21,yadyadacharati shreshthastattadevetarojanah sa yat pramanam kurute lokastadanuvartate,"[Commentary:]22) Nothing should be done; when acquired, the desire for acquisition does not remain; but there is no way of being without doing karma."
22,na me parthasti kartavyam trishu lokeshu kinchana nanavaptamavaptavyam vartaeva cha karmani,[Commentary:]23) Whatever is done by whoever - still he is traveling on My road.
23,yadi hyaham na varteyam jatu karmanyatandritah mama vartmanuvartante manushyah partha sarvashah,"[Commentary:]24) If karma is not done, then Mahadeva will destroy all subjects of the kingdom - Mahadeva - meaning breath - Kutastha Brahman."
24,utsideyurime loke na kuryam karma chedaham samkarasya cha karta syamupahanyamimah prajah,[Commentary:]25) People with attachments - for the maintenance of life should perform karma without the desire for results.
25,saktah karmanyavidvamso yathakurvanti bharata kuryadvidvamstathasaktashchikirshurlokasamgraham,[Commentary:]26) Do not show up the faults of the intelligence - meaning looking down at the intelligence - of someone who does not perform Kriya - perform all karma while remaining in the par avastha of Kriya.
26,na buddhibhedam janayedajnanam karmasanginam yojayet sarvakarmani vidvan yuktah samacharan,"[Commentary:]27) All karma [work] that is done imbued with the five elements, mind, intellect, ego and the three-gunas - being enraptured and engaged by ego - not remaining in Atman - stupidly - with attachment to the work - the whole of that is false."
27,prakriteh kriyamanani gunaih karmani sarvashah ahamkaravimudhatma kartahamiti manyate,"[Commentary:]28) Whoever always abides in Kutastha - he understands the differences in gunas and karmas, and he does Kriya, and does not worry [think] about anything."
28,tattvavittu mahabaho gunakarmavibhagayoh guna guneshu vartanta iti matva na sajjate,[Commentary:]29) Those who are bad people - they become mesmerized by Prakriti’s gunas and perform all karma [in this way].
29,prakritergunasammudhah sajjante gunakarmasu tankritsnavido mandan kritsnavinnavichalayet,[Commentary:]30) Surrendering all karma in Me and performing Kriya - one casts off laziness.
30,mayi sarvani karmani samnyasyadhyatmachetasa nirishirnirmamo bhutva yudhyasva vigatajvarah,"[Commentary:]31) One who follows this teaching of Mine, remaining in Brahman - he is liberated from all sins."
31,ye me matamidam nityamanutishthanti manavah sharaddhavantohnasuyanto muchyante tehpi karmabhih,"[Commentary:]32) One who does not follow My teaching is ruined, because of not abiding in Brahman."
32,ye tvetadabhyasuyanto nanutishthanti me matam sarvajnanavimudhamstan viddhi nashtanachetasah,[Commentary:]33) If one is always in the five elements with the mind scattered about how can there be control? Meaning how can it be possible to continuously do Kriya?
33,sadrisham cheshtate svasyah prakriterjnanavanapi prakritim yanti bhutani nigrahah kim karishyati,"[Commentary:]34) Sense-karma is being performed by the senses; do not be in their power, because they take the (mind)* self to things other than Atman.[*Translator’s note:  The parentheses and the text within them is in the original.]"
34,indriyasyendriyasyarthe ragadveshou vyavasthitou tayorna vashmagacchettou hyasya paripanthinou,[Commentary:]35) Abiding in the par avastha of Kriya is good - to look or be looking elsewhere with attachment is death.Arjuna said:
35,shreyan svadharmo vigunah paradharmat svanushthitat svadharme nidhanam shreyam paradharmo bhayavahah,[Commentary:]36) It is being experienced via the energy of the body:  then how is the Supreme Person incurring sin - being forced to be engaged although not desiring such.Sri Bhagavan said:
36,atha kena prayuktohyam papam charati purushah anicchannapi varshneya baladiva niyojitah,"[Commentary:]37) It is being experienced via Kutastha:  desire and anger, which arise from rajoguna - these are enemies and great sinners."
37,kama esha krodha esha rajogunasamudbhavah mahashano mahapapna vidhyenamiha vairinam,[Commentary:]38) Desire is like fire covered by smoke; anger is like a mirror is covered by dust - with infusion of a little wind they powerfully reveal themselves.
38,dhumenavriyate vahniryathadarsho malena cha yatholvenavrito garbhastatha tenedamavritam,"[Commentary:]39) Kriyanvita people’s fire of desire is shrouded within; getting a little bit of a strong breeze - lights up immediately - and the intellect becoming ego-centric and such, is angered."
39,avritam jnanametena jnanino nityavairina kamarupena kaunteya dushpurenanalena cha,"[Commentary:]40) Does not let one stay in Atman all the time.  Through the senses and full of attachment, becomes deluded at seeing some object."
40,indriyani mano buddhirasyadhishthanamuchyate etairvimohayatyesha jnanamavritya dehinam,"[Commentary:]41) Therefore, first control and extinguish the sensory side and vanquish these two aforementioned sinners - these who do not allow one to perform Yonimudra and Kriya."
41,tasmattvamindrinyadou niyamya bharatarshabha pap manam prajahi hyenam jnanavijnananashanam,"[Commentary:]42) All senses are under the power of mind - that mind becomes still and is intelligence/intellect - after that, abiding in the par avastha of Kriya is Brahman."
42,indriyani paranyahurindriyebhyah param manah manasastu parabuddhi ryobuddheh paratastu sah,"[Commentary:]43) In this way, remaining in the par avastha of Kriya, stillness comes by itself.  When the mind will be stilled, you will be able to be victorious over the notorious Kama [desire-craving-lust].ity srimadbhagavadgitasupanishatsu brahmavidyayam yogashastre srikrishnarjunasamvadekarmayogonama tritiyahdhyayahThus ends the Third Chapter."
