Verse Number,Translation,Commentary
1,evam  satatayukta ye bhaktastvam paryupasate ye chapyaksharamavyaktam tesham ke yogavittamah,[Commentary:]2) It is being experienced via Kutastha - the mind becomes enraptured after Kriya - by being always lodged in Tranquility - worships - one who remains lodged - it is he who is good.
2,mayyaveshya mano ye mam nityayukta upasate shraddhaya parayopetaste me yuktatama matah,"[Commentary:]3) Those who abide in Kutastha - wherever he goes, he sees Kutastha in that very place, and in all matters, contemplates the Inconceivable Brahman in the form of Kutastha - being still and with complete certainty."
3,ye tvaksharamanirdeshyamavyaktam paryupasate sarvatragamachintyam cha kutasthamachalam dhruvam,"[Commentary:]4) Controlling all senses by extinguishing, and keeping everything in equilibrium - sees - keeping intellect stilled - he certainly attains Me, and he does that which benefits all beings - meaning teaches Kriya - it is in this that his mind always dwells."
4,sanniyamyendriyagramam sarvatra samabuddhayah te prapnuvanti mameva sarvabhutahite ratah,[Commentary:]5) One who does not abide in Kutastha - he becomes very afflicted - because the Unmanifest Brahman is attained by embodied beings through struggle.
5,kleshohdhikatarasteshamavyaktasaktachetasam avyakta hi gatirduhkham dehavadbhiravapyate,"[Commentary:]6) Those who have extinguished all actions and the desire for their fruits in Me - it is My Kriya, verily - knowing via the transmission of Guru, abides in Me - not putting attention elsewhere, becoming immersed in samadhi, does My Kriya - meaning, doing pranayam 1728 times, worships."
6,ye tu sarvani karmani mayi sannyasya matparah ananyenaiva yogena mam dhyayanta upasate,"[Commentary:]7) I take him from the death-samsara and, with Tranquility, I lift him up on top of the head - quickly, he becomes “I” - those who abide in the par avastha of Kriya and remain lodged."
7,teshamaham samuddharta mrityusamsarasagarat bhavami na chiratpartha mayaveshitachetasam,"[Commentary:]8) It is Me where the mind should be kept - meaning, having stilled the intellect in the par avastha of Kriya, enter it with extinguished silence - after penetrating with extinguished silence in this way he will definitely become “I” - with infallible certainty - and will go above - meaning, he will abide sitting on top of the head - there is no doubt about this."
8,mayyeva mana adhatsva mayi buddhim niveshaya nivasishyasi mayyeva ata urdham na samshayah,"[Commentary:]9) If not able to still the mind in Me, then you should desire to practice - meaning, increase Kriya."
9,atha chittam samadhatum na shaknoshi mayi sthiram abhyasayogena tato mamicchaptum dhananjaya,"[Commentary:]10) If you do not have the strength or time to practice, then perform My karma [act] - meaning, action without the desire for its fruits - meaning, as one continues with the performance of Kriya, desire for all things will end - that is what is known as the attainment of “siddhi.”"
10,abhyasehpyasamarthohsi matkarmaparamo bhava madarthamapi karmani kurvan siddhimavapsyasi,"[Commentary:]11) If you cannot become immersed and do even this, then perform all of the different kinds of actions - but without the desire for results, and enjoined with Atman - meaning, being in dharana, dhyan and samadhi."
