Verse Number,Translation,Commentary
1,kim tadbrahma kimadhyatmam kim karma purushottama adhibhutancha kim proktamadhidaivam kimuchyate,[Commentary:]2) What is “adhiyajna”?  How does one remember You at the time of the death of this body?Sri Bhagavan said:
2,adhiyajnah katham kohtra dehehsmin madhusudana prayanakale cha katham jneyohsi niyatatmabhih,"[Commentary:]3) It is being revealed via Kutastha - Kutastha is the Formless ParaBrahman (1) -  performance of Kriya is called “adhyatma” (2), meaning (adhi = intellect [mind]) keeping intellect [mind] stilled in Atman, going beyond the three gunas after the performance of Kriya and knowing the Wondrous Self free from the imprisonment of ida, pingala, sushumna - this is what is known as “adhyatma.”"
3,aksharam brahma paramam svabhavohdhyatmamuchyate bhutabhavodbhavakaro visargah karmasamjnitah,"[Commentary:]4) (3) “Adhibhuta” - keeping mind with the five elements in the Formless Kutastha, an intoxicating experience happens - meaning - remains Still in That Itself - after that, the Supreme Person is seen - He is also Formless like the sky - keeping mind stilled in Him is called “adhidaiva” - the One Who has put on the dress of this body of skin and such - pervading all of this world and all of the Cosmos - Brahmasutra - which is known through the transmission by Guru - He is the One Who is performing all karma - keeping mind in Him while engaged in all action and performing karma in this way is called “adhiyajna” (4)."
4,adhibhutam ksharo bhavah purushashchadhidaivatam adhiyajnohhamevatra dehe dehabhritam varah,"[Commentary:]5) At the time of death, whosoever leaves the body while surrendered in Kutastha - because he has kept his mind in Me - it is My Essence - meaning, it is in Me that he is Still and is liberated - there is no questioning this - the Oneness/Dissolution that Kriyanvita persons are experiencing every day."
5,antakale cha mameva smaranmuktva kalevaram yah prayati sa madbhavam yati nastyatre samshayah,"[Commentary:]6) Whatever state of being one is in at the time of death, he is born again in that state of being."
6,yam yam vapi smaranbhavam tyajatyante kalevaram tam tamevaiti kaunteya sada tadbhavabhavitah,"[Commentary:]7) For this reason, always be surrendered to that One Who ever-lives in that Atman - Brahman Itself, meaning Paramatman, and go on doing Kriya."
7,tasmat sarveshu kaleshu mamanusmara yudhya cha majyarpitamanobuddhirmamevaishyasyasamshayam,"[Commentary:]8) Gradually, through the continuous practice of Kriya, accomplishing dharana, dhyan and samadhi, and thus being lodged in Atman - the par avastha of Kriya - as the mind, by itself, will not go in any other direction - then, like the sky itself, the human-shaped Supreme Person -Who is the Lord of the world - one is able to see with continuous focus in the Atom of Brahman.kavim puranamanushasitara-"
8,abhyasayogayuktena chetasa nanyagamina paramam purusham divyam yati parthanuchintayan,"[Commentary:]9) He is the Composer - the Primal Person - the Atom of the atom - (the particles of earth dissolve into the particles of water - the particles of water into the particles of fire - the particles of fire into the particles of air - the particles of air into the particles of space - the particles of space into the Particle of Brahman - from one part of the Particle of Brahman - the three worlds, as Mahadeva - is One Brahman). All creation is manifesting from that Brahman - there is no way to attain Him by thinking - because unless there is two, there can be no thought, and Brahman is One - thus, without abiding in the par avastha of Kriya and becoming One, it does not happen. For this reason, the scriptures say “Ekam Brahman” - how is He - like Space as the Sun - after that is Tama (darkness)* form (Yonimudra)* - He is Kutastha Brahman, about Whom all Vedas and Vedanta speak - this is attained through the teaching of Guru.[*Translator’s note: The parentheses and the translated text within them are in the original.]"
9,manoraniyam samanusmared yah sarvasya dhataramachintyarupa- madityavarnam tamasah parastat,"[Commentary:]10) At the time of death, with the mind having faith in the teachings of Guru, remaining embedded in Atman, with dharana, dhyan, samadhi, with power, if one enters completely in the prana-vayu in the middle of the eyebrows, then - Sat - one sees the Supreme Person - (attained through the teaching of Guru)*. Doing so in this way, Bhishma and such have cast off life, meaning - performing Omkar Kriya in one breath twenty-thousand seven-hundred thirty-six times (20,736)* bursts the Brahmarandhra - doing so, one attains the Supreme Substance - which is attained through transmission by Guru.[*Translator’s note: The parentheses and the translated text within them are in the original.]"
10,prayanakale manasachalena bhaktya yukto yogabalena chaiva bhruvormadhye pranamaveshya samyak sa tam param purushamupaiti divyam,"[Commentary:]11) Those who know Kutastha as Veda have said - devoid of desire, this Substance is attained - abiding always in Brahman, it is in This that they abide - the way of that which is Above - I am telling you completely:-*[*Translator’s note: The conclusion of 8:11 is punctuated in this way [“:-”] in the original.]"
